N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
1,알테오젠,"405,000",하락,500,-0.12%,500,"32,373","13,118","407,500","216,533",254,173.30,"406,893","405,500","408,000","4,090",360.91,29.52,"408,000",824,"1,349",607,14.99,18.25,"403,000",101,"53,465","1,029","2,337",59.08,0,6.56
2,에코프로비엠,"90,400",상승,400,+0.44%,500,"37,981","3,428","89,900","88,412",-341,-95.26,"242,857","91,000","90,100","43,237",-121.86,-6.26,"91,500",229,"23,466",-585,11.65,-1.35,"89,200",129,"97,801","27,668",-949,5.22,N/A,-59.91
3,HLB,"50,700",하락,300,-0.59%,500,"48,170","2,432","51,000","66,633","-1,185",-35.28,"620,455","50,400","51,100","8,874",5.21,-16.33,"50,900",323,"2,353","-1,080",20.75,-13.22,"50,300",455,"131,425",681,"-1,437",12.94,0,58.80
4,에코프로,"42,150",상승,50,+0.12%,100,"65,822","2,772","42,100","57,230","-2,930",-32.62,"452,980","42,350","42,150","81,383",-198.28,-12.57,"42,750",495,"42,998","-2,954",21.00,-3.76,"41,700",262,"135,776","31,279","-1,292",3.60,100,-56.92
5,레인보우로보틱스,"277,500",상승,"1,000",+0.36%,500,"11,706","3,252","278,000","53,835",-30,"6,768.29","104,456","280,000","278,500","1,399",93.32,1.62,"281,500",41,71,21,7.47,1.57,"274,000",43,"19,400",193,41,40.72,N/A,26.80
6,파마리서치,"434,000",하락,"24,000",-5.24%,500,"35,121","15,286","451,000","45,612","1,261",43.14,"50,713","376,000","378,500","9,394",41.13,17.51,"377,000",26,986,"1,431",55.29,15.32,"364,500",20,"12,304","3,730","11,517",4.72,0,16.69
7,휴젤,"368,000",상승,500,+0.14%,500,"5,743","2,130","368,000","45,279","1,662",31.95,"502,787","444,500","452,000","8,557",36.63,18.93,"446,000",62,"2,863",889,17.10,12.79,"427,500",19,"10,510","3,501","10,061",8.77,"1,100",34.14
8,펩트론,"184,200",하락,"3,300",-1.76%,500,"17,923","3,320","188,300","42,914",-165,-186.63,"223,143","186,100","188,900","1,689",-4.05,-23.46,"186,900",4,172,-220,5.81,-19.91,"184,000",137,"23,297",32,-987,28.83,N/A,-5.68
9,리가켐바이오,"112,700",하락,"1,800",-1.57%,500,"20,722","2,343","112,500","41,260",-209,165.74,"442,218","113,700","114,300","7,384",74.12,2.04,"114,200","1,042","1,224",78,11.16,1.68,"112,400",114,"36,610","1,259",680,7.00,N/A,268.71
10,삼천당제약,"169,900",상승,"7,900",+4.88%,500,"54,780","9,323","162,600","39,854",26,-343.93,"154,427","168,300","162,900","5,198",-72.36,-4.49,"172,300",128,"1,704",-51,2.62,-1.10,"167,400","1,636","23,457","2,109",-494,15.08,200,9.48
11,클래시스,"60,100",하락,500,-0.83%,100,"22,586","1,362","61,100","39,369","1,224",38.30,"286,205","60,200","61,200","6,084",36.62,26.54,"60,900",422,"1,557",975,72.17,19.83,"59,800",69,"65,506","2,429","1,569",8.41,257,34.87
12,리노공업,"49,600",상승,"1,400",+2.90%,100,"131,019","6,447","49,450","37,801","1,242",30.98,"556,080","49,650","49,500","6,574",8.59,19.21,"50,100",203,348,"1,133",35.36,18.27,"48,200",59,"76,212","2,782","1,601",6.21,600,8.85
13,에이비엘바이오,"73,500",하락,500,-0.68%,500,"55,617","4,101","74,400","35,668",-594,-53.61,"730,836","74,500","74,500","2,320","-2,168.82",-46.01,"74,600",376,647,-555,13.87,-28.32,"72,900",212,"48,528",334,"-1,371",27.91,N/A,-49.04
14,코오롱티슈진,"41,500",상승,150,+0.36%,0,"76,030","3,203","41,500","33,864",-220,-91.41,"634,856","41,850","41,600","2,223",-7.28,-25.91,"42,550",378,764,-338,3.98,-18.92,"41,350",5,"81,601",51,-454,18.42,0,36.90
15,실리콘투,"54,500",하락,100,-0.18%,500,"87,011","4,730","53,600","33,339","1,376",24.81,"998,876","54,400","54,000","4,578",187.76,60.90,"55,000","4,130","1,962","1,207",7.60,35.88,"53,800",200,"61,172","6,915","2,197",10.92,N/A,101.69
16,에스엠,"134,600",하락,900,-0.66%,500,"9,579","1,291","135,500","30,816",873,12.37,"131,393","135,300","136,600","14,191",-23.06,2.64,"135,900",69,"5,900",8,25.56,0.06,"134,000",20,"22,895","9,897","10,881",3.39,400,2.98
17,젬백스,"68,600",하락,300,-0.44%,500,"27,078","1,828","67,100","28,405",-383,-44.57,"219,169","66,700","67,900","1,507",-387.24,-127.30,"68,800",217,"1,217",-872,6.26,-61.01,"66,400",28,"41,406",627,"-1,539",67.17,0,-13.18
18,JYP Ent.,"76,200",상승,100,+0.13%,500,"25,764","1,965","76,100","27,076","1,283",19.99,"317,685","76,600","76,200","6,788",-24.30,22.41,"77,000",193,"1,959",977,22.42,15.63,"75,700",76,"35,532","6,018","3,811",4.74,534,6.23
