N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
1,알테오젠,"402,000",상승,"16,500",+4.28%,500,"197,300","79,876","402,500","214,929",254,172.02,"735,665","393,500","403,000","4,090",360.91,29.52,"412,000","4,631","1,349",607,14.72,18.25,"393,000","5,190","53,465","1,029","2,337",58.64,0,6.56
2,에코프로비엠,"90,500",하락,"1,500",-1.63%,500,"70,219","6,372","90,100","88,510",-341,-95.36,"417,317","91,700","90,200","43,237",-121.86,-6.26,"92,400","7,079","23,466",-585,11.60,-1.35,"89,500","1,841","97,801","27,668",-949,5.23,N/A,-59.91
3,HLB,"50,500",하락,"2,200",-4.17%,500,"201,133","10,260","50,900","66,370","-1,185",-35.14,"451,698","51,900","51,000","8,874",5.21,-16.33,"52,100","34,911","2,353","-1,080",20.94,-13.22,"50,400","8,519","131,425",681,"-1,437",12.89,0,58.80
4,에코프로,"42,100",하락,750,-1.75%,100,"160,243","6,764","41,900","57,162","-2,930",-32.59,"707,979","42,150","41,950","81,383",-198.28,-12.57,"43,100","9,850","42,998","-2,954",21.01,-3.76,"41,800","5,240","135,776","31,279","-1,292",3.59,100,-56.92
5,레인보우로보틱스,"274,000",하락,"3,000",-1.08%,500,"26,770","7,339","274,000","53,156",-30,"6,682.93","243,579","272,500","274,500","1,399",93.32,1.62,"277,000","4,917",71,21,7.33,1.57,"272,000","3,456","19,400",193,41,40.27,N/A,26.80
6,파마리서치,"454,500",상승,"21,000",+4.84%,500,"166,672","74,886","448,500","47,766","1,261",45.17,"897,628","450,000","449,000","8,557",36.63,18.93,"457,000","3,050","2,863",889,17.89,12.79,"443,000",652,"10,510","3,501","10,061",9.33,"1,100",34.14
7,휴젤,"367,500",상승,"11,500",+3.23%,500,"10,511","3,854","366,500","45,217","1,662",31.91,"79,182","362,500","367,000","9,394",41.13,17.51,"370,000",666,986,"1,431",55.23,15.32,"362,000","1,296","12,304","3,730","11,517",4.71,0,16.69
8,펩트론,"183,900",하락,"2,300",-1.24%,500,"51,675","9,607","186,000","42,844",-165,-186.32,"428,567","186,800","186,200","1,689",-4.05,-23.46,"189,000","2,956",172,-220,5.85,-19.91,"182,500",233,"23,297",32,-987,28.83,N/A,-5.68
9,리가켐바이오,"110,300",상승,"1,400",+1.29%,500,"91,060","10,136","111,500","40,381",-209,162.21,"667,698","109,100","111,600","7,384",74.12,2.04,"112,700",977,"1,224",78,10.85,1.68,"109,100","3,600","36,610","1,259",680,6.85,N/A,268.71
10,클래시스,"59,200",하락,800,-1.33%,100,"48,476","2,863","58,800","38,779","1,224",37.73,"332,939","60,000","59,000","6,084",36.62,26.54,"60,000","7,377","1,557",975,72.13,19.83,"58,500","2,999","65,506","2,429","1,569",8.28,257,34.87
