종목명,현재가,기준월,배당금,수익률(%),배당성향(%),ROE(%),PER(배),PBR(배),과거3년배당금_Max,1년전,2년전,3년전
한샘,46700,24.03,8530,18.27,93.69,43.59,7.40,2.25,800,4500,800,1550
레드캡투어,11780,25.03,2150,18.25,177.53,9.64,7.26,0.67,450,450,450,400
신한글로벌액티브리츠,1489,25.02,253,16.99,0115.10,05.52,014.91,0.65,24,10,24,0
이지스밸류플러스리츠,4815,25.06,785,16.30,0430.66,00.52,0108.14,0.59,412,412,351,293
제이알글로벌리츠,2680,24.12,390,14.55,186.25,2.48,26.31,0.67,385,385,373,366
NH프라임리츠,4550,24.11,658,14.46,137.10,6.38,11.26,0.72,531,531,225,248
미래에셋맵스리츠,2720,24.11,284,10.44,215.00,1.60,42.27,0.64,284,284,279,268
크레버스,14470,25.04,1500,10.37,167.06,17.99,21.71,3.06,2000,2000,1800,2000
미래에셋글로벌리츠,2695,25.03,274,10.17,427.71,0.79,78.10,0.62,40,262,286,40
이크레더블,15820,24.12,1590,10.05,148.28,27.34,12.07,3.18,780,780,1040,2720
KB스타리츠,3840,25.01,368,9.58,96.26,4.54,17.19,0.85,376,376,165,0
코람코라이프인프라리츠,4385,24.11,416,9.49,164.56,4.96,16.20,0.83,475,366,350,475
NH올원리츠,3655,24.12,340,9.30,0830.66,00.56,0135.96,0.80,316,288,316,106
정다운,2705,24.12,250,9.24,68.61,9.33,7.31,0.65,300,300,100,100
HB인베스트먼트,2185,24.12,200,9.15,89.81,8.28,6.99,0.49,0,0,0,0
한국철강,9050,24.12,800,8.84,112.95,2.82,15.14,0.28,400,400,300,250
정상제이엘에스,6200,24.12,530,8.55,94.60,9.05,12.55,1.08,530,530,530,530
도이치모터스,4550,24.12,380,8.35,0224.96,01.22,028.41,0.33,370,370,360,350
디앤디플랫폼리츠,3130,25.03,260,8.32,273.86,1.20,59.36,0.72,290,270,290,224
오상자이엘,3700,24.12,300,8.11,89.07,6.36,10.03,0.61,0,0,0,0
이리츠코크렙,4555,24.12,362,7.95,221.83,2.19,51.71,1.16,405,404,405,383
동국씨엠,6340,25.03,500,7.89,23.40,6.45,2.79,0.17,100,100,0,0
영보화학,4445,24.12,350,7.87,30.26,13.01,3.16,0.38,50,50,50,100
현대해상,26350,24.03,2063,7.83,28.16,7.38,4.82,0.40,1965,1965,1480,1000
와이솔,6430,25.03,500,7.78,125.30,3.12,12.99,0.39,250,250,250,250
노바텍,18170,24.12,1409,7.76,80.44,10.80,8.95,0.87,500,500,200,143
현대차3우B,160200,25.02,12050,7.52,25.13,12.43,4.60,0.51,7050,11450,7050,5050
현대차우,161000,25.02,12050,7.48,25.13,12.43,4.60,0.51,7050,11450,7050,5050
블랙야크아이앤씨,3725,25.03,278,7.46,29.99,40.28,0,0.00,13,0,13,0
CR홀딩스,5520,24.12,410,7.43,0671.46,00.39,0114.31,0.39,450,410,450,450
현대차2우B,163200,25.02,12100,7.41,25.13,12.43,4.60,0.51,7100,11500,7100,5100
케이카,15570,24.12,1150,7.39,126.03,19.09,14.04,2.73,760,760,760,750
광주신세계,30100,25.03,2200,7.31,36.34,5.58,4.97,0.26,2200,2200,2200,1700
마스턴프리미어리츠,1431,25.03,104,7.27,015.23,011.60,03.53,0.45,258,234,258,0
INVENI,55100,25.02,4000,7.26,58.92,6.16,10.41,0.45,8750,8750,2500,2250
HRS,5510,24.12,400,7.26,42.31,12.74,5.01,0.60,200,200,200,200
메가스터디,11030,24.12,800,7.25,56.66,5.12,7.91,0.38,850,850,1050,600
아이마켓코리아,8370,24.12,600,7.17,70.04,7.66,9.92,0.70,600,600,600,600
HS애드,7700,25.03,550,7.14,39.29,11.77,4.63,0.51,450,450,400,350
케이탑리츠,954,24.12,68,7.13,62.35,5.07,8.86,0.44,95,95,108,38
조선내화,14030,24.12,1000,7.13,203.40,2.68,31.46,0.83,0,0,0,0
