N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
1,알테오젠,"389,500",하락,500,-0.13%,500,"44,977","17,589","390,500","208,246",254,166.67,"323,689","390,500","391,000","4,090",360.91,29.52,"394,500",736,"1,349",607,14.68,18.25,"386,500",356,"53,465","1,029","2,337",56.82,0,6.56
2,에코프로비엠,"104,700",하락,500,-0.48%,500,"84,048","8,778","105,600","102,398",-341,-110.33,"1,049,993","105,500","105,700","43,237",-121.86,-6.26,"105,600","3,824","23,466",-585,12.08,-1.35,"103,200","1,283","97,801","27,668",-949,6.05,N/A,-59.91
3,HLB,"49,550",보합,0,0.00%,500,"131,218","6,505","50,100","65,121","-1,185",-34.48,"1,270,705","50,100","50,200","8,874",5.21,-16.33,"48,650","6,557","42,998","-2,954",21.48,-3.76,"47,450","1,641","135,776","31,279","-1,292",4.12,100,-56.92
4,에코프로,"47,900",하락,"1,000",-2.04%,100,"287,532","13,810","48,600","65,037","-2,930",-37.07,"3,519,746","48,450","48,650","81,383",-198.28,-12.57,"50,300","3,573","2,353","-1,080",20.33,-13.22,"49,100","2,530","131,425",681,"-1,437",12.65,0,58.80
5,레인보우로보틱스,"304,500",하락,"10,500",-3.33%,500,"56,189","17,304","310,500","59,073",-30,"7,426.83","378,315","311,000","311,000","1,399",93.32,1.62,"314,500","2,088",71,21,7.24,1.57,"303,500",288,"19,400",193,41,44.83,N/A,26.80
6,파마리서치,"475,500",상승,500,+0.11%,500,"9,096","4,308","479,000","49,973","1,261",47.26,"159,456","479,000","479,500","8,557",36.63,18.93,"479,500",46,"2,863",889,15.29,12.79,"470,000","1,630","10,510","3,501","10,061",9.76,"1,100",34.14
7,펩트론,"200,000",하락,"5,000",-2.44%,500,"21,896","4,404","202,500","46,595",-165,-202.63,"393,296","202,500","203,000","1,689",-4.05,-23.46,"203,000",666,172,-220,6.45,-19.91,"199,900",399,"23,297",32,-987,31.38,N/A,-5.68
8,휴젤,"369,500",상승,"1,500",+0.41%,500,"4,097","1,513","369,500","45,463","1,662",32.08,"53,487","369,500","370,000","9,394",41.13,17.51,"371,500",36,986,"1,431",55.64,15.32,"366,000",226,"12,304","3,730","11,517",4.74,0,16.69
9,클래시스,"63,000",하락,"1,300",-2.02%,100,"36,614","2,319","64,100","41,269","1,224",40.15,"537,295","64,000","64,200","6,084",36.62,26.54,"64,100","1,089","1,557",975,71.69,19.83,"62,900",942,"65,506","2,429","1,569",8.81,257,34.87
10,삼천당제약,"171,500",상승,"4,900",+2.94%,500,"56,819","9,820","170,000","40,230",26,-347.17,"114,285","169,800","170,100","5,198",-72.36,-4.49,"175,500",663,"1,704",-51,2.14,-1.10,"169,000",350,"23,457","2,109",-494,15.22,200,9.48
