종목명,현재가,기준월,배당금,수익률(%),배당성향(%),ROE(%),PER(배),PBR(배),과거3년배당금_Max,1년전,2년전,3년전
한샘,44550,24.03,8530,19.15,93.69,43.59,7.40,2.25,800,4500,800,1550
레드캡투어,11900,25.03,2150,18.07,177.53,9.64,7.26,0.67,450,450,450,400
신한글로벌액티브리츠,1530,25.02,253,16.54,0115.10,05.52,014.91,0.65,24,10,24,0
이지스밸류플러스리츠,4815,25.06,785,16.30,0430.66,00.52,0108.14,0.59,412,412,351,293
제이알글로벌리츠,2665,24.12,390,14.63,186.25,2.48,26.31,0.67,385,385,373,366
NH프라임리츠,4535,24.11,658,14.51,137.10,6.38,11.26,0.72,531,531,225,248
미래에셋맵스리츠,2715,24.11,284,10.46,215.00,1.60,42.27,0.64,284,284,279,268
미래에셋글로벌리츠,2645,25.03,274,10.36,0,0,0,0,40,262,286,40
크레버스,14590,25.04,1500,10.28,167.06,17.99,21.71,3.06,2000,2000,1800,2000
KB스타리츠,3725,25.01,368,9.88,96.26,4.54,17.19,0.85,376,376,165,0
이크레더블,16270,24.12,1590,9.77,148.28,27.34,12.07,3.18,780,780,1040,2720
코람코라이프인프라리츠,4295,24.11,416,9.69,164.56,4.96,16.20,0.83,475,366,350,475
NH올원리츠,3650,24.12,340,9.31,0830.66,00.56,0135.96,0.80,316,288,316,106
정다운,2690,24.12,250,9.29,68.61,9.33,7.31,0.65,300,300,100,100
HB인베스트먼트,2205,24.12,200,9.07,89.81,8.28,6.99,0.49,0,0,0,0
정상제이엘에스,6140,24.12,530,8.63,94.60,9.05,12.55,1.08,530,530,530,530
한국철강,9360,24.12,800,8.55,112.95,2.82,15.14,0.28,400,400,300,250
디앤디플랫폼리츠,3110,25.03,260,8.37,273.86,1.20,59.36,0.72,290,270,290,224
도이치모터스,4570,24.12,380,8.31,0224.96,01.22,028.41,0.33,370,370,360,350
현대해상,25350,24.03,2063,8.14,28.16,7.38,4.82,0.40,1965,1965,1480,1000
이리츠코크렙,4450,24.12,362,8.14,221.83,2.19,51.71,1.16,405,404,405,383
동국씨엠,6350,25.03,500,7.87,23.40,6.45,2.79,0.17,100,100,0,0
영보화학,4455,24.12,350,7.86,30.26,13.01,3.16,0.38,50,50,50,100
오상자이엘,3825,24.12,300,7.84,89.07,6.36,10.03,0.61,0,0,0,0
케이카,14750,24.12,1150,7.80,126.03,19.09,14.04,2.73,760,760,760,750
노바텍,18250,24.12,1409,7.72,80.44,10.80,8.95,0.87,500,500,200,143
와이솔,6525,25.03,500,7.66,125.30,3.12,12.99,0.39,250,250,250,250
현대차3우B,158100,25.02,12050,7.62,25.13,12.43,4.60,0.51,7050,11450,7050,5050
현대차우,158300,25.02,12050,7.61,25.13,12.43,4.60,0.51,7050,11450,7050,5050
현대차2우B,159400,25.02,12100,7.59,25.13,12.43,4.60,0.51,7100,11500,7100,5100
INVENI,52800,25.02,4000,7.58,58.92,6.16,10.41,0.45,8750,8750,2500,2250
트윔,7930,24.09,600,7.57,122.17,2.48,31.66,0.74,0,0,0,0
CR홀딩스,5450,24.12,410,7.52,0671.46,00.39,0114.31,0.39,450,410,450,450
광주신세계,29350,25.03,2200,7.50,36.34,5.58,4.97,0.26,2200,2200,2200,1700
메가스터디,11000,24.12,800,7.27,56.66,5.12,7.91,0.38,850,850,1050,600
아이마켓코리아,8250,24.12,600,7.27,70.04,7.66,9.92,0.70,600,600,600,600
블랙야크아이앤씨,3825,25.03,278,7.27,29.99,40.28,0,0.00,13,0,13,0
신한서부티엔디리츠,3430,24.12,248,7.23,70.82,3.96,18.71,0.74,89,290,316,89
코리아에셋투자증권,7610,25.07,550,7.23,44.78,0,0,0,700,500,200,700
바이오인프라,5540,24.12,400,7.22,048.94,012.92,07.80,1.13,600,600,0,0
스카이라이프,4855,24.12,350,7.21,012.18,021.72,01.65,0.41,350,350,350,350
마스턴프리미어리츠,1455,25.03,104,7.15,015.23,011.60,03.53,0.45,258,234,258,0
케이탑리츠,952,24.12,68,7.14,62.35,5.07,8.86,0.44,95,95,108,38
KISCO홀딩스,25400,24.12,1800,7.09,70.13,2.82,9.94,0.21,900,900,600,400
이지스레지던스리츠,4210,24.12,297,7.07,59.56,3.30,13.26,0.45,262,262,262,258
서울보증보험,40650,25.04,2865,7.05,93.87,4.12,0,0.00,4048,2983,4048,3282
조선내화,14215,24.12,1000,7.03,203.40,2.68,31.46,0.83,0,0,0,0
세아특수강,14220,24.12,1000,7.03,76.09,3.34,10.24,0.33,1200,1000,1000,1200
HS애드,7830,25.03,550,7.02,39.29,11.77,4.63,0.51,450,450,400,350
SK네트웍스,4290,25.04,300,6.99,121.68,2.29,19.43,0.39,200,200,120,120
HRS,5740,24.12,400,6.97,42.31,12.74,5.01,0.60,200,200,200,200
한화리츠,3880,25.04,270,6.97,0,0,0,0,270,270,112,0
유아이엘,3890,24.12,270,6.95,28.64,16.63,3.77,0.56,0,0,0,0
SGC에너지,24500,24.12,1700,6.94,37.67,8.80,5.47,0.47,1700,1700,1700,1500
푸른저축은행,9450,24.12,650,6.88,96.74,2.50,16.25,0.32,650,650,650,650
AJ네트웍스,3930,24.12,270,6.87,55.55,5.04,8.96,0.43,270,270,270,270
