N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
1,삼성전자,"57,800",상승,600,+1.05%,100,"1,746,421","100,786",0,"3,421,551","327,260",11.20,"22,200,872","57,800",0,"5,145,319",398.34,9.03,"58,000",0,"1,123,399","344,514",49.69,7.10,"57,400",0,"5,919,638","3,008,709","5,162",0.98,"1,446",16.20
2,SK하이닉스,"252,000",상승,"4,000",+1.61%,"5,000","517,105","130,400",0,"1,834,566","234,673",7.06,"3,760,740","253,000",0,"1,198,552",403.58,31.06,"253,500",0,"459,395","197,969",55.42,17.98,"250,000",0,"728,002","661,930","35,682",2.14,"2,204",102.02
3,삼성바이오로직스,"1,018,000",상승,"3,000",+0.30%,"2,500","5,229","5,332",0,"724,551","13,201",56.63,"49,083","1,019,000",0,"173,363",18.53,10.45,"1,024,000",0,"64,316","10,833",12.91,6.49,"1,017,000",0,"71,174","45,473","17,977",6.42,0,23.08
4,LG에너지솔루션,"294,000",상승,"1,000",+0.34%,500,"22,306","6,613",0,"687,960","5,754",-59.11,"192,457","298,000",0,"603,068",-73.40,-4.93,"299,000",0,"293,402","3,386",4.06,0.64,"293,500",0,"234,000","256,196","-4,974",3.25,N/A,-24.08
5,한화에어로스페이스,"947,000",하락,"23,000",-2.37%,"5,000","36,578","34,758",0,"447,895","17,319",19.15,"326,298","954,000",0,"433,369",191.41,53.94,"959,000",0,"319,726","25,399",45.40,8.08,"944,000",0,"47,296","112,401","49,447",10.96,"3,500",42.47
6,현대차,"201,500",보합,0,0.00%,"5,000","40,494","8,170",0,"412,587","142,396",4.39,"500,547","202,500",0,"3,397,984",-5.87,12.43,"203,000",0,"2,195,225","132,299",36.12,4.25,"200,500",0,"204,758","1,752,312","45,880",0.48,"12,000",7.73
7,KB금융,"107,500",하락,300,-0.28%,"5,000","114,675","12,287",0,"410,072","80,453",7.46,"1,036,382","106,800",0,"7,578,455",26.00,8.86,"108,100",0,"6,980,304","50,286",78.11,0.68,"106,500",0,"381,462","850,764","14,416",0.68,"3,174",9.77
8,HD현대중공업,"451,500",상승,"2,500",+0.56%,"5,000","41,919","18,972",0,"400,811","7,052",45.70,"269,938","458,000",0,"193,909",294.77,11.39,"458,000",0,"136,865","6,215",10.89,3.40,"448,000",0,"88,773","144,865","9,880",6.90,"2,090",21.08
9,두산에너빌리티,"62,000",상승,"2,400",+4.03%,"5,000","2,554,084","159,135",0,"397,148","10,176",-389.94,"14,476,095","62,500",0,"263,148",-30.65,1.52,"63,200",0,"146,537","3,947",25.36,1.55,"61,100",0,"640,561","162,331",-159,5.22,N/A,-7.71
10,기아,"98,000",상승,500,+0.51%,"5,000","67,244","6,594",0,"389,719","126,671",4.18,"809,768","98,000",0,"927,559",9.13,19.09,"98,500",0,"369,156","97,750",38.99,11.28,"97,800",0,"397,673","1,074,488","23,440",0.69,"6,500",7.66
11,삼성전자우,"47,400",상승,450,+0.96%,100,"132,214","6,268",0,"386,772",N/A,9.18,"1,261,279","47,350",0,N/A,N/A,N/A,"47,650",0,N/A,N/A,73.74,N/A,"47,150",0,"815,975",N/A,"5,162",0.80,N/A,N/A
12,셀트리온,"160,800",하락,"1,000",-0.62%,"1,000","33,308","5,361",0,"357,661","4,920",74.41,"352,758","161,200",0,"210,552",-24.48,2.46,"161,600",0,"34,752","4,189",21.47,2.04,"160,500",0,"222,426","35,573","2,161",2.08,735,63.45
13,NAVER,"209,000",하락,500,-0.24%,100,"106,224","22,318",0,"331,133","19,793",18.25,"1,159,906","212,000",0,"381,679",32.94,7.90,"212,500",0,"111,670","19,320",48.50,5.23,"208,000",0,"158,437","107,377","11,452",1.18,"1,130",11.03
14,신한지주,"60,500",하락,100,-0.17%,"5,000","83,233","5,002",0,"299,984","64,587",6.64,"966,984","59,700",0,"7,397,643",5.87,8.11,"60,700",0,"6,809,432","45,582",58.92,0.64,"59,500",0,"495,842","419,028","9,108",0.53,"2,160",6.26
15,삼성물산,"170,300",하락,"1,900",-1.10%,100,"37,352","6,409",0,"289,470","29,834",13.60,"619,409","172,600",0,"619,904",3.95,6.83,"173,300",0,"247,319","27,720",26.93,4.33,"170,100",0,"169,977","421,032","12,523",0.87,"2,600",0.50
16,한화오션,"92,000",상승,"6,700",+7.85%,"5,000","1,786,489","162,324",0,"281,900","2,379",40.69,"3,234,826","87,500",0,"178,438",221.06,11.52,"92,200",0,"129,805","5,282",12.42,3.32,"86,900",0,"306,413","107,760","2,261",5.54,N/A,45.46
17,HD한국조선해양,"373,000",상승,"5,500",+1.50%,"5,000","36,959","13,792",0,"263,984","14,341",17.85,"330,295","372,000",0,"367,191",408.07,11.16,"376,000",0,"225,633","14,546",32.82,4.22,"370,500",0,"70,773","255,386","20,895",2.32,"5,100",19.92
18,현대모비스,"284,500",하락,"1,000",-0.35%,"5,000","16,929","4,836",0,"261,157","30,735",6.27,"198,580","286,500",0,"665,969",33.90,9.35,"289,000",0,"204,787","40,602",42.70,6.49,"283,750",0,"91,795","572,370","45,380",0.55,"6,000",-3.41
19,삼성생명,"127,000",하락,900,-0.70%,500,"23,471","2,967",0,"254,000","24,998",11.98,"424,095","126,100",0,"3,122,188",4.23,6.18,"127,600",0,"2,794,809","22,603",21.78,0.72,"125,800",0,"200,000","337,860","10,600",0.77,"4,500",9.21
20,HMM,"23,200",하락,"1,100",-4.53%,"5,000","411,300","9,617",0,"237,809","35,128",4.57,"5,246,933","23,650",0,"338,486",500.72,15.35,"23,650",0,"59,930","37,821",7.11,12.70,"23,150",0,"1,025,039","117,002","5,073",0.73,600,39.27
21,카카오,"52,900",하락,300,-0.56%,100,"557,751","29,707",0,"233,694","4,602",152.89,"4,949,701","53,800",0,"257,730",-0.14,0.56,"54,000",0,"118,301","-1,619",28.46,-0.64,"52,400",0,"441,767","78,717",346,2.24,68,4.16
22,하나금융지주,"80,000",상승,300,+0.38%,"5,000","67,223","5,322",0,"227,779","48,552",6.04,"801,826","78,400",0,"6,378,475",3.45,9.11,"80,200",0,"5,942,706","37,685",67.64,0.61,"78,300",0,"284,724","816,143","13,252",0.51,"3,600",17.10
