종목명,현재가,기준월,배당금,수익률(%),배당성향(%),ROE(%),PER(배),PBR(배),과거3년배당금_Max,1년전,2년전,3년전
한샘,44850,24.03,8530,19.02,93.69,43.59,7.40,2.25,800,4500,800,1550
레드캡투어,12210,25.03,2150,17.61,177.53,9.64,7.26,0.67,450,450,450,400
이지스밸류플러스리츠,4650,25.06,785,16.88,0430.66,00.52,0108.14,0.59,412,412,351,293
신한글로벌액티브리츠,1565,25.02,253,16.17,0115.10,05.52,014.91,0.65,24,10,24,0
NH프라임리츠,4520,24.11,658,14.56,137.10,6.38,11.26,0.72,531,531,225,248
제이알글로벌리츠,2720,24.12,390,14.34,186.25,2.48,26.31,0.67,385,385,373,366
크레버스,14300,25.04,1500,10.49,167.06,17.99,21.71,3.06,2000,2000,1800,2000
미래에셋맵스리츠,2730,24.11,284,10.40,215.00,1.60,42.27,0.64,284,284,279,268
미래에셋글로벌리츠,2665,25.03,274,10.28,0,0,0,0,40,262,286,40
이크레더블,16390,24.12,1590,9.70,148.28,27.34,12.07,3.18,780,780,1040,2720
KB스타리츠,3895,25.01,368,9.45,96.26,4.54,17.19,0.85,376,376,165,0
HB인베스트먼트,2135,24.12,200,9.37,89.81,8.28,6.99,0.49,0,0,0,0
NH올원리츠,3635,24.12,340,9.35,0830.66,00.56,0135.96,0.80,316,288,316,106
코람코라이프인프라리츠,4455,24.11,416,9.34,164.56,4.96,16.20,0.83,475,366,350,475
정다운,2725,24.12,250,9.17,68.61,9.33,7.31,0.65,300,300,100,100
마스턴프리미어리츠,1468,24.09,127,8.67,79.60,1.26,40.75,0.55,299,299,109,0
정상제이엘에스,6170,24.12,530,8.59,94.60,9.05,12.55,1.08,530,530,530,530
도이치모터스,4640,24.12,380,8.19,0224.96,01.22,028.41,0.33,370,370,360,350
한국철강,9950,24.12,800,8.04,112.95,2.82,15.14,0.28,400,400,300,250
이리츠코크렙,4580,24.12,362,7.90,221.83,2.19,51.71,1.16,405,404,405,383
현대차우,152900,25.02,12050,7.88,25.13,12.43,4.60,0.51,7050,11450,7050,5050
현대차3우B,152900,25.02,12050,7.88,25.13,12.43,4.60,0.51,7050,11450,7050,5050
현대차2우B,153600,25.02,12100,7.88,25.13,12.43,4.60,0.51,7100,11500,7100,5100
현대해상,26550,24.03,2063,7.77,28.16,7.38,4.82,0.40,1965,1965,1480,1000
오상자이엘,3870,24.12,300,7.75,89.07,6.36,10.03,0.61,0,0,0,0
영보화학,4525,24.12,350,7.74,30.26,13.01,3.16,0.38,50,50,50,100
디앤디플랫폼리츠,3370,25.03,260,7.73,0,0,0,0,290,270,290,224
와이솔,6500,25.03,500,7.69,125.30,3.12,12.99,0.39,250,250,250,250
노바텍,18420,24.12,1409,7.65,80.44,10.80,8.95,0.87,500,500,200,143
동국씨엠,6570,25.03,500,7.61,23.40,6.45,2.79,0.17,100,100,0,0
광주신세계,29200,25.03,2200,7.53,36.34,5.58,4.97,0.26,2200,2200,2200,1700
트윔,8080,24.09,600,7.43,122.17,2.48,31.66,0.74,0,0,0,0
CR홀딩스,5570,24.12,410,7.36,0671.46,00.39,0114.31,0.39,450,410,450,450
조선내화,13650,24.12,1000,7.33,203.40,2.68,31.46,0.83,0,0,0,0
HRS,5470,24.12,400,7.31,42.31,12.74,5.01,0.60,200,200,200,200
유아이엘,3715,24.12,270,7.27,28.64,16.63,3.77,0.56,0,0,0,0
INVENI,55000,25.02,4000,7.27,58.92,6.16,10.41,0.45,8750,8750,2500,2250
메가스터디,11040,24.12,800,7.25,56.66,5.12,7.91,0.38,850,850,1050,600
아이마켓코리아,8290,24.12,600,7.24,70.04,7.66,9.92,0.70,600,600,600,600
바이오인프라,5540,24.12,400,7.22,048.94,012.92,07.80,1.13,600,600,0,0
케이카,16060,24.12,1150,7.16,126.03,19.09,14.04,2.73,760,760,760,750
스카이라이프,4905,24.12,350,7.14,012.18,021.72,01.65,0.41,350,350,350,350
케이탑리츠,955,24.12,68,7.12,62.35,5.07,8.86,0.44,95,95,108,38
블랙야크아이앤씨,3920,25.03,278,7.09,29.99,40.28,0,0.00,13,0,13,0
신한서부티엔디리츠,3505,24.12,248,7.08,70.82,3.96,18.71,0.74,89,290,316,89
HS애드,7780,25.03,550,7.07,39.29,11.77,4.63,0.51,450,450,400,350
이지스레지던스리츠,4230,24.12,297,7.03,59.56,3.30,13.26,0.45,262,262,262,258
세아특수강,14280,24.12,1000,7.00,76.09,3.34,10.24,0.33,1200,1000,1000,1200
푸른저축은행,9300,24.12,650,6.99,96.74,2.50,16.25,0.32,650,650,650,650
에스에이엠티,2870,24.12,200,6.97,35.89,13.46,4.79,0.59,230,200,230,200
서울보증보험,41300,25.04,2865,6.94,93.87,4.12,0,0.00,4048,2983,4048,3282
한화리츠,3900,25.04,270,6.93,0,0,0,0,270,270,112,0
LX인터내셔널,29000,25.02,2000,6.90,40.94,7.12,5.97,0.37,3000,1200,3000,2300
SK네트웍스,4355,25.04,300,6.89,121.68,2.29,19.43,0.39,200,200,120,120
AJ네트웍스,3960,24.12,270,6.82,55.55,5.04,8.96,0.43,270,270,270,270
KPX케미칼,47900,24.12,3250,6.78,24.07,9.66,3.31,0.30,3000,3000,2750,2750
KISCO홀딩스,26550,24.12,1800,6.78,70.13,2.82,9.94,0.21,900,900,600,400
대신증권2우B,17720,25.03,1200,6.77,68.52,4.57,10.00,0.35,1400,1200,1200,1400
스톰테크,3850,24.12,260,6.75,47.35,0,5.79,0.93,150,150,0,0
유안타증권우,3715,25.03,250,6.73,57.14,4.52,7.65,0.33,230,230,160,230
강원랜드,17390,25.04,1170,6.73,51.32,12.08,7.48,0.82,930,930,350,0
코람코더원리츠,5205,25.02,350,6.72,119.17,1.59,60.31,0.97,331,331,312,124
기아,96900,25.03,6500,6.71,26.18,19.09,4.12,0.71,5600,5600,3500,3000
코리아에셋투자증권,7460,24.07,500,6.70,55.00,6.40,5.75,0.36,700,200,700,450
디지털대성,7490,24.12,500,6.68,86.41,10.45,12.59,1.36,300,200,200,300
씨유테크,3460,24.12,231,6.68,30.06,12.45,3.73,0.43,64,16,64,260
SGC에너지,25700,24.12,1700,6.61,37.67,8.80,5.47,0.47,1700,1700,1700,1500
현대엘리베이터,83200,24.12,5500,6.61,108.40,14.42,11.18,1.51,800,4000,500,800
GS우,42050,25.02,2750,6.54,45.10,4.12,6.56,0.26,2550,2550,2550,2050
KZ정밀,12270,24.12,800,6.52,65.63,4.69,10.29,0.41,600,600,400,350
맥쿼리인프라,11660,24.12,759,6.51,0,0,0,0,770,770,762,741
SK텔레콤,54500,25.02,3540,6.49,60.28,10.83,9.50,1.00,3540,3540,3320,2660
대신증권우,19340,25.03,1250,6.46,68.52,4.57,10.00,0.35,1450,1250,1250,1450
삼현철강,4650,24.12,300,6.45,84.11,2.83,12.76,0.35,300,300,300,300
한솔로지스틱스,2330,25.03,150,6.44,48.64,7.00,6.71,0.45,70,100,70,60
윈스테크넷,12470,24.12,800,6.41,44.53,10.86,8.41,0.76,500,500,500,500
유화증권우,2660,24.12,170,6.39,55.40,3.50,9.16,0.26,140,130,120,140
무학,8150,24.12,520,6.38,28.44,8.72,3.72,0.29,230,230,230,230
대덕,7850,25.03,500,6.37,77.70,3.68,10.25,0.37,400,400,400,300
기업은행,16820,25.03,1065,6.33,32.11,8.06,4.32,0.34,984,984,960,780
엔브이에이치코리아,2375,24.12,150,6.32,53.31,5.35,8.30,0.42,93,150,112,93
이지홀딩스,3960,24.12,250,6.31,94.80,2.70,10.55,0.26,75,120,75,50
제일기획,19700,24.12,1230,6.24,60.03,15.12,9.40,1.18,990,1110,1150,990
서호전기,40050,24.12,2500,6.24,100.04,12.69,9.25,1.06,1500,1500,1500,1000
이노션,18860,25.03,1175,6.23,46.88,10.48,7.74,0.77,900,1175,1075,900
NH투자증권우,16080,25.03,1000,6.22,47.96,8.73,7.06,0.59,850,850,750,1100
신한알파리츠,5570,25.03,346,6.20,0,0,0,0,817,817,367,347
지엠비코리아,4050,24.12,250,6.17,31.03,5.76,4.55,0.26,80,150,80,80
동국제강,9730,25.03,600,6.17,85.34,2.04,11.39,0.23,700,700,0,0
코오롱인더우,21900,24.12,1350,6.16,40.06,3.06,8.34,0.23,1350,1350,1350,1350
ESR켄달스퀘어리츠,4450,24.11,274,6.16,810.80,0.33,282.50,0.94,272,272,270,262
진양폴리,4075,24.12,250,6.14,79.02,9.74,20.99,2.03,250,250,200,175
네오티스,3260,24.12,200,6.14,55.12,9.38,9.04,0.80,250,200,250,250
KPX홀딩스,69300,24.12,4250,6.13,21.48,8.02,2.86,0.21,3500,3500,3000,3000
한국쉘석유,441500,24.12,27000,6.12,95.76,28.93,11.30,3.25,25000,25000,18000,19000
