N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,액면가,전일거래량,시가,매도호가,자산총계,영업이익증가율,액면가,고가,매수총잔량,부채총계,당기순이익,외국인비율,액면가,저가,매도총잔량,상장주식수,매출액,주당순이익,액면가,보통주배당금
29,와이지엔터테인먼트,"86,000",보합,0,0.00%,500,"231,628","19,900","86,000","16,074",-206,68.86,500,"349,111","87,500","86,100","7,343",-123.65,500,"87,800","4,753","1,311",200,14.96,500,"84,800","8,150","18,691","3,649","1,249",500,250
30,브이티,"44,100",하락,300,-0.68%,500,"542,292","23,914","44,100","15,787","1,109",15.13,500,"1,224,433","44,750","44,150","3,596",143.48,500,"44,800","9,321","1,189","1,040",10.82,500,"43,300","12,775","35,798","4,317","2,914",500,N/A
31,에스티팜,"78,200",하락,"1,300",-1.64%,500,"117,125","9,166","78,100","15,760",277,52.52,500,"102,632","81,000","78,200","7,219",-17.36,500,"81,100","7,591","2,189",325,6.09,500,"77,300","2,788","20,153","2,738","1,489",500,500
32,스튜디오드래곤,"49,700",상승,"1,500",+3.11%,500,"212,649","10,600","49,650","14,939",364,95.39,500,"119,289","49,950","49,700","9,255",-34.86,500,"50,400","1,428","1,859",335,11.84,500,"49,100","6,583","30,058","5,501",521,500,N/A
33,주성엔지니어링,"31,600",상승,200,+0.64%,500,"415,743","13,310","31,550","14,937",972,12.69,500,"190,538","32,100","31,600","9,868",235.88,500,"32,600","19,009","4,202","1,068",17.85,500,"31,450","8,828","47,268","4,094","2,491",500,287
34,동진쎄미켐,"28,200",상승,250,+0.89%,500,"293,808","8,382","28,200","14,499","2,082",9.44,500,"349,615","28,600","28,250","20,170",18.19,500,"28,900","20,166","9,966","1,435",9.69,500,"28,100","14,659","51,414","14,081","2,986",500,200
35,엔켐,"67,500",상승,800,+1.20%,500,"247,734","17,174","67,500","14,306",-653,-6.58,500,"227,982","68,200","67,700","11,269","-2,244.05",500,"71,700","8,614","6,601","-5,712",6.88,500,"66,900","1,711","21,194","3,657","-10,265",500,N/A
36,CJ ENM,"64,900",상승,"4,500",+7.45%,"5,000","203,082","13,102","64,800","14,232","1,045",-2.59,"5,000","45,804","61,300","64,900","93,166",815.59,"5,000","66,000","1,709","56,386","-5,808",16.97,"5,000","61,000","7,953","21,929","52,314","-25,100","5,000",N/A
37,루닛,"48,350",상승,"1,350",+2.87%,500,"257,771","12,500","48,350","14,094",-677,-20.23,500,"159,444","48,000","48,400","4,350",-60.30,500,"49,000","7,123","2,702",-824,9.87,500,"47,950","3,056","29,150",542,"-2,390",500,0
38,카카오게임즈,"16,350",하락,330,-1.98%,100,"428,987","7,141","16,340","13,549",191,-10.18,100,"401,743","17,080","16,350","31,732",-74.60,100,"17,140","8,760","16,949","-1,281",10.96,100,"16,330","3,049","82,866","6,272","-1,606",100,N/A
39,테크윙,"34,250",상승,750,+2.24%,500,"510,181","17,794","34,250","12,794",234,-91.58,500,"429,037","34,450","34,300","5,062",640.74,500,"35,600","18,482","3,179",-220,10.63,500,"34,150","10,155","37,354","1,855",-374,500,130
40,솔브레인,"164,000",상승,"2,800",+1.74%,500,"19,442","3,204","164,000","12,757","1,679",12.32,500,"20,533","164,300","164,200","11,682",25.82,500,"165,800",699,"1,309","1,196",31.52,500,"163,000",337,"7,779","8,634","13,317",500,"2,300"
41,디어유,"53,500",상승,800,+1.52%,500,"267,927","14,213","53,500","12,700",254,61.49,500,"300,566","53,800","53,600","2,203",N/A,500,"54,500","4,471",243,244,5.99,500,"51,900","8,268","23,738",749,870,500,215
42,서진시스템,"22,550",상승,"1,050",+4.88%,500,"327,462","7,352","22,500","12,684","1,087",25.62,500,"379,167","22,100","22,550","21,032",121.85,500,"22,800","30,866","12,276",839,7.05,500,"22,000","23,230","56,248","12,138",880,500,N/A
43,메디톡스,"172,700",상승,"4,300",+2.55%,500,"55,597","9,638","172,700","12,604",203,60.13,500,"62,520","170,200","173,400","6,152",17.47,500,"175,700",720,"1,444",161,11.69,500,"168,700","1,122","7,298","2,286","2,872",500,"1,100"
44,메지온,"39,650",상승,150,+0.38%,500,"126,571","5,041","39,600","11,898",-143,-51.90,500,"68,034","39,250","39,650",740,1.31,500,"41,300","1,973",279,-195,21.07,500,"38,050","2,649","30,007",86,-764,500,0
45,하이젠알앤엠,"38,450",상승,350,+0.92%,500,"300,804","11,390","38,450","11,876",-4,-302.76,500,"211,135","38,500","38,500","1,202",-108.52,500,"38,750","6,631",518,-11,4.34,500,"36,300","10,199","30,888",759,-127,500,N/A
46,HK이노엔,"41,250",하락,350,-0.84%,500,"119,466","4,934","41,250","11,686",882,17.05,500,"112,510","42,000","41,300","18,896",33.82,500,"42,000","11,647","6,382",616,8.92,500,"40,900","5,487","28,330","8,971","2,419",500,350
47,원익IPS,"23,250",상승,400,+1.75%,500,"207,538","4,835","23,200","11,412",106,29.66,500,"145,554","23,350","23,250","11,241",158.88,500,"23,750","12,900","2,367",207,24.60,500,"23,100","7,529","49,084","7,482",784,500,50
48,대주전자재료,"73,700",상승,400,+0.55%,500,"97,934","7,286","73,700","11,409",294,30.06,500,"68,497","74,400","73,800","6,230",372.76,500,"76,100","5,994","3,927",364,18.74,500,"73,400","2,248","15,481","2,193","2,452",500,100
49,비에이치아이,"36,800",상승,900,+2.51%,500,"878,943","31,509","36,750","11,388",219,51.11,500,"1,032,187","35,300","36,800","5,248",45.34,500,"37,100","6,835","4,083",196,18.59,500,"34,850","18,072","30,944","4,047",720,500,N/A
50,지아이이노베이션,"18,080",하락,"1,200",-6.22%,500,"1,277,217","23,294","18,070","11,140",-483,-16.76,500,"1,328,386","19,000","18,080",458,9.46,500,"19,030","11,862",167,-588,4.97,500,"17,760","8,255","61,614",0,"-1,079",500,0
51,티씨케이,"94,500",상승,"5,300",+5.94%,500,"60,316","5,606","94,500","11,033",807,14.53,500,"19,450","91,000","94,600","5,635",21.06,500,"95,100",460,473,720,65.52,500,"90,400","2,650","11,675","2,757","6,503",500,"1,410"
52,고영,"15,970",상승,470,+3.03%,100,"1,377,302","21,848","15,960","10,964",33,64.66,100,"1,282,570","15,650","15,970","3,779",-83.69,100,"16,090","23,486",548,210,14.89,100,"15,300","20,888","68,655","2,025",247,100,140
53,ISC,"51,600",상승,"1,650",+3.30%,500,"142,646","7,433","51,600","10,938",448,23.93,500,"74,618","51,300","51,700","5,829",317.11,500,"52,900","5,104",597,549,18.45,500,"51,000","3,293","21,197","1,745","2,156",500,810
54,카페24,"44,900",상승,250,+0.56%,500,"167,300","7,532","44,850","10,890",319,36.68,500,"159,977","45,100","44,900","3,423","1,978.14",500,"45,650","6,384","1,267",235,22.08,500,"44,350","7,206","24,253","3,025","1,224",500,N/A
55,오스코텍,"28,150",하락,650,-2.26%,500,"169,624","4,806","28,100","10,767",-27,"2,815.00",500,"95,704","29,300","28,150","1,708",91.63,500,"29,650","7,079",384,-16,9.88,500,"27,950","1,496","38,248",340,10,500,N/A
56,하림지주,"9,320",상승,790,+9.26%,100,"1,655,897","15,326","9,320","10,439","7,655",10.90,100,"477,301","8,820","9,330","160,790",34.88,100,"9,450","16,841","101,370","1,748",8.05,100,"8,740","35,617","112,006","122,730",855,100,120
57,올릭스,"51,700",하락,"4,900",-8.66%,500,"884,349","46,313","51,700","10,224",-309,-19.97,500,"765,917","54,500","51,800",712,-70.02,500,"54,800","27,525",528,-407,4.80,500,"49,100","38,691","19,775",57,"-2,589",500,0
58,SOOP,"86,400",상승,600,+0.70%,500,"77,286","6,726","86,200","9,931","1,135",9.61,500,"46,222","87,200","86,400","7,157",25.69,500,"88,000","2,661","3,333","1,024",35.42,500,"85,500","1,185","11,495","4,132","8,990",500,"1,500"
59,제이앤티씨,"16,940",상승,240,+1.44%,500,"134,565","2,281","16,940","9,800",-461,-11.70,500,"223,986","17,050","16,960","6,397",-261.51,500,"17,170","16,690","3,026",-334,1.96,500,"16,830","9,975","57,848","2,732","-1,448",500,N/A
60,위메이드,"27,000",상승,"1,150",+4.45%,500,"159,011","4,312","26,950","9,166",71,4.13,500,"135,955","26,450","27,000","18,757",106.40,500,"28,000","7,712","10,438","1,816",8.37,500,"26,400","4,463","33,948","7,119","6,530",500,N/A
61,유일로보틱스,"79,600",상승,"4,800",+6.42%,500,"222,138","17,503","79,600","9,140",4,173.42,500,"107,393","75,700","79,700","1,174",106.14,500,"80,400","1,675",224,-91,15.04,500,"75,700","15,051","11,483",352,459,500,N/A
62,넥슨게임즈,"13,730",상승,290,+2.16%,500,"352,095","4,854","13,720","9,043",387,28.84,500,"388,813","13,620","13,730","4,872",222.40,500,"14,000","54,695","1,745",314,4.70,500,"13,620","6,780","65,860","2,561",476,500,N/A
63,국일제지,800,보합,0,0.00%,100,0,0,0,"9,019",-13,-88.89,100,0,0,0,"1,424",19.80,100,0,0,194,-130,0.82,100,0,0,"1,127,406",564,-9,100,N/A
64,로보티즈,"68,100",상승,"5,500",+8.79%,500,"1,185,713","79,138","68,000","8,998",-30,"1,335.29",500,"903,098","63,800","68,100","1,002",43.88,500,"69,500","7,109",42,-30,10.23,500,"63,500","16,503","13,213",300,51,500,0
65,원텍,"9,970",하락,300,-2.92%,100,"992,272","10,010","9,960","8,917",348,25.37,100,"3,736,046","10,160","9,970","1,779",-24.43,100,"10,370","53,980",511,291,6.80,100,"9,910","9,998","89,439","1,153",393,100,50
66,디앤디파마텍,"82,100",하락,"3,500",-4.09%,500,"332,798","27,265","82,000","8,824",-250,-26.02,500,"132,888","81,700","82,100",975,-85.50,500,"84,700","2,469",279,-295,3.10,500,"78,800","1,288","10,747",114,"-3,155",500,0
67,덕산네오룩스,"35,450",하락,"1,850",-4.96%,200,"458,487","16,997","35,450","8,803",525,19.41,200,"150,370","38,100","35,500","4,523",59.39,200,"39,050","6,202",533,458,7.31,200,"34,950","6,665","24,831","2,123","1,826",200,N/A
68,코나아이,"59,000",상한가,"13,550",+29.81%,500,"4,489,986","253,566","59,000","8,592",334,25.78,500,"1,200,911","55,500",0,"4,131",-0.80,500,"59,000","92,945","2,153",302,0.78,500,"50,200",0,"14,563","2,363","2,289",500,680
69,레이크머티리얼즈,"12,550",상승,470,+3.89%,100,"318,138","4,007","12,550","8,249",222,44.66,100,"207,116","12,250","12,560","3,513",-24.93,100,"12,870","2,050","2,200",210,6.99,100,"12,250","2,376","65,731","1,387",281,100,50
70,필옵틱스,"35,600",상승,"1,300",+3.79%,500,"422,034","14,884","35,550","8,147",138,161.09,500,"275,822","34,950","35,600","3,827",34.40,500,"35,650","10,599","1,441",129,2.26,500,"34,800","26,198","22,886","4,109",221,500,0
71,와이씨,"9,930",상승,280,+2.90%,100,"372,881","3,712","9,930","8,147",106,95.48,100,"193,502","9,810","9,940","5,769",23.66,100,"10,060","12,432","1,586",129,0.72,100,"9,810","14,239","82,045","2,112",104,100,N/A
72,에스에프에이,"21,800",상승,750,+3.56%,500,"77,106","1,677","21,800","7,828",-484,-9.49,500,"31,006","21,550","21,850","24,796",-154.44,500,"22,100","56,855","9,572",-321,9.06,500,"21,400","3,510","35,909","20,454","-2,296",500,270
73,동성화인텍,"26,050",상승,250,+0.97%,500,"311,126","8,042","26,000","7,812",540,19.69,500,"287,175","25,800","26,050","4,555",35.13,500,"26,200","4,109","2,530",393,16.14,500,"25,250","35,517","29,989","5,974","1,323",500,350
74,동국제약,"17,040",하락,20,-0.12%,500,"156,247","2,666","17,040","7,648",804,13.29,500,"125,158","17,290","17,050","9,532",20.26,500,"17,300","2,187","2,742",623,14.54,500,"16,920","1,385","44,884","8,122","1,282",500,200
75,피엔티,"32,150",상승,500,+1.58%,500,"177,114","5,747","32,150","7,633","1,632",6.98,500,"154,362","32,000","32,200","16,203",112.19,500,"33,150","13,864","9,957","1,422",4.12,500,"32,000","15,154","23,743","10,351","4,605",500,100
76,성광벤드,"27,100",상승,200,+0.74%,500,"234,627","6,309","27,100","7,569",420,19.77,500,"276,082","26,850","27,150","5,631",-6.35,500,"27,200","17,100",443,410,22.61,500,"26,200","21,490","27,929","2,277","1,371",500,200
77,유진테크,"32,950",상승,300,+0.92%,500,"130,734","4,352","32,950","7,551",612,11.64,500,"70,716","33,350","33,000","5,395",151.49,500,"33,800","3,264","1,038",654,30.73,500,"32,750","1,824","22,916","3,381","2,831",500,230
78,솔브레인홀딩스,"35,950",상승,"6,400",+21.66%,500,"262,868","9,185","35,900","7,537",853,15.93,500,"17,786","30,950","35,950","19,966",-29.47,500,"36,900","1,460","5,055",557,4.94,500,"30,750","5,723","20,964","5,154","2,257",500,220
79,에스앤에스텍,"34,400",상승,450,+1.33%,500,"114,526","3,945","34,350","7,379",295,21.25,500,"133,980","34,650","34,400","2,970",17.73,500,"34,700","5,141",502,303,9.09,500,"34,150","5,878","21,451","1,760","1,619",500,150
80,하나마이크론,"10,850",상승,420,+4.03%,500,"851,744","9,287","10,840","7,190","1,068",-76.41,500,"614,318","10,580","10,850","19,446",84.43,500,"11,050","20,316","13,388",-112,9.98,500,"10,580","8,995","66,272","12,507",-142,500,70
81,LS머트리얼즈,"10,530",상승,440,+4.36%,500,"242,491","2,546","10,520","7,124",62,228.91,500,"116,288","10,210","10,530","2,531",-54.33,500,"10,630","2,629",460,57,3.94,500,"10,200","15,476","67,653","1,421",46,500,N/A
82,HLB생명과학,"5,830",하락,170,-2.83%,500,"466,991","2,749","5,830","7,108",-248,-3.52,500,"154,400","5,800","5,840","5,390",-1.17,500,"6,020","70,394","1,402",62,9.79,500,"5,800","7,494","121,917","1,022","-1,657",500,0
83,현대힘스,"19,940",하락,860,-4.13%,500,"917,633","18,165","19,940","7,064",215,39.56,500,"347,601","20,600","19,950","3,265",48.99,500,"20,650","4,254",930,166,1.76,500,"19,380","36,707","35,425","2,232",504,500,100
84,안랩,"63,100",상승,500,+0.80%,500,"52,207","3,267","63,100","7,021",277,18.86,500,"32,861","62,300","63,200","4,647",4.77,500,"63,400","2,129",959,324,31.96,500,"61,800","8,503","11,127","2,606","3,346",500,"1,300"
85,펌텍코리아,"56,200",하락,300,-0.53%,500,"54,538","3,060","56,200","6,969",484,19.56,500,"60,164","57,400","56,300","4,076",37.15,500,"57,700","1,819",869,383,15.21,500,"55,600","1,757","12,400","3,375","2,873",500,420
86,SAMG엔터,"78,800",상승,800,+1.03%,500,"122,364","9,675","78,800","6,911",-61,-93.59,500,"165,226","80,300","78,900",974,35.14,500,"80,700","18,360",666,-194,18.40,500,"77,900","2,288","8,771","1,164",-842,500,N/A
87,태성,"22,600",상승,"1,450",+6.86%,100,"235,878","5,223","22,550","6,893",60,262.79,100,"119,297","21,400","22,600",796,980.50,100,"22,600","10,197",386,60,3.44,100,"21,300","13,036","30,501",592,86,100,0
88,피에스케이홀딩스,"31,800",상승,700,+2.25%,500,"143,673","4,592","31,800","6,857",885,7.41,500,"70,516","31,950","31,850","5,136",228.07,500,"32,450","7,150",821,958,3.89,500,"31,550","5,682","21,562","2,155","4,289",500,700
89,아난티,"7,610",상승,150,+2.01%,100,"2,450,667","18,715","7,610","6,745",8,-40.70,100,"986,834","7,830","7,620","16,224",-99.70,100,"8,020","38,420","9,110",-324,7.50,100,"7,350","32,598","88,629","2,852",-187,100,N/A
90,비츠로셀,"28,950",상승,300,+1.05%,500,"70,864","2,041","28,900","6,622",519,12.63,500,"56,641","28,850","28,950","3,179",37.73,500,"29,050","5,707",348,513,29.34,500,"28,425","4,229","22,872","2,108","2,292",500,460
91,LS마린솔루션,"20,100",상승,"1,750",+9.54%,"1,000","542,774","10,712","20,050","6,566",124,39.96,"1,000","183,175","19,290","20,100","2,543",N/A,"1,000","20,450","3,350",461,132,3.21,"1,000","19,110","25,013","32,669","1,303",503,"1,000",160
92,다우데이타,"17,140",상승,350,+2.08%,500,"418,792","7,180","17,130","6,565","12,059",4.53,500,"359,766","17,050","17,140","577,571",80.54,500,"17,500","3,737","512,862","8,659",10.51,500,"16,800","5,197","38,300","121,361","3,783",500,450
93,엘앤씨바이오,"28,000",상승,300,+1.08%,500,"268,531","7,628","27,900","6,490",25,4.57,500,"360,228","28,000","28,000","4,756",-68.73,500,"29,300","6,154","1,809","1,410",8.08,500,"27,650","4,056","23,179",721,"6,131",500,50
94,HLB테라퓨틱스,"7,690",하락,90,-1.16%,500,"356,359","2,753","7,670","6,488",-76,-23.52,500,"305,890","7,510","7,690","2,198",12.63,500,"7,950","12,011",379,-235,6.03,500,"7,490","2,034","84,371",549,-327,500,0
95,코미코,"60,800",상승,"4,100",+7.23%,500,"173,171","10,384","60,800","6,360","1,125",11.09,500,"64,834","57,900","60,900","8,003",240.50,500,"61,100","1,479","4,246",878,20.02,500,"57,700","9,424","10,461","5,071","5,483",500,"1,000"
96,휴온스글로벌,"49,000",상승,"1,500",+3.16%,500,"52,264","2,574","48,900","6,192",970,23.76,500,"28,255","48,350","49,000","14,059",-14.88,500,"50,600",445,"4,418",671,7.81,500,"47,700","1,118","12,637","8,135","2,062",500,525
97,한글과컴퓨터,"25,500",상승,850,+3.45%,500,"1,250,812","31,800","25,450","6,166",404,39.66,500,"1,319,246","26,100","25,500","6,819",18.37,500,"26,250","38,492","1,963",140,7.43,500,"24,600","29,564","24,180","3,048",643,500,410
98,HLB제약,"18,790",하락,250,-1.31%,500,"145,082","2,723","18,780","6,161",15,115.28,500,"79,761","18,220","18,790","1,579",107.54,500,"19,220","1,370",415,20,0.79,500,"18,200","1,440","32,791","1,371",163,500,0
99,위메이드맥스,"7,390",상승,430,+6.18%,500,"146,623","1,063","7,380","6,129",-81,-29.44,500,"180,449","7,020","7,390","5,976",-315.03,500,"7,400","1,210",962,-157,11.54,500,"6,970","2,749","82,936",750,-251,500,0
100,나노신소재,"50,200",상승,"1,200",+2.45%,500,"53,010","2,681","50,100","6,123",30,-274.32,500,"42,811","49,900","50,200","4,422",-74.88,500,"51,500","1,154","1,980",-19,8.22,500,"49,800","4,309","12,198",878,-183,500,250
101,인카금융서비스,"11,880",상승,580,+5.13%,100,"509,290","6,085","11,880","6,104",863,9.38,100,"318,051","11,560","11,890","7,074",85.22,100,"12,280","2,557","5,602",620,4.79,100,"11,220","5,143","51,380","8,323","1,267",100,100
102,엠로,"48,950",상승,500,+1.03%,500,"93,024","4,584","48,900","6,038",86,30.27,500,"38,822","49,750","48,950","1,024",84.58,500,"50,200","2,524",134,186,4.39,500,"48,700","2,639","12,335",795,"1,617",500,0
103,휴메딕스,"53,600",상승,100,+0.19%,500,"75,164","4,048","53,600","6,019",431,13.86,500,"76,531","53,200","53,800","2,498",15.63,500,"54,800","1,681",212,393,9.74,500,"53,100","6,330","11,230","1,619","3,868",500,630
104,우리기술투자,"7,160",상승,290,+4.22%,500,"475,614","3,378","7,150","6,014","1,757",4.07,500,"262,436","6,950","7,160","8,038",14.13,500,"7,160","9,894","1,376","1,477",2.05,500,"6,950","33,782","84,000","1,923","1,759",500,N/A
105,비올,"10,150",하락,550,-5.14%,100,"1,434,134","14,499","10,150","5,930",361,16.86,100,"640,566","10,720","10,160",981,61.62,100,"10,780","12,979",92,326,7.01,100,"9,770","15,296","58,419",582,602,100,20
106,아이쓰리시스템,"82,900",하락,100,-0.12%,500,"42,486","3,499","82,800","5,892",148,36.89,500,"148,709","83,100","82,900","1,468",20.94,500,"84,100","1,240",411,150,4.65,500,"81,300","2,930","7,107","1,207","2,247",500,400
107,에스피지,"26,450",상승,"1,450",+5.80%,500,"358,399","9,359","26,400","5,866",123,43.01,500,"195,505","25,500","26,450","3,975",-22.76,500,"26,550","13,009","1,434",131,4.56,500,"25,350","24,165","22,177","3,885",615,500,150
108,인투셀,"39,100",하락,"3,750",-8.75%,500,"772,909","30,845","39,100","5,798",-98,-51.72,500,"579,421","41,550","39,150",237,43.70,500,"41,800","7,607",162,-99,0.15,500,"38,800","5,597","14,829",29,-756,500,0
109,RFHIC,"21,800",상승,900,+4.31%,500,"519,783","11,386","21,800","5,774",15,76.49,500,"970,898","21,550","21,850","4,829",404.84,500,"22,450","14,107","1,250",197,10.08,500,"21,550","11,968","26,484","1,149",285,500,100
110,시노펙스,"6,570",상승,60,+0.92%,500,"427,112","2,809","6,560","5,763",212,22.27,500,"254,217","6,540","6,570","2,354",-12.19,500,"6,610","24,111",678,280,2.31,500,"6,530","93,481","87,720","2,383",295,500,0
111,심텍,"18,070",상승,180,+1.01%,500,"225,588","4,140","18,060","5,756",-470,-11.35,500,"186,455","18,360","18,070","14,433",46.70,500,"18,530","6,862","9,948",-310,5.05,500,"18,040","12,688","31,854","12,314","-1,592",500,100
