N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,액면가,전일거래량,시가,매도호가,자산총계,영업이익증가율,액면가,고가,매수총잔량,부채총계,당기순이익,외국인비율,액면가,저가,매도총잔량,상장주식수,매출액,주당순이익,액면가,보통주배당금
1,알테오젠,"381,000",상승,"31,000",+8.86%,500,"783,527","299,368","381,000","203,702",254,163.03,500,"426,366","374,000","381,500","4,090",360.91,500,"388,000","12,622","1,349",607,14.40,500,"370,500","22,585","53,465","1,029","2,337",500,0
2,에코프로비엠,"91,700",상승,"2,700",+3.03%,500,"445,175","41,069","91,600","89,684",-341,-96.63,500,"294,820","90,700","91,700","43,237",-121.86,500,"94,200","5,114","23,466",-585,11.39,500,"90,100","16,921","97,801","27,668",-949,500,N/A
3,HLB,"51,400",하락,"1,500",-2.84%,500,"635,815","33,126","51,400","67,552","-1,185",-35.77,500,"361,878","51,100","51,500","8,874",5.21,500,"53,650","50,640","2,353","-1,080",20.75,500,"51,000","20,463","131,425",681,"-1,437",500,0
4,에코프로,"43,700",상승,"1,600",+3.80%,100,"1,327,121","58,557","43,650","59,334","-2,930",-33.82,100,"882,100","43,050","43,700","81,383",-198.28,100,"45,100","17,949","42,998","-2,954",20.79,100,"43,050","32,316","135,776","31,279","-1,292",100,100
5,레인보우로보틱스,"286,000",상승,"17,000",+6.32%,500,"283,708","80,470","285,500","55,484",-30,"6,975.61",500,"78,970","272,500","286,000","1,399",93.32,500,"290,000","8,349",71,21,7.49,500,"272,000","16,413","19,400",193,41,500,N/A
6,파마리서치,"480,000",상승,"6,500",+1.37%,500,"93,024","45,368","480,000","50,446","1,261",47.71,500,"90,541","486,500","480,500","8,557",36.63,500,"499,000",851,"2,863",889,17.47,500,"479,000",618,"10,510","3,501","10,061",500,"1,100"
7,휴젤,"334,000",하락,"2,500",-0.74%,500,"60,281","20,408","334,000","41,095","1,662",29.00,500,"37,834","340,000","334,500","9,394",41.13,500,"344,500","1,908",986,"1,431",54.42,500,"331,500","3,024","12,304","3,730","11,517",500,0
8,리가켐바이오,"111,600",하락,"3,100",-2.70%,500,"380,828","42,494","111,600","40,857",-209,164.12,500,"132,737","114,800","111,700","7,384",74.12,500,"115,700","4,969","1,224",78,10.69,500,"109,100","7,417","36,610","1,259",680,500,N/A
9,클래시스,"59,000",상승,"1,000",+1.72%,100,"259,736","15,277","58,900","38,648","1,224",37.60,100,"231,133","58,900","59,000","6,084",36.62,100,"59,300","16,675","1,557",975,72.29,100,"58,000","12,419","65,506","2,429","1,569",100,257
10,펩트론,"161,000",하한가,"69,000",-30.00%,500,"1,402,421","226,993",0,"37,509",-165,-163.12,500,"134,873","161,000","161,000","1,689",-4.05,500,"167,400",0,172,-220,7.92,500,"161,000","348,256","23,297",32,-987,500,N/A
11,에이비엘바이오,"76,400",하락,"4,300",-5.33%,500,"1,223,510","93,872","76,400","37,075",-594,-55.73,500,"642,796","79,400","76,500","2,320","-2,168.82",500,"79,600","26,890",647,-555,14.82,500,"74,300","16,676","48,528",334,"-1,371",500,N/A
12,삼천당제약,"145,200",하락,800,-0.55%,500,"112,248","16,425","145,100","34,060",26,-293.93,500,"84,379","147,700","145,200","5,198",-72.36,500,"150,100","3,050","1,704",-51,3.16,500,"144,200","1,627","23,457","2,109",-494,500,200
13,리노공업,"43,600",상승,"3,000",+7.39%,100,"1,013,920","44,215","43,600","33,228","1,242",27.23,100,"354,996","42,100","43,650","6,574",8.59,100,"44,250","6,875",348,"1,133",35.38,100,"42,100","23,978","76,212","2,782","1,601",100,600
14,코오롱티슈진,"39,700",상승,300,+0.76%,0,"253,808","9,962","39,650","32,396",-220,-87.44,0,"264,167","39,000","39,700","2,223",-7.28,0,"40,350","3,268",764,-338,3.48,0,"38,400","1,091","81,601",51,-454,0,0
15,실리콘투,"51,800",하락,100,-0.19%,500,"1,008,976","51,860","51,700","31,687","1,376",23.58,500,"3,161,332","51,100","51,800","4,578",187.76,500,"52,300","35,309","1,962","1,207",6.41,500,"50,500","37,079","61,172","6,915","2,197",500,N/A
16,에스엠,"128,100",하락,"1,800",-1.39%,500,"187,778","24,224","128,000","29,328",873,11.77,500,"168,142","131,800","128,100","14,191",-23.06,500,"131,800","6,874","5,900",8,24.57,500,"127,600","4,492","22,895","9,897","10,881",500,400
17,JYP Ent.,"76,800",하락,200,-0.26%,500,"397,084","30,637","76,700","27,289","1,283",20.15,500,"382,514","78,300","76,800","6,788",-24.30,500,"78,400","18,595","1,959",977,22.44,500,"76,400","19,090","35,532","6,018","3,811",500,534
18,펄어비스,"38,500",상승,100,+0.26%,100,"153,618","5,895","38,500","24,735",-123,51.47,100,"102,122","38,700","38,550","11,428",24.82,100,"38,700","7,936","3,368",603,7.50,100,"38,025","14,291","64,248","3,424",748,100,N/A
19,셀트리온제약,"49,250",상승,250,+0.51%,500,"77,088","3,803","49,200","21,512",372,78.55,500,"41,006","49,600","49,250","6,695",3.19,500,"49,900","2,126","2,725",220,4.58,500,"48,950","6,516","43,679","4,778",627,500,24
20,젬백스,"49,950",하락,"1,350",-2.63%,500,"271,197","13,889","49,900","20,682",-383,-32.46,500,"273,106","52,500","49,950","1,507",-387.24,500,"54,000","6,521","1,217",-872,6.12,500,"49,500","8,484","41,406",627,"-1,539",500,0
21,보로노이,"102,700",하락,"1,000",-0.96%,500,"111,038","11,356","102,600","18,885",-179,-46.43,500,"103,394","102,900","102,700",640,-65.09,500,"105,400","2,246",297,-199,3.96,500,"99,500","2,156","18,388",98,"-2,212",500,0
22,케어젠,"34,700",상승,"2,500",+7.76%,100,"182,555","6,367","34,650","18,639",342,59.72,100,"44,626","33,000","34,700","2,407",-15.18,100,"36,250","2,983",177,323,5.00,100,"32,500","20,480","53,715",826,581,100,640
23,HPSP,"22,250",상승,250,+1.14%,500,"349,922","7,850","22,250","18,578",939,23.08,500,"224,420","22,400","22,300","3,199",-1.32,500,"22,800","29,043",420,863,20.52,500,"22,250","16,691","83,499","1,814",964,500,600
24,이오테크닉스,"147,800",상승,"2,800",+1.93%,500,"96,470","14,396","147,500","18,208",312,39.05,500,"46,920","148,800","147,800","6,530",0.84,500,"152,300","1,080",500,427,21.19,500,"146,700",778,"12,320","3,209","3,785",500,500
25,파크시스템스,"257,500",상승,500,+0.19%,500,"23,897","6,220","257,500","17,999",385,32.67,500,"32,822","262,500","258,000","2,743",39.80,500,"265,500","2,052",864,428,32.81,500,"257,000","1,000","6,990","1,751","7,881",500,500
26,네이처셀,"26,850",상승,450,+1.70%,500,"365,869","9,816","26,850","17,301",6,"-8,950.00",500,"448,198","26,100","26,900",720,105.82,500,"27,300","20,078",74,12,7.17,500,"26,000","20,244","64,435",323,-3,500,0
27,씨젠,"32,850",보합,0,0.00%,500,"270,834","8,925","32,800","17,156",-165,161.03,500,"369,112","33,200","32,850","12,053",45.17,500,"33,550","17,848","2,238",-203,15.49,500,"32,600","11,378","52,226","4,143",204,500,800
28,신성델타테크,"61,000",상승,"3,800",+6.64%,500,"298,114","18,078","61,000","16,765",272,"-1,326.09",500,"82,060","58,000","61,100","7,741",-9.01,500,"63,600","2,739","4,568",74,7.82,500,"57,000","3,858","27,484","9,097",-46,500,120
