N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
1,삼성전자,"61,000",상승,"1,200",+2.01%,100,"3,083,960","187,372","60,300","3,610,979","327,260",11.82,"17,110,294","60,400","60,400","5,145,319",398.34,9.03,"61,100","638,007","1,123,399","344,514",49.64,7.10,"60,200","807,865","5,919,638","3,008,709","5,162",1.03,"1,446",16.20
2,SK하이닉스,"293,500",상승,"1,500",+0.51%,"5,000","498,125","144,780","288,000","2,136,687","234,673",8.23,"4,375,298","291,000","288,500","1,198,552",403.58,31.06,"294,000","37,773","459,395","197,969",55.51,17.98,"287,000","32,926","728,002","661,930","35,682",2.48,"2,204",102.02
3,삼성바이오로직스,"999,000",상승,"7,000",+0.71%,"2,500","6,234","6,225","998,000","711,028","13,201",55.57,"44,549","994,000","1,000,000","173,363",18.53,10.45,"1,003,000","1,249","64,316","10,833",12.88,6.49,"994,000",780,"71,174","45,473","17,977",6.30,0,23.08
4,LG에너지솔루션,"296,500",하락,500,-0.17%,500,"18,766","5,540","293,500","693,810","5,754",-59.61,"209,821","296,500","294,000","603,068",-73.40,-4.93,"297,000","6,190","293,402","3,386",4.13,0.64,"292,500","2,716","234,000","256,196","-4,974",3.28,N/A,-24.08
5,두산에너빌리티,"69,000",상승,600,+0.88%,"5,000","1,564,590","107,600","69,100","441,987","10,176",-433.96,"12,295,863","67,800","69,200","263,148",-30.65,1.52,"69,300","36,758","146,537","3,947",24.27,1.55,"67,800","154,527","640,561","162,331",-159,5.81,N/A,-7.71
6,KB금융,"112,100",상승,"1,200",+1.08%,"5,000","258,659","28,849","111,600","427,619","80,453",7.78,"1,265,461","109,800","111,700","7,578,455",26.00,8.86,"112,700","4,073","6,980,304","50,286",78.19,0.68,"109,800","6,816","381,462","850,764","14,416",0.71,"3,174",9.77
7,현대차,"207,000",상승,"3,500",+1.72%,"5,000","72,811","14,984","204,000","423,849","142,396",4.51,"492,507","204,000","204,500","3,397,984",-5.87,12.43,"207,500","30,416","2,195,225","132,299",36.28,4.25,"203,500","15,808","204,758","1,752,312","45,880",0.49,"12,000",7.73
8,NAVER,"265,000",상승,"2,500",+0.95%,100,"213,324","56,408","263,000","419,858","19,793",23.14,"2,219,752","264,000","263,500","381,679",32.94,7.90,"267,000","27,856","111,670","19,320",45.92,5.23,"262,000","16,811","158,437","107,377","11,452",1.49,"1,130",11.03
9,삼성전자우,"50,300",상승,800,+1.62%,100,"198,351","9,949","49,900","410,435",N/A,9.74,"1,727,037","49,950","49,950",N/A,N/A,N/A,"50,400","25,221",N/A,N/A,73.84,N/A,"49,850","59,620","815,975",N/A,"5,162",0.85,N/A,N/A
10,한화에어로스페이스,"862,000",상승,"14,000",+1.65%,"5,000","26,882","23,126","861,000","407,693","17,319",17.43,"260,471","853,000","862,000","433,369",191.41,53.94,"867,000",804,"319,726","25,399",44.52,8.08,"853,000","1,972","47,296","112,401","49,447",9.97,"3,500",42.47
11,기아,"98,600",상승,"1,700",+1.75%,"5,000","125,152","12,281","97,200","392,105","126,671",4.21,"693,015","97,000","97,400","927,559",9.13,19.09,"98,800","13,167","369,156","97,750",39.19,11.28,"97,000","9,543","397,673","1,074,488","23,440",0.69,"6,500",7.66
12,HD현대중공업,"425,500",하락,"3,000",-0.70%,"5,000","34,631","14,741","430,000","377,730","7,052",43.07,"164,132","428,500","430,500","193,909",294.77,11.39,"433,500",974,"136,865","6,215",10.94,3.40,"421,500","1,275","88,773","144,865","9,880",6.51,"2,090",21.08
13,셀트리온,"160,700",상승,"1,100",+0.69%,"1,000","52,142","8,356","160,000","357,439","4,920",74.36,"313,849","159,700","160,100","210,552",-24.48,2.46,"160,900","5,033","34,752","4,189",21.38,2.04,"159,700","3,541","222,426","35,573","2,161",2.08,735,63.45
14,신한지주,"63,300",상승,"1,900",+3.09%,"5,000","371,788","23,410","62,800","313,868","64,587",6.95,"2,251,863","62,000","63,000","7,397,643",5.87,8.11,"63,600","5,680","6,809,432","45,582",58.99,0.64,"61,900","17,248","495,842","419,028","9,108",0.55,"2,160",6.26
15,삼성물산,"167,300",상승,"5,900",+3.66%,100,"103,021","17,117","163,800","284,371","29,834",13.36,"352,768","163,200","164,200","619,904",3.95,6.83,"167,700",654,"247,319","27,720",27.03,4.33,"163,100","2,020","169,977","421,032","12,523",0.86,"2,600",0.50
16,카카오,"61,400",상승,"1,400",+2.33%,100,"821,826","49,839","59,500","271,245","4,602",177.46,"4,067,265","59,900","59,600","257,730",-0.14,0.56,"61,500","58,719","118,301","-1,619",28.11,-0.64,"59,300","19,196","441,767","78,717",346,2.59,68,4.16
17,현대모비스,"293,000",상승,"6,000",+2.09%,"5,000","19,326","5,622","288,500","268,960","30,735",6.46,"150,016","287,500","289,500","665,969",33.90,9.35,"294,000","2,057","204,787","40,602",43.02,6.49,"287,500","1,164","91,795","572,370","45,380",0.56,"6,000",-3.41
18,삼성생명,"132,500",상승,"5,100",+4.00%,500,"80,683","10,583","130,000","265,000","24,998",12.50,"286,661","129,500","130,300","3,122,188",4.23,6.18,"133,400",306,"2,794,809","22,603",21.88,0.72,"128,800","2,541","200,000","337,860","10,600",0.81,"4,500",9.21
19,HD한국조선해양,"367,000",상승,"1,000",+0.27%,"5,000","30,732","11,217","366,500","259,737","14,341",17.56,"219,624","366,000","367,500","367,191",408.07,11.16,"370,000","1,846","225,633","14,546",33.08,4.22,"360,500","2,378","70,773","255,386","20,895",2.28,"5,100",19.92
20,하나금융지주,"90,300",상승,"4,000",+4.63%,"5,000","302,104","27,000","88,700","257,106","48,552",6.81,"1,132,168","87,400","88,800","6,378,475",3.45,9.11,"90,700","5,398","5,942,706","37,685",67.95,0.61,"87,300","5,570","284,724","816,143","13,252",0.58,"3,600",17.10
21,SK스퀘어,"191,400",상승,"8,400",+4.59%,100,"74,370","14,114","186,900","253,683","39,126",5.16,"829,115","188,500","187,100","219,211",267.23,21.70,"192,200",496,"23,356","36,505",51.77,18.30,"186,600",746,"132,541","61,385","37,069",1.23,0,169.41
22,한국전력,"38,400",하락,900,-2.29%,"5,000","893,037","34,207","38,550","246,514","83,647",4.69,"8,345,599","38,800","38,600","2,468,078",284.18,9.22,"38,800","54,501","2,054,450","36,220",19.08,1.49,"38,000","25,694","641,964","933,989","8,191",0.59,213,5.87
23,한화오션,"79,600",상승,200,+0.25%,"5,000","247,578","19,843","81,000","243,905","2,379",35.21,"1,849,414","80,300","80,900","178,438",221.06,11.52,"81,200","24,112","129,805","5,282",12.40,3.32,"79,500","18,314","306,413","107,760","2,261",4.80,N/A,45.46
24,HMM,"22,975",상승,475,+2.11%,"5,000","263,026","6,056","23,150","235,503","35,128",4.53,"987,748","22,850","23,200","338,486",500.72,15.35,"23,300","30,526","59,930","37,821",6.95,12.70,"22,800","29,138","1,025,039","117,002","5,073",0.72,600,39.27
25,현대로템,"200,500",상승,"4,000",+2.04%,"5,000","108,475","21,569","198,300","218,830","4,566",42.99,"804,130","197,900","198,100","52,854",117.36,21.85,"201,000","2,070","32,763","4,053",31.78,7.70,"197,000","1,694","109,142","43,766","4,664",10.01,200,22.00
26,POSCO홀딩스,"267,500",상승,"6,500",+2.49%,"5,000","48,632","12,950","265,000","216,496","21,736",26.01,"207,861","264,000","265,500","1,034,042",-38.45,2.00,"268,500","11,509","419,538","9,476",29.46,0.93,"263,000","9,669","80,933","726,881","10,286",0.36,"10,000",-5.76
27,메리츠금융지주,"117,200",상승,"4,700",+4.18%,500,"89,209","10,357","114,600","210,977","31,889",9.59,"258,082","113,300","114,700","1,155,782",8.71,23.44,"117,600",134,"1,046,482","23,334",15.93,2.14,"113,300","2,611","180,014","465,745","12,216",2.14,"1,350",-20.47
28,삼성화재,"452,000",상승,"18,000",+4.15%,500,"24,121","10,804","443,500","207,970","26,496",11.54,"76,620","438,500","444,500","872,695",12.40,13.11,"456,500",723,"716,673","20,768",55.89,2.41,"437,500",822,"46,011","226,570","39,171",1.25,"19,000",8.80
29,HD현대일렉트릭,"506,000",하락,"1,000",-0.20%,"5,000","22,960","11,621","505,000","182,398","6,690",32.48,"329,685","508,000","507,000","37,955",112.23,39.34,"510,000","3,529","22,880","4,984",34.82,14.87,"502,000","1,891","36,047","33,223","15,581",12.11,"5,350",22.92
30,SK이노베이션,"118,000",하락,"4,400",-3.59%,"5,000","424,528","50,367","121,100","178,221","3,155",-5.83,"3,309,175","121,700","121,200","1,105,301",-83.43,-9.65,"121,700","3,243","708,812","-23,725",13.80,-2.48,"116,900","3,077","151,035","747,170","-20,236",0.73,"2,000",-3.33
31,크래프톤,"360,000",하락,"3,000",-0.83%,100,"12,061","4,341","360,500","170,606","11,825",13.00,"174,279","363,500","361,000","79,195",53.96,21.10,"364,500","1,775","10,903","13,026",43.19,18.14,"358,000","1,481","47,391","27,098","27,686",2.27,0,41.83
32,우리금융지주,"22,750",상승,300,+1.34%,"5,000","294,691","6,716","22,800","168,940","42,552",5.87,"2,117,265","22,800","22,850","5,257,533",21.61,9.39,"22,900","51,639","4,898,581","31,715",46.85,0.62,"22,550","58,426","742,592","466,167","3,877",0.50,"1,200",11.03
33,고려아연,"828,000",상승,"9,000",+1.10%,"5,000","1,857","1,537","831,000","165,793","7,235",69.58,"33,087","821,000","834,000","147,923",9.63,2.28,"837,000",182,"71,969","1,948",12.31,1.45,"821,000",75,"20,023","120,529","11,900",2.03,"17,500",24.20
34,SK,"226,000",상승,"21,500",+10.51%,200,"228,198","50,320","214,500","163,856","23,553",18.40,"418,792","214,500","215,500","2,149,778",-50.46,-5.64,"226,500","4,669","1,346,902","5,288",23.86,0.25,"214,000","18,042","72,503","1,246,904","12,281",0.46,"7,000",-3.19
35,KT&G,"128,100",상승,400,+0.31%,"5,000","43,270","5,538","127,500","156,362","11,888",14.42,"338,240","127,600","127,300","139,252",1.84,12.66,"128,800","3,068","45,668","11,650",43.74,8.73,"127,000","1,502","122,062","59,088","8,881",1.52,"5,400",0.79
