N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
308,ACE 종합채권(AA-이상)KIS액티브,"108,620",하락,95,-0.09%,0,193,20,"108,690","8,541",N/A,N/A,"1,059","108,655","108,750",N/A,N/A,N/A,"108,695","6,001",N/A,N/A,0.00,N/A,"108,615","9,000","7,863",N/A,N/A,N/A,N/A,N/A
309,CJ CGV,"5,040",상승,40,+0.80%,500,"15,444",78,"4,970","8,345",759,-4.65,"235,164","5,000","4,995","39,970",54.76,-30.74,"5,080",206,"34,203","-1,755",5.34,-4.88,"5,000",23,"165,581","19,579","-1,084",1.27,0,26.66
310,전진건설로봇,"57,100",하락,200,-0.35%,500,"13,330",764,"56,500","8,332",313,27.66,"191,632","57,500","57,300","2,192",-4.74,24.55,"57,800",821,648,314,1.44,16.64,"57,000",429,"14,593","1,698","2,064",5.91,"1,277",7.21
311,신풍제약,"15,660",상승,"2,730",+21.11%,500,"333,326","5,261","15,740","8,297",-205,-61.41,"493,220","15,810","15,750","3,421",56.84,-5.85,"16,300",270,840,-154,4.58,-4.44,"15,520",387,"52,985","2,211",-255,3.14,N/A,10.42
312,SNT모티브,"31,150",하락,100,-0.32%,"5,000",783,24,"31,250","8,267",981,8.38,"72,195","31,300","31,300","12,418",-15.86,10.82,"31,450",12,"2,570","1,043",17.81,8.51,"31,050",52,"26,540","9,689","3,718",0.75,937,-14.73
313,영풍,"43,100",하락,100,-0.23%,500,"6,068",258,"42,650","8,236","-1,607",19.87,"459,374","42,250","43,000","57,017",5.37,-6.81,"43,350",331,"17,164","-3,278",9.90,-5.82,"42,250",126,"19,108","27,874","2,169",0.20,24,-25.90
314,TIGER 미국30년국채스트립액티브(합성 H),"38,130",하락,355,-0.92%,0,"9,299",354,"38,070","8,212",N/A,N/A,"155,276","38,120","38,105",N/A,N/A,N/A,"38,145","9,000",N/A,N/A,0.07,N/A,"38,100","8,609","21,536",N/A,N/A,N/A,N/A,N/A
315,TIGER 2차전지테마,"13,235",상승,510,+4.01%,0,"242,579","3,186","12,790","8,192",N/A,N/A,"711,929","12,900","12,820",N/A,N/A,N/A,"13,250","1,657",N/A,N/A,0.68,N/A,"12,900",31,"61,900",N/A,N/A,N/A,N/A,N/A
316,LG화학우,"106,300",상승,"1,100",+1.05%,"5,000","5,185",548,"105,500","8,173",N/A,-8.90,"50,314","105,600","107,000",N/A,N/A,N/A,"106,600",10,N/A,N/A,40.16,N/A,"105,300",140,"7,689",N/A,"-11,946",0.25,N/A,N/A
317,파미셀,"13,570",상승,180,+1.34%,500,"103,102","1,386","13,370","8,144",47,50.45,"2,717,033","13,500","13,390",993,259.23,7.59,"13,650",419,128,63,11.21,6.60,"13,290","4,045","60,017",649,269,8.69,20,15.34
318,빙그레,"85,050",상승,"1,650",+1.98%,"5,000","4,590",390,"84,200","8,127","1,313",8.68,"38,158","84,600","84,500","10,031",16.95,15.14,"85,500",482,"2,812","1,032",20.90,10.90,"84,600",399,"9,556","14,630","9,794",1.07,"3,300",4.93
319,KODEX Top5PlusTR,"26,120",상승,75,+0.29%,0,980,25,"25,900","8,045",N/A,N/A,"22,636","26,075","26,045",N/A,N/A,N/A,"26,130","4,995",N/A,N/A,16.24,N/A,"26,045","5,008","30,800",N/A,N/A,N/A,N/A,N/A
320,이노션,"19,990",하락,160,-0.79%,500,"4,228",84,"20,100","7,996","1,557",9.23,"98,303","20,150","20,150","27,146",3.76,10.48,"20,250",138,"16,827","1,161",25.81,4.40,"19,950",633,"40,000","21,206","2,166",0.81,"1,175",1.32
321,미원상사,"167,900",상승,"1,300",+0.78%,500,"1,599",266,"166,600","7,975",599,14.48,"3,090","166,500","166,700","4,787",-10.85,12.99,"168,900",205,782,505,3.00,10.92,"166,100",46,"4,750","4,358","11,599",1.92,"2,000",3.43
322,SK이터닉스,"23,450",하락,"1,200",-4.87%,200,"194,510","4,606","21,500","7,915",376,31.78,"975,006","23,800","22,950","7,317",N/A,N/A,"24,050",661,"4,897",224,11.15,N/A,"23,400",612,"33,754","3,322",738,3.26,N/A,N/A
