N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
1,삼성전자,"57,400",하락,900,-1.54%,100,"3,560,328","205,096","57,600","3,397,872","327,260",11.12,"20,705,979","58,000","57,700","5,145,319",398.34,9.03,"58,100","1,132,536","1,123,399","344,514",49.82,7.10,"57,100","446,294","5,919,638","3,008,709","5,162",0.97,"1,446",16.20
2,SK하이닉스,"241,500",상승,"6,000",+2.55%,"5,000","648,297","155,760","240,000","1,758,126","234,673",6.77,"4,100,610","238,000","240,500","1,198,552",403.58,31.06,"242,000","71,535","459,395","197,969",55.31,17.98,"238,000","129,624","728,002","661,930","35,682",2.05,"2,204",102.02
3,삼성바이오로직스,"1,010,000",하락,"9,000",-0.88%,"2,500","9,354","9,491","1,016,000","718,857","13,201",56.18,"95,270","1,019,000","1,017,000","173,363",18.53,10.45,"1,021,000","2,571","64,316","10,833",12.92,6.49,"1,009,000",993,"71,174","45,473","17,977",6.37,0,23.08
4,LG에너지솔루션,"290,500",하락,"5,500",-1.86%,500,"31,950","9,297","291,000","679,770","5,754",-58.40,"325,863","292,000","291,500","603,068",-73.40,-4.93,"293,500","6,695","293,402","3,386",4.06,0.64,"289,000","9,998","234,000","256,196","-4,974",3.21,N/A,-24.08
5,한화에어로스페이스,"981,000",상승,"36,000",+3.81%,"5,000","103,121","99,557","961,000","463,976","17,319",19.84,"493,711","963,000","963,000","433,369",191.41,53.94,"982,000","1,723","319,726","25,399",45.38,8.08,"938,000","2,965","47,296","112,401","49,447",11.35,"3,500",42.47
6,현대차,"197,900",하락,"1,100",-0.55%,"5,000","100,442","19,814","197,100","405,216","142,396",4.31,"933,606","198,300","197,200","3,397,984",-5.87,12.43,"199,000","5,471","2,195,225","132,299",36.13,4.25,"196,200","1,491","204,758","1,752,312","45,880",0.47,"12,000",7.73
7,KB금융,"106,000",보합,0,0.00%,"5,000","191,829","20,395","105,600","404,350","80,453",7.35,"1,482,722","106,200","105,700","7,578,455",26.00,8.86,"107,600","4,017","6,980,304","50,286",78.10,0.68,"105,600","6,044","381,462","850,764","14,416",0.67,"3,174",9.77
8,삼성전자우,"47,300",하락,200,-0.42%,100,"248,128","11,761","47,350","385,956",N/A,9.16,"1,492,816","47,450","47,400",N/A,N/A,N/A,"47,750","41,049",N/A,N/A,73.75,N/A,"47,000","26,404","815,975",N/A,"5,162",0.80,N/A,N/A
9,HD현대중공업,"434,500",상승,"7,000",+1.64%,"5,000","69,297","30,110","436,000","385,719","7,052",43.98,"343,710","428,000","436,500","193,909",294.77,11.39,"438,000",991,"136,865","6,215",10.84,3.40,"427,500","8,111","88,773","144,865","9,880",6.64,"2,090",21.08
10,기아,"95,900",하락,"1,300",-1.34%,"5,000","159,802","15,296","95,600","381,368","126,671",4.09,"1,506,724","96,500","95,700","927,559",9.13,19.09,"96,600","31,295","369,156","97,750",38.94,11.28,"95,100","8,157","397,673","1,074,488","23,440",0.67,"6,500",7.66
11,두산에너빌리티,"57,000",상승,"2,400",+4.40%,"5,000","4,205,736","237,850","57,000","365,120","10,176",-358.49,"14,943,904","55,500","57,100","263,148",-30.65,1.52,"57,900","125,853","146,537","3,947",25.73,1.55,"54,200","334,941","640,561","162,331",-159,4.80,N/A,-7.71
12,셀트리온,"161,000",상승,200,+0.12%,"1,000","79,826","12,868","161,200","358,106","4,920",74.50,"561,974","160,500","161,300","210,552",-24.48,2.46,"162,400","4,532","34,752","4,189",21.43,2.04,"160,300","3,576","222,426","35,573","2,161",2.08,735,63.45
13,NAVER,"204,500",상승,"4,000",+2.00%,100,"397,420","82,303","205,000","324,004","19,793",17.86,"1,050,533","211,000","205,500","381,679",32.94,7.90,"211,500","25,218","111,670","19,320",48.62,5.23,"203,000","29,810","158,437","107,377","11,452",1.15,"1,130",11.03
14,신한지주,"59,400",상승,400,+0.68%,"5,000","156,851","9,277","58,800","294,530","64,587",6.52,"2,176,121","59,100","58,900","7,397,643",5.87,8.11,"59,500","9,321","6,809,432","45,582",58.92,0.64,"58,800","23,063","495,842","419,028","9,108",0.52,"2,160",6.26
15,삼성물산,"167,200",상승,"1,300",+0.78%,100,"126,444","20,956","165,700","284,201","29,834",13.35,"647,645","165,000","165,800","619,904",3.95,6.83,"168,000","4,106","247,319","27,720",26.90,4.33,"162,600","1,055","169,977","421,032","12,523",0.86,"2,600",0.50
16,현대모비스,"280,000",하락,"2,000",-0.71%,"5,000","41,746","11,789","281,000","260,386","30,735",6.17,"283,397","286,500","281,500","665,969",33.90,9.35,"288,000","4,077","204,787","40,602",42.10,6.49,"278,500","2,261","92,995","572,370","45,380",0.54,"6,000",-3.41
17,한화오션,"83,950",하락,750,-0.89%,"5,000","837,786","70,775","84,200","257,234","2,379",37.13,"4,055,268","84,100","84,300","178,438",221.06,11.52,"85,700","52,860","129,805","5,282",12.59,3.32,"83,700","17,991","306,413","107,760","2,261",5.06,N/A,45.46
18,삼성생명,"124,800",보합,0,0.00%,500,"101,907","12,910","125,200","249,600","24,998",11.77,"751,965","127,100","125,300","3,122,188",4.23,6.18,"130,500","2,470","2,794,809","22,603",21.82,0.72,"123,800","2,134","200,000","337,860","10,600",0.76,"4,500",9.21
19,HD한국조선해양,"352,500",상승,"2,000",+0.57%,"5,000","55,734","19,852","354,000","249,475","14,341",16.87,"377,743","350,500","354,500","367,191",408.07,11.16,"363,000","2,622","225,633","14,546",32.84,4.22,"350,500","1,959","70,773","255,386","20,895",2.19,"5,100",19.92
20,HMM,"24,050",하락,150,-0.62%,"5,000","2,335,269","57,009","23,850","246,522","35,128",4.74,"10,270,590","25,000","23,900","338,486",500.72,15.35,"25,350","67,625","59,930","37,821",7.24,12.70,"23,550","24,546","1,025,039","117,002","5,073",0.76,600,39.27
21,카카오,"51,200",하락,300,-0.58%,100,"1,617,236","84,178","51,900","226,184","4,602",147.98,"5,408,390","51,300","52,000","257,730",-0.14,0.56,"53,200","51,502","118,301","-1,619",28.39,-0.64,"50,800","32,972","441,767","78,717",346,2.16,68,4.16
