N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
1,알테오젠,"374,000",상승,"2,000",+0.54%,500,"29,572","11,132","378,000","199,959",254,160.03,"205,267","374,000","378,500","4,090",360.91,29.52,"380,000","2,096","1,349",607,14.58,18.25,"373,500","3,557","53,465","1,029","2,337",54.56,0,6.56
2,에코프로비엠,"101,200",상승,600,+0.60%,500,"55,344","5,590","101,100","98,975",-341,-106.64,"357,579","100,700","101,200","43,237",-121.86,-6.26,"102,000",596,"23,466",-585,12.03,-1.35,"99,700","1,398","97,801","27,668",-949,5.84,N/A,-59.91
3,HLB,"49,700",상승,600,+1.22%,500,"68,184","3,371","49,500","65,321","-1,185",-34.59,"493,487","49,200","49,550","8,874",5.21,-16.33,"49,900","2,033","2,353","-1,080",20.21,-13.22,"48,600","6,370","131,430",681,"-1,437",12.68,0,58.80
4,에코프로,"45,250",상승,100,+0.22%,100,"67,823","3,065","45,150","61,439","-2,930",-35.02,"584,486","45,250","45,200","81,383",-198.28,-12.57,"45,500","4,582","42,998","-2,954",20.97,-3.76,"44,750","3,610","135,776","31,279","-1,292",3.86,100,-56.92
5,레인보우로보틱스,"282,000",상승,"1,500",+0.53%,500,"12,870","3,623","281,500","54,708",-30,"6,878.05","107,438","282,000","282,500","1,399",93.32,1.62,"283,000","3,367",71,21,6.24,1.57,"280,500","4,077","19,400",193,41,41.45,N/A,26.80
6,파마리서치,"503,000",상승,"9,500",+1.93%,500,"10,138","5,085","499,000","52,863","1,261",50.00,"91,390","499,500","500,000","8,557",36.63,18.93,"506,000",294,"2,863",889,15.32,12.79,"495,500",769,"10,510","3,501","10,061",10.31,"1,100",34.14
7,휴젤,"385,500",하락,"2,500",-0.64%,500,"5,298","2,052","390,000","47,432","1,662",33.47,"57,251","386,000","391,500","9,394",41.13,17.51,"392,000",157,986,"1,431",55.72,15.32,"381,500",302,"12,304","3,730","11,517",4.94,0,16.69
8,펩트론,"192,900",상승,"4,600",+2.44%,500,"32,263","6,255","192,100","44,941",-165,-195.44,"552,488","193,600","192,300","1,689",-4.05,-23.46,"196,600",559,172,-220,5.60,-19.91,"190,700",251,"23,297",32,-987,30.19,N/A,-5.68
9,리가켐바이오,"115,100",상승,300,+0.26%,500,"35,042","4,023","115,300","42,138",-209,169.26,"302,218","114,500","115,500","7,384",74.12,2.04,"116,100","1,153","1,224",78,11.52,1.68,"113,000","1,260","36,610","1,259",680,7.15,N/A,268.71
10,클래시스,"62,500",하락,200,-0.32%,100,"16,172","1,014","62,800","40,941","1,224",39.83,"160,204","63,000","63,100","6,084",36.62,26.54,"63,100","2,934","1,557",975,71.74,19.83,"62,300","3,292","65,506","2,429","1,569",8.74,257,34.87
11,리노공업,"50,900",보합,0,0.00%,100,"29,867","1,521","51,000","38,792","1,242",31.79,"268,123","50,900","51,100","6,574",8.59,19.21,"51,100","4,810",348,"1,133",34.49,18.27,"50,600","13,148","76,212","2,782","1,601",6.37,600,8.85
12,실리콘투,"59,900",하락,"1,800",-2.92%,500,"335,040","20,072","59,900","36,642","1,376",27.26,"4,350,943","60,800","60,000","4,578",187.76,60.90,"60,900","33,693","1,962","1,207",9.02,35.88,"59,300","12,960","61,172","6,915","2,197",12.00,N/A,101.69
13,삼천당제약,"146,500",하락,800,-0.54%,500,"18,547","2,740","148,400","34,365",26,-296.56,"124,846","147,300","148,500","5,198",-72.36,-4.49,"149,000",928,"1,704",-51,2.02,-1.10,"146,300",860,"23,457","2,109",-494,13.00,200,9.48
14,코오롱티슈진,"41,550",상승,450,+1.09%,0,"37,471","1,571","41,300","33,905",-220,-91.52,"223,345","41,100","41,450","2,223",-7.28,-25.91,"42,550","1,531",764,-338,3.79,-18.92,"40,900",432,"81,601",51,-454,18.44,0,36.90
15,에이비엘바이오,"66,400",하락,800,-1.19%,500,"86,386","5,779","67,300","32,223",-594,-48.43,"756,172","67,500","67,500","2,320","-2,168.82",-46.01,"67,900","8,766",647,-555,13.65,-28.32,"66,000","1,998","48,528",334,"-1,371",25.21,N/A,-49.04
16,에스엠,"140,400",하락,600,-0.43%,500,"18,402","2,582","139,800","32,144",873,12.90,"169,026","140,300","139,900","14,191",-23.06,2.64,"141,800",362,"5,900",8,26.64,0.06,"139,500",420,"22,895","9,897","10,881",3.54,400,2.98
17,펄어비스,"42,600",상승,300,+0.71%,100,"24,312","1,039","42,650","27,370",-123,56.95,"157,150","42,300","42,700","11,428",24.82,7.88,"43,000","2,698","3,368",603,7.42,5.12,"42,300","1,167","64,248","3,424",748,3.24,N/A,2.67
18,JYP Ent.,"74,500",상승,200,+0.27%,500,"36,229","2,689","74,000","26,472","1,283",19.55,"198,186","74,400","74,000","6,788",-24.30,22.41,"74,800","3,468","1,959",977,22.69,15.63,"73,800","2,985","35,532","6,018","3,811",4.64,534,6.23
19,젬백스,"57,700",하락,"3,800",-6.18%,500,"80,056","4,732","60,500","23,891",-383,-37.49,"165,127","60,000","60,600","1,507",-387.24,-127.30,"60,900","2,616","1,217",-872,6.42,-61.01,"57,000","2,422","41,406",627,"-1,539",56.50,0,-13.18
20,HPSP,"27,900",상승,150,+0.54%,500,"43,752","1,226","28,000","23,296",939,28.94,"344,481","27,850","28,150","3,199",-1.32,31.09,"28,250","7,032",420,863,22.13,26.94,"27,800","8,778","83,499","1,814",964,9.12,600,1.29
21,셀트리온제약,"49,750",상승,100,+0.20%,500,"7,667",381,"49,750","21,730",372,79.35,"36,451","49,650","49,700","6,695",3.19,5.68,"50,000","2,046","2,725",220,4.50,3.35,"49,450","1,032","43,679","4,778",627,5.37,24,22.90
22,이오테크닉스,"171,200",상승,"3,000",+1.78%,500,"16,246","2,762","168,700","21,091",312,45.23,"49,851","168,500","168,800","6,530",0.84,7.43,"172,100",154,500,427,19.86,6.75,"167,200",553,"12,320","3,209","3,785",3.42,500,1.46
23,보로노이,"107,900",하락,"1,600",-1.46%,500,"13,608","1,471","107,300","19,841",-179,-48.78,"179,697","107,800","107,800",640,-65.09,-96.66,"109,800",786,297,-199,4.30,-38.23,"106,800",349,"18,388",98,"-2,212",36.60,0,-33.93
24,파크시스템스,"281,500",하락,"4,000",-1.40%,500,"2,690",759,"283,500","19,684",385,35.72,"12,528","283,500","284,500","2,743",39.80,25.83,"285,000",472,864,428,33.45,17.99,"280,000",154,"6,992","1,751","7,881",9.75,500,20.89
25,신성델타테크,"69,000",하락,100,-0.14%,500,"26,392","1,802","67,800","18,964",272,"-1,500.00","133,502","67,700","67,900","7,741",-9.01,-0.48,"69,100","3,551","4,568",74,6.59,1.02,"67,700","1,576","27,484","9,097",-46,8.94,120,9.12
26,케어젠,"35,150",상승,900,+2.63%,100,"33,330","1,182","34,950","18,881",342,60.50,"157,330","34,400","35,150","2,407",-15.18,14.35,"36,100","3,375",177,323,4.94,13.24,"34,400","1,737","53,715",826,581,8.11,640,4.26
27,네이처셀,"28,200",상승,350,+1.26%,500,"31,442",881,"27,900","18,171",6,"-9,400.00","398,487","27,900","27,900",720,105.82,1.95,"28,350","5,814",74,12,6.99,1.75,"27,700","2,174","64,435",323,-3,28.57,0,67.09
28,씨젠,"33,750",상승,650,+1.96%,500,"35,823","1,199","33,200","17,626",-165,165.44,"259,495","33,100","33,350","12,053",45.17,-2.03,"33,800","2,620","2,238",-203,16.77,-1.65,"32,950","4,968","52,226","4,143",204,1.55,800,12.76
29,와이지엔터테인먼트,"94,100",하락,"1,100",-1.16%,500,"29,940","2,819","93,700","17,588",-206,75.34,"187,422","95,200","93,800","7,343",-123.65,3.90,"95,300","2,108","1,311",200,15.50,2.71,"93,400","1,991","18,691","3,649","1,249",3.59,250,-35.88
30,동진쎄미켐,"32,950",상승,250,+0.76%,500,"54,929","1,809","32,850","16,941","2,082",11.03,"243,174","32,700","32,950","20,170",18.19,17.17,"33,100","9,184","9,966","1,435",9.85,7.92,"32,650","11,194","51,414","14,081","2,986",1.65,200,7.50
31,루닛,"57,100",하락,500,-0.87%,500,"93,316","5,355","57,300","16,645",-677,-23.89,"1,080,194","57,300","57,600","4,350",-60.30,-41.21,"57,900","8,045","2,702",-824,10.13,-23.45,"56,500","4,761","29,150",542,"-2,390",9.66,0,116.03
32,CJ ENM,"75,400",상승,500,+0.67%,"5,000","4,793",361,"75,600","16,535","1,045",-3.00,"71,640","75,000","76,000","93,166",815.59,-16.69,"76,000",847,"56,386","-5,808",17.11,-6.03,"75,000",813,"21,929","52,314","-25,100",0.57,N/A,19.76
33,카카오게임즈,"19,400",상승,280,+1.46%,100,"71,698","1,385","19,300","16,076",191,-12.08,"1,118,151","19,230","19,310","31,732",-74.60,-7.96,"19,480","2,859","16,949","-1,281",9.94,-3.86,"19,150","4,279","82,866","6,272","-1,606",1.21,N/A,-13.58
34,에스티팜,"77,900",상승,900,+1.17%,500,"8,389",655,"78,300","15,699",277,52.32,"50,798","77,600","78,500","7,219",-17.36,7.82,"78,700",824,"2,189",325,5.89,4.65,"77,600",892,"20,153","2,738","1,489",3.17,500,-3.94
35,스튜디오드래곤,"51,300",하락,100,-0.19%,500,"7,337",376,"51,200","15,420",364,98.46,"54,088","51,300","51,400","9,255",-34.86,4.63,"51,500","1,497","1,859",335,12.85,3.32,"51,000",953,"30,058","5,501",521,2.09,N/A,-26.96
36,주성엔지니어링,"31,100",상승,50,+0.16%,500,"49,016","1,520","31,000","14,700",972,12.48,"370,686","31,000","31,050","9,868",235.88,19.76,"31,200","10,626","4,202","1,068",17.49,11.92,"30,800","4,150","47,268","4,094","2,491",2.45,287,43.78
37,디어유,"60,300",하락,"1,200",-1.95%,500,"102,747","6,177","60,500","14,314",254,69.31,"318,599","61,100","60,600","2,203",N/A,N/A,"61,100","7,339",243,244,6.55,N/A,"59,400",816,"23,738",749,870,7.26,215,N/A
38,솔브레인,"180,600",상승,600,+0.33%,500,"1,451",262,"180,400","14,048","1,679",13.56,"19,712","179,100","180,700","11,682",25.82,12.47,"181,400",303,"1,309","1,196",31.62,11.06,"179,100",88,"7,779","8,634","13,317",1.34,"2,300",2.29
39,비에이치아이,"42,500",상승,50,+0.12%,500,"54,177","2,311","42,450","13,151",219,59.03,"533,072","42,550","42,500","5,248",45.34,20.64,"43,200","3,121","4,083",196,17.45,4.12,"42,150","1,911","30,944","4,047",720,10.57,N/A,10.16
40,원익IPS,"26,700",상승,250,+0.95%,500,"13,601",363,"26,600","13,105",106,34.06,"154,276","26,850","26,700","11,241",158.88,2.37,"26,900","3,407","2,367",207,25.19,1.88,"26,500","1,481","49,084","7,482",784,1.48,50,8.38
41,메디톡스,"176,000",하락,"1,900",-1.07%,500,"9,103","1,605","176,400","12,845",203,61.28,"171,163","178,200","177,300","6,152",17.47,3.62,"178,600",355,"1,444",161,13.32,2.62,"174,900",462,"7,298","2,286","2,872",2.68,"1,100",3.39
