종목명,현재가,기준월,배당금,수익률(%),배당성향(%),ROE(%),PER(배),PBR(배),과거3년배당금_Max,1년전,2년전,3년전
한샘,44200,24.03,8530,19.30,93.69,43.59,7.40,2.25,800,4500,800,1550
레드캡투어,12210,25.03,2150,17.61,177.53,9.64,7.26,0.67,450,450,450,400
신한글로벌액티브리츠,1538,25.02,253,16.45,0115.10,05.52,014.91,0.65,24,10,24,0
이지스밸류플러스리츠,4850,25.06,785,16.19,0430.66,00.52,0108.14,0.59,412,412,351,293
NH프라임리츠,4512,24.11,658,14.58,137.10,6.38,11.26,0.72,531,531,225,248
제이알글로벌리츠,2725,24.12,390,14.31,186.25,2.48,26.31,0.67,385,385,373,366
미래에셋글로벌리츠,2590,25.03,274,10.58,0,0,0,0,40,262,286,40
크레버스,14290,25.04,1500,10.50,167.06,17.99,21.71,3.06,2000,2000,1800,2000
미래에셋맵스리츠,2710,24.11,284,10.48,215.00,1.60,42.27,0.64,284,284,279,268
이크레더블,16140,24.12,1590,9.85,148.28,27.34,12.07,3.18,780,780,1040,2720
HB인베스트먼트,2090,24.12,200,9.57,89.81,8.28,6.99,0.49,0,0,0,0
코람코라이프인프라리츠,4385,24.11,416,9.49,164.56,4.96,16.20,0.83,475,366,350,475
NH올원리츠,3590,24.12,340,9.47,0830.66,00.56,0135.96,0.80,316,288,316,106
KB스타리츠,3915,25.01,368,9.40,96.26,4.54,17.19,0.85,376,376,165,0
정다운,2695,24.12,250,9.28,68.61,9.33,7.31,0.65,300,300,100,100
마스턴프리미어리츠,1463,24.09,127,8.70,79.60,1.26,40.75,0.55,299,299,109,0
정상제이엘에스,6120,24.12,530,8.66,94.60,9.05,12.55,1.08,530,530,530,530
도이치모터스,4565,24.12,380,8.32,0224.96,01.22,028.41,0.33,370,370,360,350
디앤디플랫폼리츠,3195,25.03,260,8.15,0,0,0,0,290,270,290,224
한국철강,9940,24.12,800,8.05,112.95,2.82,15.14,0.28,400,400,300,250
오상자이엘,3755,24.12,300,7.99,89.07,6.36,10.03,0.61,0,0,0,0
이리츠코크렙,4535,24.12,362,7.98,221.83,2.19,51.71,1.16,405,404,405,383
현대해상,25850,24.03,2063,7.98,28.16,7.38,4.82,0.40,1965,1965,1480,1000
현대차3우B,152400,25.02,12050,7.91,25.13,12.43,4.60,0.51,7050,11450,7050,5050
현대차우,152700,25.02,12050,7.89,25.13,12.43,4.60,0.51,7050,11450,7050,5050
현대차2우B,154100,25.02,12100,7.85,25.13,12.43,4.60,0.51,7100,11500,7100,5100
와이솔,6370,25.03,500,7.85,125.30,3.12,12.99,0.39,250,250,250,250
영보화학,4475,24.12,350,7.82,30.26,13.01,3.16,0.38,50,50,50,100
노바텍,18170,24.12,1409,7.76,80.44,10.80,8.95,0.87,500,500,200,143
동국씨엠,6460,25.03,500,7.74,23.40,6.45,2.79,0.17,100,100,0,0
트윔,7830,24.09,600,7.66,122.17,2.48,31.66,0.74,0,0,0,0
광주신세계,28950,25.03,2200,7.60,36.34,5.58,4.97,0.26,2200,2200,2200,1700
코리아에셋투자증권,7240,25.07,550,7.60,44.78,0,0,0,700,500,200,700
CR홀딩스,5420,24.12,410,7.57,0671.46,00.39,0114.31,0.39,450,410,450,450
바이오인프라,5370,24.12,400,7.45,048.94,012.92,07.80,1.13,600,600,0,0
조선내화,13490,24.12,1000,7.41,203.40,2.68,31.46,0.83,0,0,0,0
INVENI,54100,25.02,4000,7.39,58.92,6.16,10.41,0.45,8750,8750,2500,2250
HRS,5430,24.12,400,7.37,42.31,12.74,5.01,0.60,200,200,200,200
아이마켓코리아,8170,24.12,600,7.34,70.04,7.66,9.92,0.70,600,600,600,600
메가스터디,10920,24.12,800,7.33,56.66,5.12,7.91,0.38,850,850,1050,600
블랙야크아이앤씨,3805,25.03,278,7.30,29.99,40.28,0,0.00,13,0,13,0
유아이엘,3710,24.12,270,7.28,28.64,16.63,3.77,0.56,0,0,0,0
