N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
1,삼성전자,"59,400",상승,200,+0.34%,100,"2,346,210","139,235","59,300","3,516,265","327,260",11.51,"16,876,278","59,400","59,400","5,145,319",398.34,9.03,"59,600","960,898","1,123,399","344,514",49.75,7.10,"59,100","801,880","5,919,638","3,008,709","5,162",1.01,"1,446",16.20
2,SK하이닉스,"253,000",상승,"7,000",+2.85%,"5,000","734,770","185,557","254,000","1,841,846","234,673",7.09,"2,317,796","249,000","254,500","1,198,552",403.58,31.06,"256,250","85,530","459,395","197,969",55.32,17.98,"247,500","81,517","728,002","661,930","35,682",2.15,"2,204",102.02
3,삼성바이오로직스,"1,006,000",상승,"7,000",+0.70%,"2,500","8,538","8,586","1,007,000","716,010","13,201",55.96,"45,500","1,004,000","1,008,000","173,363",18.53,10.45,"1,010,000","1,150","64,316","10,833",12.88,6.49,"1,000,000","2,092","71,174","45,473","17,977",6.35,0,23.08
4,LG에너지솔루션,"294,000",상승,"3,000",+1.03%,500,"36,326","10,658","292,000","687,960","5,754",-59.11,"146,199","291,000","293,000","603,068",-73.40,-4.93,"295,000","9,001","293,402","3,386",4.06,0.64,"289,500","9,901","234,000","256,196","-4,974",3.25,N/A,-24.08
5,한화에어로스페이스,"923,000",하락,"11,000",-1.18%,"5,000","34,368","31,931","929,000","436,544","17,319",18.67,"198,303","924,000","930,000","433,369",191.41,53.94,"940,000","1,919","319,726","25,399",45.03,8.08,"917,000","2,138","47,296","112,401","49,447",10.68,"3,500",42.47
6,현대차,"206,500",하락,500,-0.24%,"5,000","60,106","12,409","207,000","422,825","142,396",4.50,"538,891","208,000","207,500","3,397,984",-5.87,12.43,"208,000","17,504","2,195,225","132,299",36.20,4.25,"205,500","31,788","204,758","1,752,312","45,880",0.49,"12,000",7.73
7,KB금융,"107,500",상승,800,+0.75%,"5,000","175,895","18,934","107,600","410,072","80,453",7.46,"1,317,751","107,500","107,700","7,578,455",26.00,8.86,"108,200","4,958","6,980,304","50,286",78.12,0.68,"107,000","13,662","381,462","850,764","14,416",0.68,"3,174",9.77
8,삼성전자우,"48,850",상승,350,+0.72%,100,"202,403","9,848","48,700","398,604",N/A,9.46,"1,206,477","48,550","48,750",N/A,N/A,N/A,"48,900","21,567",N/A,N/A,73.77,N/A,"48,500","48,453","815,975",N/A,"5,162",0.83,N/A,N/A
9,NAVER,"247,000",하락,"5,000",-1.98%,100,"442,004","109,722","248,000","391,339","19,793",21.57,"3,810,468","249,000","248,500","381,679",32.94,7.90,"251,000","49,190","111,670","19,320",48.84,5.23,"245,500","33,052","158,437","107,377","11,452",1.39,"1,130",11.03
10,기아,"98,000",하락,200,-0.20%,"5,000","88,394","8,654","98,200","389,719","126,671",4.18,"691,399","98,000","98,300","927,559",9.13,19.09,"98,500","10,319","369,156","97,750",39.03,11.28,"97,200","18,127","397,673","1,074,488","23,440",0.69,"6,500",7.66
