N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,액면가,전일거래량,시가,매도호가,자산총계,영업이익증가율,액면가,고가,매수총잔량,부채총계,당기순이익,외국인비율,액면가,저가,매도총잔량,상장주식수,매출액,주당순이익,액면가,보통주배당금
19,HMM,"22,550",상승,250,+1.12%,"5,000","2,651,013","60,127","22,500","231,146","35,128",4.45,"5,000","2,418,245","23,300","22,550","338,486",500.72,"5,000","23,650","175,433","59,930","37,821",7.79,"5,000","22,250","159,470","1,025,039","117,002","5,073","5,000",600
20,삼성생명,"108,800",상승,"8,900",+8.91%,500,"694,148","74,182","108,500","217,600","24,998",10.33,500,"551,726","101,900","108,800","3,122,188",4.23,500,"109,100","3,560","2,794,809","22,603",21.71,500,"101,200","18,950","200,000","337,860","10,534",500,"4,500"
21,하나금융지주,"74,500",상승,"4,500",+6.43%,"5,000","1,734,080","127,656","74,500","212,119","48,552",5.79,"5,000","1,318,834","71,200","74,600","6,378,475",3.45,"5,000","74,500","71,445","5,942,706","37,685",67.23,"5,000","70,700","56,451","284,724","816,143","12,872","5,000","3,600"
22,메리츠금융지주,"113,900",상승,"2,600",+2.34%,500,"313,877","35,844","113,900","205,036","31,889",9.57,500,"285,075","111,400","114,000","1,155,782",8.71,500,"115,400","10,089","1,046,482","23,334",15.85,500,"111,400","26,658","180,014","465,745","11,897",500,"1,350"
23,POSCO홀딩스,"245,500",상승,"1,500",+0.61%,"5,000","331,807","81,480","245,000","198,690","21,736",23.87,"5,000","329,321","246,500","245,500","1,034,042",-38.45,"5,000","251,000","28,027","419,538","9,476",29.00,"5,000","242,500","28,757","80,933","726,881","10,286","5,000","10,000"
24,삼성화재,"425,500",상승,"37,500",+9.66%,500,"152,127","63,578","425,000","195,777","26,496",10.38,500,"81,302","396,000","425,500","872,695",12.40,500,"426,000","7,133","716,673","20,768",55.52,500,"392,000","5,463","46,011","226,570","41,007",500,"19,000"
25,한국전력,"29,650",하락,450,-1.50%,"5,000","4,036,843","118,488","29,600","190,342","83,647",3.62,"5,000","2,166,813","29,700","29,650","2,468,078",284.18,"5,000","29,900","188,113","2,054,450","36,220",19.05,"5,000","28,550","231,125","641,964","933,989","8,191","5,000",213
26,카카오,"41,600",하락,"1,550",-3.59%,100,"3,838,475","161,418","41,550","183,752","4,602",120.23,100,"2,075,682","44,100","41,600","257,730",-0.14,100,"44,450","67,640","118,301","-1,619",29.16,100,"41,050","154,498","441,711","78,717",346,100,68
27,크래프톤,"367,500",하락,500,-0.14%,100,"163,369","60,013","367,000","176,104","11,825",13.27,100,"106,227","369,500","367,500","79,195",53.96,100,"372,500","5,452","10,903","13,026",42.26,100,"364,000","15,560","47,919","27,098","27,686",100,0
28,현대로템,"156,100",상승,"4,100",+2.70%,"5,000","1,001,543","154,059","156,000","170,371","4,566",33.47,"5,000","1,311,533","154,000","156,100","52,854",117.36,"5,000","156,100","4,248","32,763","4,053",32.05,"5,000","149,800","25,549","109,142","43,766","4,664","5,000",200
29,SK스퀘어,"124,700",상승,"14,400",+13.06%,100,"780,909","96,925","124,700","165,278","39,126",3.36,100,"341,324","115,000","124,800","219,211",267.23,100,"126,900","42,944","23,356","36,505",52.34,100,"113,000","3,364","132,541","61,385","37,069",100,0
30,고려아연,"770,000",상승,"40,000",+5.48%,"5,000","28,116","21,348","767,000","159,415","7,235",64.71,"5,000","16,607","730,000","770,000","147,923",9.63,"5,000","775,000",492,"71,969","1,948",12.00,"5,000","727,000","1,585","20,703","120,529","11,900","5,000","17,500"
31,KT&G,"124,400",상승,"3,800",+3.15%,"5,000","376,601","46,934","124,400","151,846","11,888",14.01,"5,000","319,843","123,200","124,500","139,252",1.84,"5,000","125,700","17,909","45,668","11,650",43.33,"5,000","123,100","9,692","122,062","59,088","8,881","5,000","5,400"
32,우리금융지주,"20,300",상승,"1,410",+7.46%,"5,000","4,745,709","95,020","20,250","150,746","42,552",4.90,"5,000","2,937,964","19,830","20,300","5,257,533",21.61,"5,000","20,350","213,864","4,898,581","31,715",45.19,"5,000","19,350","475,500","742,592","466,167","4,144","5,000","1,200"
33,삼성중공업,"16,880",상승,90,+0.54%,"1,000","9,351,134","155,407","16,870","148,544","5,027",101.69,"1,000","8,741,868","16,940","16,880","171,946",115.43,"1,000","16,940","98,977","134,452",539,31.83,"1,000","16,100","240,242","880,000","99,031",166,"1,000",N/A
34,LG화학,"198,700",상승,"3,400",+1.74%,"5,000","281,974","56,206","198,700","140,267","9,168",-16.63,"5,000","157,923","197,300","198,800","938,578",-63.75,"5,000","202,500","9,482","458,623","5,150",29.97,"5,000","197,200","3,045","70,592","489,161","-11,946","5,000","1,000"
35,HD현대일렉트릭,"382,000",상승,"4,000",+1.06%,"5,000","235,743","90,442","381,500","137,700","6,690",24.52,"5,000","131,789","383,000","382,000","37,955",112.23,"5,000","388,500","8,150","22,880","4,984",32.79,"5,000","380,000","11,934","36,047","33,223","15,581","5,000","5,350"
36,SK이노베이션,"90,900",상승,"3,200",+3.65%,"5,000","377,011","34,155","90,800","137,291","3,155",-4.49,"5,000","343,665","88,500","90,900","1,105,301",-83.43,"5,000","91,800","3,123","708,812","-23,725",13.46,"5,000","88,400","31,478","151,035","747,170","-20,236","5,000","2,000"
37,SK,"180,700",상승,"17,300",+10.59%,200,"885,037","155,971","180,600","131,012","23,553",14.71,200,"329,416","169,900","180,700","2,149,778",-50.46,200,"184,000","5,996","1,346,902","5,288",23.48,200,"169,200","5,021","72,503","1,246,904","12,281",200,"7,000"
38,기업은행,"15,800",상승,370,+2.40%,"5,000","1,742,846","27,423","15,800","125,993","35,941",4.76,"5,000","1,306,438","15,500","15,810","4,722,198",4.71,"5,000","15,830","59,338","4,379,887","26,543",13.97,"5,000","15,500","125,612","797,426","324,300","3,316","5,000","1,065"
39,KT,"49,850",상승,450,+0.91%,"5,000","310,425","15,570","49,850","125,633","8,095",19.85,"5,000","459,204","49,400","49,900","418,800",-50.93,"5,000","50,600","10,387","238,834","4,171",49.00,"5,000","49,400","11,885","252,022","264,312","2,511","5,000","2,000"
40,삼성SDI,"172,400",하락,400,-0.23%,"5,000","503,464","87,485","172,400","118,550","3,633",118.00,"5,000","438,261","174,600","172,500","405,973",-76.49,"5,000","179,000","12,260","190,301","5,755",30.13,"5,000","171,400","7,600","68,765","165,922","1,461","5,000",973
41,하이브,"281,000",상승,"9,000",+3.31%,500,"231,183","64,951","280,500","117,042","1,840",223.73,500,"199,983","279,000","281,000","54,792",-37.75,500,"285,500","7,882","19,654",-34,18.20,500,"274,500","18,217","41,652","22,556","1,256",500,200
42,LG전자,"71,300",상승,500,+0.71%,"5,000","535,683","38,424","71,300","116,681","34,197",18.64,"5,000","251,758","71,500","71,400","656,296",-6.40,"5,000","72,600","59,837","404,179","5,914",29.57,"5,000","71,100","23,948","163,648","877,282","3,825","5,000","1,000"
43,LG,"74,000",상승,"3,200",+4.52%,"5,000","592,876","43,892","73,800","116,366","9,668",14.64,"5,000","224,672","72,100","74,000","316,393",-39.16,"5,000","75,100","5,870","35,066","7,905",35.01,"5,000","71,900","37,620","157,251","71,755","5,053","5,000","3,100"
44,카카오뱅크,"23,700",하락,350,-1.46%,"5,000","606,488","14,428","23,700","113,046","6,069",25.68,"5,000","598,504","24,250","23,750","628,053",26.83,"5,000","24,350","64,285","562,652","4,401",17.38,"5,000","23,550","117,161","476,989","29,456",923,"5,000",360
45,SK텔레콤,"52,500",상승,800,+1.55%,100,"1,108,985","58,375","52,500","112,765","18,234",8.94,100,"677,882","51,900","52,600","305,153",4.00,100,"53,100","132,209","186,876","13,871",39.72,100,"51,800","103,348","214,790","179,406","5,874",100,"3,540"
46,삼성에스디에스,"132,800",상승,100,+0.08%,500,"150,383","20,048","132,800","102,758","9,111",13.56,500,"103,095","133,100","133,100","132,383",12.73,500,"135,500","10,692","35,329","7,895",19.22,500,"132,400","4,010","77,378","138,282","9,791",500,"2,900"
47,한진칼,"152,500",상승,"11,200",+7.93%,"2,500","325,112","48,451","152,400","101,812",492,22.35,"2,500","157,434","143,400","152,500","42,072",14.82,"2,500","154,500",580,"8,940","5,122",20.62,"2,500","139,900","8,413","66,762","2,922","6,822","2,500",360
48,미래에셋증권,"17,690",상승,"2,070",+13.25%,"5,000","12,638,701","218,877","17,680","100,889","11,881",14.39,"5,000","4,013,255","16,000","17,690","1,371,770",128.02,"5,000","18,100","61,827","1,249,133","9,255",13.66,"5,000","15,960","56,884","570,316","222,342","1,229","5,000",250
49,LIG넥스원,"452,000",상승,"4,500",+1.01%,"5,000","124,487","55,837","452,000","99,440","2,298",40.53,"5,000","117,199","450,000","452,500","61,253",23.29,"5,000","454,000","3,391","48,878","2,166",31.72,"5,000","436,000","5,404","22,000","32,763","11,153","5,000","2,400"
50,HD현대,"120,300",상승,"7,400",+6.55%,"1,000","905,742","108,004","120,000","95,029","29,832",18.10,"1,000","741,062","118,200","120,300","738,667",46.84,"1,000","121,500","3,417","474,816","19,302",21.58,"1,000","116,600","20,879","78,993","677,656","6,647","1,000","3,600"
51,삼성전기,"121,700",상승,900,+0.75%,"5,000","309,432","37,669","121,600","90,902","7,350",15.00,"5,000","204,952","121,700","121,700","127,924",11.27,"5,000","123,000","18,367","37,765","7,032",32.14,"5,000","121,000","11,282","74,694","102,941","8,115","5,000","1,800"
52,포스코퓨처엠,"117,000",상승,500,+0.43%,500,"289,821","34,215","116,900","90,632",7,-40.57,500,"315,401","117,800","117,000","79,325",-97.99,500,"121,500","3,105","46,120","-2,313",10.05,500,"115,900","10,332","77,463","36,999","-2,884",500,0
53,두산,"540,000",상승,"53,500",+11.00%,"5,000","228,484","119,645","539,000","89,229","10,038",-55.73,"5,000","178,259","496,500","540,000","301,431",-30.11,"5,000","543,000","3,114","182,536","3,022",12.14,"5,000","494,000","5,582","16,524","181,329","-9,690","5,000","2,000"
54,포스코인터내셔널,"49,650",상승,"1,250",+2.58%,"5,000","436,378","21,768","49,650","87,346","11,169",16.24,"5,000","234,537","48,450","49,700","173,363",-3.97,"5,000","50,600","11,047","99,869","5,034",6.41,"5,000","48,450","22,020","175,923","323,408","3,058","5,000","1,550"
55,삼양식품,"1,130,000",상승,"48,000",+4.44%,"5,000","62,357","70,053","1,129,000","85,123","3,446",27.95,"5,000","78,347","1,115,000","1,130,000","15,948",133.58,"5,000","1,135,000",737,"7,667","2,713",19.30,"5,000","1,100,000","4,169","7,533","17,280","40,436","5,000","3,300"
56,한국항공우주,"87,200",상승,"3,400",+4.06%,"5,000","1,372,220","118,986","87,100","84,998","2,407",51.35,"5,000","335,361","87,800","87,200","80,255",-2.74,"5,000","88,900","17,293","62,984","1,709",34.61,"5,000","84,400","54,731","97,475","36,337","1,698","5,000",500
57,현대글로비스,"113,200",상승,"1,600",+1.43%,500,"152,901","17,341","113,200","84,900","17,529",7.15,500,"96,703","111,900","113,300","168,491",12.80,500,"114,900","2,697","80,398","10,995",49.33,500,"110,200","6,395","75,000","284,074","15,834",500,"3,700"
58,대한항공,"22,800",상승,150,+0.66%,"5,000","1,125,126","25,621","22,800","83,954","21,102",6.86,"5,000","671,567","22,650","22,850","470,121",17.88,"5,000","22,950","247,102","360,489","13,819",17.07,"5,000","22,600","242,970","368,221","178,707","3,322","5,000",750
59,KODEX CD금리액티브(합성),"1,071,585",상승,295,+0.03%,0,"182,956","196,053","1,071,585","83,645",N/A,N/A,0,"155,962","1,071,585","1,071,590",N/A,N/A,0,"1,071,590","268,395",N/A,N/A,0.00,0,"1,071,585","376,648","7,806",N/A,N/A,0,N/A
60,한화시스템,"43,900",상승,550,+1.27%,"5,000","1,800,507","78,814","43,850","82,936","2,193",18.83,"5,000","2,558,857","43,850","43,900","57,240",78.95,"5,000","44,200","57,404","33,076","4,454",8.07,"5,000","43,200","54,359","188,919","28,037","2,331","5,000",350
61,유한양행,"103,000",하락,"1,000",-0.96%,"1,000","448,823","46,491","103,000","82,615",549,125.46,"1,000","235,960","104,400","103,100","29,420",-3.77,"1,000","105,200","31,016","7,914",552,17.91,"1,000","102,900","26,637","80,209","20,678",821,"1,000",500
