N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,액면가,전일거래량,시가,매도호가,자산총계,영업이익증가율,액면가,고가,매수총잔량,부채총계,당기순이익,외국인비율,액면가,저가,매도총잔량,상장주식수,매출액,주당순이익,액면가,보통주배당금
99,키움증권,"173,000",상승,"10,600",+6.53%,"5,000","283,356","48,899","172,900","42,345","10,982",5.90,"5,000","253,315","165,900","173,000","556,884",94.50,"5,000","176,100","1,775","500,565","8,349",26.01,"5,000","165,500","1,550","24,477","112,803","29,304","5,000","7,500"
100,LG디스플레이,"8,420",상승,110,+1.32%,"5,000","1,100,984","9,258","8,420","42,100","-5,606",-2.06,"5,000","1,069,431","8,400","8,430","328,596",77.67,"5,000","8,490","99,697","247,868","-24,093",20.33,"5,000","8,340","90,783","500,000","266,153","-4,084","5,000",N/A
101,GS,"45,050",상승,"1,700",+3.92%,"5,000","597,109","26,885","45,050","41,858","30,602",10.35,"5,000","343,858","43,950","45,100","350,634",-17.78,"5,000","45,800","13,199","165,930","8,635",17.22,"5,000","43,850","9,273","92,915","252,975","4,351","5,000","2,700"
102,현대오토에버,"141,500",상승,"2,500",+1.80%,500,"33,133","4,686","141,400","38,805","2,244",23.52,500,"34,531","139,000","141,500","33,495",23.71,500,"142,700",400,"16,190","1,752",2.10,500,"138,300","1,044","27,424","37,136","6,016",500,"1,780"
103,KODEX KOFR금리액티브(합성),"110,435",상승,10,+0.01%,0,"397,192","43,863","110,430","38,686",N/A,N/A,0,"366,659","110,430","110,435",N/A,N/A,0,"110,435","376,943",N/A,N/A,0.00,0,"110,430","286,399","35,031",N/A,N/A,0,N/A
104,한미약품,"299,000",하락,"5,500",-1.81%,"2,500","84,301","25,151","298,500","38,305","2,162",35.17,"2,500","57,887","304,500","299,000","20,208",-2.04,"2,500","306,500","3,774","7,801","1,404",9.94,"2,500","295,500","5,436","12,811","14,955","8,502","2,500","1,250"
105,한국가스공사,"40,600",상승,700,+1.75%,"5,000","433,751","17,455","40,550","37,479","30,034",3.38,"5,000","672,020","40,200","40,600","576,696",93.34,"5,000","40,700","22,379","468,433","11,490",10.42,"5,000","39,000","30,526","92,313","383,887","12,001","5,000","1,455"
106,JB금융지주,"19,170",상승,790,+4.30%,"5,000","429,970","8,255","19,170","37,172","9,061",5.53,"5,000","460,016","18,480","19,200","667,219",13.26,"5,000","19,430","10,944","609,971","6,930",35.32,"5,000","18,470","2,129","193,908","46,238","3,469","5,000",995
107,현대제철,"27,650",상승,200,+0.73%,"5,000","539,669","14,852","27,650","36,898","1,595",-37.52,"5,000","652,675","27,500","27,700","347,438",-80.02,"5,000","27,900","24,709","154,102",88,18.01,"5,000","26,900","23,925","133,446","232,261",-737,"5,000",750
108,강원랜드,"17,220",상승,100,+0.58%,500,"510,909","8,813","17,220","36,841","2,858",8.40,500,"313,416","17,190","17,230","47,006",1.25,500,"17,310","17,097","8,170","4,569",13.49,500,"17,180","44,676","213,940","14,269","2,050",500,"1,170"
109,SK바이오사이언스,"46,150",상승,550,+1.21%,500,"148,575","6,884","46,150","36,167","-1,384",-75.16,500,"146,937","45,700","46,200","28,436","-1,054.77",500,"47,000","7,410","8,211",-501,6.35,500,"45,400","1,780","78,369","2,675",-614,500,0
110,엔씨소프트,"166,500",보합,0,0.00%,500,"199,578","33,449","166,500","35,871","-1,092",48.86,500,"330,236","166,800","166,700","39,539",-179.56,500,"169,000","8,959","8,904",941,35.70,500,"165,600",962,"21,544","15,781","3,408",500,"1,460"
111,BNK금융지주,"11,190",상승,440,+4.09%,"5,000","1,499,633","16,746","11,190","35,627","8,759",4.94,"5,000","869,696","10,920","11,200","1,524,705",9.33,"5,000","11,260","47,322","1,413,229","7,500",40.52,"5,000","10,870","63,153","318,384","100,314","2,266","5,000",650
112,CJ제일제당,"236,500",상승,"6,000",+2.60%,"5,000","88,774","20,883","236,000","35,603","15,530",52.43,"5,000","34,618","231,500","236,500","301,500",20.24,"5,000","238,000","4,522","179,072","3,618",20.35,"5,000","230,500","11,622","15,054","293,591","4,511","5,000","6,000"
113,현대차우,"149,900",상승,"3,400",+2.32%,"5,000","89,080","13,236","149,800","34,988",N/A,3.27,"5,000","68,966","147,500","149,900",N/A,N/A,"5,000","149,900",352,N/A,N/A,61.29,"5,000","147,500","4,233","23,341",N/A,"45,880","5,000",N/A
114,SKC,"90,300",상승,"1,900",+2.15%,"5,000","186,386","16,859","90,300","34,195","-2,768",-6.55,"5,000","151,714","90,000","90,400","67,487",-29.53,"5,000","91,400","7,572","44,559","-4,551",14.35,"5,000","89,500","7,153","37,868","17,216","-13,786","5,000",N/A
115,LG이노텍,"143,900",상승,"1,600",+1.12%,"5,000","84,779","12,213","143,900","34,057","7,060",8.59,"5,000","82,998","144,100","144,000","113,782",-15.02,"5,000","145,300","15,195","60,243","4,493",23.41,"5,000","143,000","1,734","23,667","212,008","16,750","5,000","2,090"
116,포스코DX,"21,800",상승,350,+1.63%,500,"293,993","6,419","21,750","33,144","1,090",39.49,500,"275,339","21,600","21,800","8,925",-1.42,500,"22,250","23,562","3,666",886,3.04,500,"21,550","37,079","152,035","14,733",552,500,125
117,롯데지주,"31,450",상승,"1,650",+5.54%,200,"971,543","30,189","31,400","32,994","3,405",-3.07,200,"424,513","30,850","31,450","226,603",-31.04,200,"31,850","9,324","134,605","-9,461",7.38,200,"30,300","21,404","104,909","157,570","-10,260",200,"1,200"
118,KODEX 종합채권(AA-이상)액티브,"118,160",하락,730,-0.61%,0,"111,866","13,235","118,160","32,651",N/A,N/A,0,"32,458","118,570","118,170",N/A,N/A,0,"118,730","23,261",N/A,N/A,0.00,0,"118,115","21,921","27,633",N/A,N/A,0,N/A
119,두산로보틱스,"49,750",상승,"2,300",+4.85%,500,"223,827","11,016","49,750","32,248",-412,-74.81,500,"116,399","48,000","49,800","4,217",-114.96,500,"49,750","7,339",192,-366,2.02,500,"47,900","22,698","64,820",468,-665,500,N/A
120,현대엘리베이터,"81,300",상승,"5,700",+7.54%,"5,000","487,337","39,560","81,200","31,782","2,257",15.20,"5,000","152,860","79,100","81,300","35,738",173.22,"5,000","83,800","12,618","22,315","1,939",29.10,"5,000","78,700","7,493","39,092","28,853","5,347","5,000","5,500"
121,TIGER 미국테크TOP10 INDXX,"23,010",상승,460,+2.04%,0,"922,155","21,286","23,005","31,512",N/A,N/A,0,"609,052","23,075","23,010",N/A,N/A,0,"23,150","100,953",N/A,N/A,0.79,0,"23,005","45,820","136,950",N/A,N/A,0,N/A
122,금호석유화학,"117,000",상승,"3,000",+2.63%,"5,000","104,191","12,251","117,000","30,958","2,728",9.62,"5,000","68,453","114,700","117,100","83,402",-24.00,"5,000","120,000","5,291","22,980","3,486",16.91,"5,000","114,600",781,"26,460","71,550","12,168","5,000","2,200"
123,에코프로머티,"44,200",상승,150,+0.34%,500,"590,271","26,507","44,200","30,910",-647,-73.67,500,"588,161","44,650","44,250","12,902",-837.74,500,"46,100","10,703","5,526",-427,23.44,500,"43,800","5,583","69,932","2,998",-600,500,0
124,이수페타시스,"40,050",상승,"1,950",+5.12%,"1,000","1,255,136","50,513","40,050","29,400","1,019",28.03,"1,000","764,947","39,100","40,100","7,901",63.87,"1,000","40,950","29,472","4,626",740,14.12,"1,000","39,100","20,957","73,409","8,369","1,429","1,000",143
125,시프트업,"49,250",상승,"1,100",+2.28%,200,"200,940","9,881","49,250","28,950","1,527",18.13,200,"350,551","48,700","49,300","8,038",37.47,200,"49,650","5,301",394,"1,480",37.38,200,"48,500","4,742","58,782","2,241","2,717",200,0
126,KCC,"325,000",상승,"23,000",+7.62%,"5,000","58,723","18,755","324,500","28,881","4,711",-24.57,"5,000","23,864","309,500","325,000","131,086",50.74,"5,000","327,500",953,"80,692","2,933",9.27,"5,000","307,500","3,866","8,886","66,588","-13,230","5,000","10,000"
127,F&F,"75,100",상승,400,+0.54%,100,"60,699","4,565","75,100","28,769","4,507",8.27,100,"36,271","74,300","75,300","22,859",-18.32,100,"75,800","2,638","7,086","3,560",11.40,100,"74,300","3,523","38,307","18,960","9,076",100,"1,700"
128,TIGER KOFR금리액티브(합성),"108,935",상승,5,0.00%,0,"66,124","7,203","108,930","28,676",N/A,N/A,0,"60,299","108,930","108,935",N/A,N/A,0,"108,935","65,348",N/A,N/A,0.00,0,"108,930","88,706","26,324",N/A,N/A,0,N/A
129,RISE 머니마켓액티브,"54,275",상승,15,+0.03%,0,"345,071","18,727","54,270","28,562",N/A,N/A,0,"423,108","54,270","54,275",N/A,N/A,0,"54,275","217,998",N/A,N/A,0.98,0,"54,265","195,176","52,624",N/A,N/A,0,N/A
130,영원무역,"61,500",상승,"1,800",+3.02%,500,"69,921","4,329","61,500","27,252","3,156",6.32,500,"42,810","58,500","61,600","53,897",-50.47,500,"62,900","2,511","14,941","2,945",29.23,500,"58,400","1,822","44,311","35,178","9,724",500,"1,400"
131,한화생명,"3,080",상승,170,+5.84%,"5,000","3,238,686","9,934","3,080","26,751","10,970",3.63,"5,000","1,546,491","2,965","3,085","1,601,464",3.78,"5,000","3,115","165,295","1,458,684","8,660",9.98,"5,000","2,955","181,723","868,530","245,852",849,"5,000",N/A
132,에스원,"69,500",상승,"3,000",+4.51%,500,"77,506","5,360","69,500","26,409","2,092",14.83,500,"28,833","66,600","69,600","23,227",-1.58,500,"69,800","7,257","6,620","1,767",56.06,500,"66,600","5,800","37,999","28,047","4,687",500,"2,700"
133,서울보증보험,"37,500",상승,"2,500",+7.14%,"2,500","427,755","15,765","37,450","26,183","2,797",12.29,"2,500","326,091","35,350","37,500","93,336",-46.64,"2,500","37,600","8,018","41,581","2,133",0.82,"2,500","35,300","20,504","69,822","27,513","3,052","2,500","2,865"
134,동서,"26,200",상승,900,+3.56%,500,"112,846","2,942","26,200","26,121",445,17.58,500,"55,788","25,150","26,300","17,791",1.66,500,"26,450","5,556",697,"1,590",4.29,500,"25,150","7,879","99,700","4,889","1,490",500,890
135,롯데케미칼,"60,200",상승,"1,000",+1.69%,"5,000","126,829","7,662","60,200","25,751","-8,941",-1.42,"5,000","83,953","59,800","60,300","345,523",-157.14,"5,000","61,300","6,782","145,644","-18,256",20.22,"5,000","59,000","6,133","42,775","204,304","-42,451","5,000","2,000"
136,한화비전,"50,800",하락,600,-1.17%,500,"687,605","35,152","50,700","25,648",-1,80.00,500,"337,227","52,100","50,800","15,911",N/A,500,"52,600","111,080","7,664",32,20.94,500,"50,500","19,191","50,488","4,933",635,500,N/A
137,KODEX 미국나스닥100,"19,805",상승,385,+1.98%,0,"899,906","17,876","19,800","25,618",N/A,N/A,0,"1,141,556","19,855","19,805",N/A,N/A,0,"19,910","109,212",N/A,N/A,0.22,0,"19,800","104,634","129,350",N/A,N/A,0,N/A
138,농심,"418,000",상승,"12,000",+2.96%,"5,000","40,227","16,759","418,000","25,425","1,631",16.28,"5,000","49,203","409,000","418,500","35,975",-23.10,"5,000","422,000",902,"9,249","1,576",17.39,"5,000","407,500","1,637","6,083","34,387","25,679","5,000","5,000"
139,TIGER 200,"37,110",상승,"1,025",+2.84%,0,"1,806,566","66,780","37,110","25,420",N/A,N/A,0,"1,335,921","36,660","37,115",N/A,N/A,0,"37,135","200,017",N/A,N/A,9.52,0,"36,600","181,928","68,500",N/A,N/A,0,N/A
140,코스맥스,"221,500",상승,"5,000",+2.31%,500,"89,048","20,034","221,500","25,139","1,754",33.66,500,"111,643","219,500","222,000","19,337",51.61,500,"229,500","1,343","14,249",884,35.19,500,"219,000","1,332","11,350","21,661","6,581",500,"2,300"
141,대한전선,"13,290",상승,650,+5.14%,"1,000","2,496,765","33,034","13,290","24,779","1,152",31.72,"1,000","514,500","12,870","13,300","26,427",44.28,"1,000","13,490","57,958","11,466",742,6.36,"1,000","12,860","31,675","186,447","32,913",419,"1,000",N/A
142,KODEX 200TR,"13,210",상승,335,+2.60%,0,"1,374,938","18,151","13,210","24,571",N/A,N/A,0,"440,103","13,045","13,220",N/A,N/A,0,"13,245","24,429",N/A,N/A,0.00,0,"13,045","81,693","186,000",N/A,N/A,0,N/A
143,TIGER 미국필라델피아반도체나스닥,"17,900",상승,860,+5.05%,0,"1,002,239","17,938","17,895","24,317",N/A,N/A,0,"704,711","17,900","17,900",N/A,N/A,0,"17,945","40,177",N/A,N/A,0.34,0,"17,840","99,194","135,850",N/A,N/A,0,N/A
144,한미사이언스,"35,300",상승,500,+1.44%,500,"147,983","5,212","35,300","24,142",989,45.78,500,"101,048","35,250","35,350","13,491",-20.57,500,"35,850","7,199","5,104",567,1.89,500,"34,750","6,008","68,392","12,834",771,500,300
145,이마트,"87,400",상승,"2,800",+3.31%,"5,000","192,828","16,726","87,300","24,119",471,-4.46,"5,000","384,728","85,300","87,400","339,306",200.35,"5,000","87,800","3,398","207,466","-5,734",20.58,"5,000","83,700","15,892","27,596","290,209","-19,614","5,000","2,000"
146,한화엔진,"28,050",하락,300,-1.06%,"1,000","961,616","26,595","28,000","23,407",715,27.97,"1,000","824,808","28,350","28,050","14,131",719.51,"1,000","28,400","52,225","10,198",792,11.67,"1,000","26,950","56,586","83,447","12,022","1,003","1,000",N/A
147,한전기술,"61,100",하락,800,-1.29%,200,"401,260","24,301","61,000","23,352",548,20.17,200,"231,805","61,300","61,100","9,468",91.88,200,"62,000","14,484","3,694",585,9.73,200,"58,800","12,333","38,220","5,534","3,029",200,999
148,KODEX 레버리지,"18,455",상승,970,+5.55%,0,"21,738,068","397,213","18,455","23,050",N/A,N/A,0,"18,218,842","17,960","18,460",N/A,N/A,0,"18,490","376,287",N/A,N/A,0.04,0,"17,955","811,066","124,900",N/A,N/A,0,N/A
149,현대해상,"25,100",상승,"1,150",+4.80%,500,"592,859","14,770","25,100","22,439","12,441",2.64,500,"486,933","24,200","25,150","485,238",67.33,500,"25,250","33,190","437,804","8,505",35.47,500,"24,050","36,079","89,400","173,245","9,514",500,N/A
150,롯데쇼핑,"79,300",상승,"1,700",+2.19%,"5,000","83,302","6,601","79,300","22,433","4,731",-2.18,"5,000","89,603","77,500","79,400","390,030",-6.94,"5,000","79,900","2,894","219,694","-9,941",8.01,"5,000","76,800","14,417","28,289","139,866","-36,401","5,000","3,800"
151,ACE 미국30년국채액티브(H),"7,550",하락,15,-0.20%,0,"2,780,265","21,019","7,550","22,310",N/A,N/A,0,"2,405,949","7,570","7,555",N/A,N/A,0,"7,575","585,974",N/A,N/A,0.01,0,"7,545","515,834","295,500",N/A,N/A,0,N/A
152,KODEX CD1년금리플러스액티브(합성),"1,022,395",상승,315,+0.03%,0,"7,991","8,169","1,022,395","22,052",N/A,N/A,0,"6,334","1,022,330","1,022,400",N/A,N/A,0,"1,022,400","387,894",N/A,N/A,0.00,0,"1,022,330","385,612","2,157",N/A,N/A,0,N/A
153,아모레퍼시픽홀딩스,"27,250",상승,350,+1.30%,500,"244,293","6,677","27,250","21,652","2,493",9.69,500,"281,833","27,100","27,300","85,405",64.00,500,"27,550","15,545","15,488","6,529",9.49,500,"27,000","17,184","79,458","42,599","2,813",500,330
154,제일기획,"18,550",상승,250,+1.37%,200,"315,581","5,873","18,550","21,340","3,207",11.05,200,"148,183","18,490","18,560","33,066",4.29,200,"18,760","12,610","18,325","2,083",24.72,200,"18,410","1,486","115,041","43,443","1,679",200,"1,230"
155,미스토홀딩스,"35,400",상승,350,+1.00%,"1,000","175,225","6,207","35,400","21,274","3,608",22.65,"1,000","106,547","35,000","35,450","55,364",18.88,"1,000","35,850","41,245","28,001","2,077",40.02,"1,000","34,900","8,533","60,096","42,687","1,563","1,000","1,200"
156,한온시스템,"3,080",상승,95,+3.18%,100,"833,620","2,548","3,080","20,906",955,-4.46,100,"1,996,570","3,000","3,085","106,203",-66.31,100,"3,090","77,527","76,215","-3,586",4.83,100,"3,000","53,268","678,763","99,987",-690,100,N/A
157,씨에스윈드,"49,200",하락,650,-1.30%,500,"820,104","40,650","49,200","20,748","2,555",7.52,500,"437,000","51,800","49,250","36,095",145.19,500,"52,300","20,156","24,092","1,437",12.20,500,"47,550","8,098","42,171","30,725","6,546",500,"1,000"
158,ACE 미국S&P500,"20,535",상승,270,+1.33%,0,"534,668","11,012","20,530","20,658",N/A,N/A,0,"437,554","20,605","20,535",N/A,N/A,0,"20,650","87,589",N/A,N/A,0.09,0,"20,535","77,729","100,600",N/A,N/A,0,N/A
159,산일전기,"67,800",하락,700,-1.02%,500,"230,152","15,771","67,700","20,642","1,092",21.10,500,"331,461","69,800","67,800","4,927",134.38,500,"69,800","21,638",584,837,9.24,500,"67,500","4,608","30,445","3,340","3,214",500,420
160,아시아나항공,"10,000",상승,40,+0.40%,"5,000","65,793",657,"10,000","20,599","2,757",-9.09,"5,000","79,896","9,980","10,030","134,499",-55.53,"5,000","10,030","8,588","124,468","-4,130",2.71,"5,000","9,960","17,670","205,991","83,186","-1,100","5,000",N/A
161,엘앤에프,"56,000",상승,"2,500",+4.67%,500,"322,568","18,035","55,900","20,337","-5,587",-5.39,500,"433,934","54,100","56,000","27,998",-151.32,500,"57,100","4,498","20,765","-3,807",16.29,500,"53,700","15,294","36,316","19,075","-10,395",500,0
162,한국콜마,"86,000",상승,"1,100",+1.30%,500,"210,516","18,130","85,900","20,300","1,939",20.93,500,"221,233","85,500","86,000","31,267",42.39,500,"87,000","5,417","16,210","1,253",37.24,500,"84,500","8,474","23,605","24,521","4,109",500,720
163,TIGER 미국배당다우존스,"11,465",상승,100,+0.88%,0,"1,158,490","13,318","11,465","20,104",N/A,N/A,0,"987,581","11,470","11,470",N/A,N/A,0,"11,525","81,997",N/A,N/A,0.00,0,"11,465","100,234","175,350",N/A,N/A,0,N/A
164,팬오션,"3,750",상승,45,+1.21%,"1,000","1,605,373","6,032","3,745","20,046","4,712",7.17,"1,000","1,023,101","3,730","3,750","102,715",22.11,"1,000","3,795","50,839","46,181","2,681",15.28,"1,000","3,730","128,772","534,570","51,612",523,"1,000",120
165,SK가스,"215,000",상승,"1,500",+0.70%,"5,000","16,620","3,554","214,500","19,877","2,872",8.07,"5,000","10,452","212,500","215,000","75,396",-5.41,"5,000","216,000","1,294","48,013","1,778",7.29,"5,000","211,000",648,"9,245","70,959","26,657","5,000","8,000"
166,GS건설,"23,100",상승,550,+2.44%,"5,000","692,500","15,996","23,100","19,769","2,860",14.22,"5,000","521,218","23,100","23,150","178,033",173.71,"5,000","23,400","33,339","127,162","2,639",22.67,"5,000","22,700","66,699","85,581","128,638","1,624","5,000",300
167,신영증권,"117,800",상승,"13,200",+12.62%,"5,000","130,856","15,159","117,700","19,366","1,704",15.79,"5,000","52,960","110,000","117,800","106,099",47.34,"5,000","119,500","1,909","89,215","1,494",7.14,"5,000","108,000","2,726","16,440","27,643","7,462","5,000","4,500"
168,호텔신라,"49,200",하락,650,-1.30%,"5,000","281,338","13,877","49,200","19,310",-52,-29.78,"5,000","222,221","50,300","49,250","38,139",-105.68,"5,000","50,400","23,193","25,295",-615,13.01,"5,000","48,850","2,730","39,248","39,476","-1,652","5,000",N/A
169,DL이앤씨,"49,650",상승,"1,150",+2.37%,"5,000","221,694","10,987","49,600","19,211","2,709",9.13,"5,000","197,120","49,300","49,650","97,124",-18.06,"5,000","50,100","16,324","48,667","2,292",31.49,"5,000","48,150","10,553","38,694","83,184","5,440","5,000",540
170,KODEX 코스닥150레버리지,"7,385",상승,105,+1.44%,0,"25,871,765","192,976","7,385","19,090",N/A,N/A,0,"24,024,401","7,400","7,390",N/A,N/A,0,"7,525","432,070",N/A,N/A,0.31,0,"7,360","426,795","258,500",N/A,N/A,0,N/A
171,CJ대한통운,"83,500",상승,"3,600",+4.51%,"5,000","147,399","12,228","83,500","19,048","5,307",8.10,"5,000","47,431","80,700","83,600","97,439",10.50,"5,000","84,100","1,519","55,183","2,683",13.29,"5,000","80,500","5,434","22,812","121,168","10,305","5,000",800
172,DB하이텍,"42,850",상승,550,+1.30%,"5,000","246,230","10,522","42,800","19,025","1,908",8.23,"5,000","822,558","42,700","42,850","23,969",-28.10,"5,000","43,350","7,804","3,962","2,294",26.46,"5,000","42,150","8,361","44,399","11,312","5,205","5,000","1,230"
173,한전KPS,"42,200",상승,200,+0.48%,200,"251,634","10,550","42,150","18,990","2,095",13.56,200,"188,113","41,750","42,200","16,902",5.08,200,"42,400","10,753","3,617","1,724",15.64,200,"41,300","8,659","45,000","15,571","3,113",200,"2,469"
174,더존비즈온,"62,400",상승,"6,100",+10.83%,500,"422,306","25,499","62,300","18,959",881,35.29,500,"183,168","57,500","62,400","10,376",27.50,500,"62,500","3,397","4,828",780,12.01,500,"56,700","10,908","30,383","4,023","1,768",500,477
175,BGF리테일,"109,500",상승,"7,700",+7.56%,"1,000","168,764","18,149","109,400","18,926","2,516",10.22,"1,000","45,088","102,100","109,500","34,026",-0.61,"1,000","110,200",418,"22,185","1,952",27.09,"1,000","102,000","1,476","17,284","86,988","10,714","1,000","4,100"
176,대웅제약,"163,000",하락,"5,500",-3.26%,"2,500","94,353","15,289","163,000","18,886","1,479",49.08,"2,500","159,220","165,000","163,400","19,770",20.68,"2,500","166,600","1,000","10,500",233,8.93,"2,500","158,400","2,006","11,587","14,227","3,321","2,500",600
177,iM금융지주,"11,340",상승,280,+2.53%,"5,000","665,647","7,523","11,330","18,869","2,634",8.93,"5,000","496,911","11,060","11,340","941,486",-50.69,"5,000","11,390","12,237","879,429","2,016",42.83,"5,000","11,060","31,777","166,393","80,505","1,270","5,000",500
178,동원산업,"46,850",상승,550,+1.19%,"1,000","51,855","2,423","46,850","18,564","5,013",26.17,"1,000","29,896","47,200","46,900","71,582",7.87,"1,000","47,500",706,"39,118","1,136",2.21,"1,000","46,000","1,644","39,624","89,442","1,790","1,000","1,000"
179,코리안리,"9,500",상승,230,+2.48%,500,"462,078","4,385","9,500","18,508","4,054",5.85,500,"261,679","9,280","9,510","131,604",11.48,500,"9,600","7,680","97,075","3,167",27.31,500,"9,280","10,362","194,821","69,579","1,625",500,515
180,풍산,"65,300",상승,"2,600",+4.15%,"5,000","307,688","19,733","65,200","18,300","3,238",7.60,"5,000","181,734","62,800","65,300","40,966",41.61,"5,000","65,300","3,418","18,973","2,360",20.15,"5,000","62,100","24,376","28,024","45,544","8,589","5,000","2,600"
181,대우건설,"4,395",상승,230,+5.52%,"5,000","2,859,570","12,387","4,390","18,267","4,031",9.06,"5,000","1,696,835","4,225","4,395","126,585",-39.15,"5,000","4,440","38,887","83,244","2,428",11.37,"5,000","4,180","183,034","415,623","105,036",485,"5,000",N/A
182,HD현대인프라코어,"9,460",상승,70,+0.75%,"1,000","1,513,432","14,276","9,450","18,219","1,842",22.91,"1,000","956,253","9,350","9,460","42,872",-55.97,"1,000","9,520","30,568","24,400","1,084",12.44,"1,000","9,240","107,708","192,591","41,142",413,"1,000",70
183,한국앤컴퍼니,"18,950",상승,210,+1.12%,500,"326,121","6,138","18,950","17,990","4,183",5.11,500,"455,707","18,650","18,960","51,364",63.03,500,"19,150","5,424","6,836","3,507",10.35,500,"18,200","3,064","94,935","13,910","3,709",500,"1,000"
184,달바글로벌,"145,200",하락,"6,800",-4.47%,100,"328,408","48,229","145,200","17,525",598,101.75,100,"586,570","149,000","145,300","1,361",84.44,100,"149,300","6,442",340,154,1.99,100,"144,700","1,875","12,070","3,091","1,427",100,305
185,TIGER 25-10 회사채(A+이상)액티브,"55,010",상승,15,+0.03%,0,"97,745","5,376","55,005","17,276",N/A,N/A,0,"97,871","55,005","55,010",N/A,N/A,0,"55,010","114,001",N/A,N/A,0.13,0,"55,000","111,768","31,406",N/A,N/A,0,N/A
186,영원무역홀딩스,"125,200",상승,"5,700",+4.77%,500,"29,471","3,715","125,200","17,072","5,170",5.15,500,"17,585","119,500","125,300","65,767",-40.75,500,"129,000",394,"15,896","4,956",20.31,500,"119,500","1,668","13,636","43,060","24,299",500,"5,350"
187,신세계,"175,200",상승,"4,400",+2.58%,"5,000","40,694","7,102","175,200","16,898","4,770",27.58,"5,000","49,843","169,100","175,700","150,718",-25.44,"5,000","177,900",871,"86,971","1,866",11.94,"5,000","169,100","1,054","9,645","65,704","6,353","5,000","4,500"
188,TIGER 차이나전기차SOLACTIVE,"9,430",상승,275,+3.00%,0,"951,699","8,975","9,430","16,469",N/A,N/A,0,"963,357","9,260","9,435",N/A,N/A,0,"9,495","16,510",N/A,N/A,0.42,0,"9,260","25,297","174,640",N/A,N/A,0,N/A
189,현대백화점,"72,400",상승,"1,700",+2.40%,"5,000","74,242","5,375","72,300","16,383","2,840",-46.03,"5,000","94,854","70,900","72,400","112,177",-6.40,"5,000","73,200","1,239","49,833",-8,22.67,"5,000","70,400","11,924","22,629","41,876","-1,573","5,000","1,400"
190,대웅,"28,000",상승,550,+2.00%,500,"371,354","10,380","27,950","16,280","2,819",25.85,500,"596,028","27,100","28,000","27,207",44.12,500,"28,550","1,135","12,182",689,5.13,500,"26,700","8,977","58,142","19,369","1,083",500,200
191,오뚜기,"399,500",상승,"8,500",+2.17%,"5,000","6,403","2,551","399,000","16,011","2,220",13.08,"5,000","4,368","391,500","399,500","35,974",-12.90,"5,000","401,000",276,"14,159","1,376",11.99,"5,000","391,500",701,"4,008","35,391","30,537","5,000","9,000"
192,HL만도,"33,550",상승,200,+0.60%,"1,000","328,612","11,050","33,550","15,754","3,588",86.47,"1,000","127,984","33,550","33,600","70,520",28.46,"1,000","34,100","24,112","43,793","1,582",27.08,"1,000","33,450","9,986","46,957","88,482",388,"1,000",700
193,KODEX 단기채권PLUS,"114,680",상승,10,+0.01%,0,"37,539","4,304","114,675","15,748",N/A,N/A,0,"73,666","114,670","114,680",N/A,N/A,0,"114,680","66,842",N/A,N/A,0.00,0,"114,665","69,266","13,732",N/A,N/A,0,N/A
194,SNT다이내믹스,"47,300",상승,"2,400",+5.35%,"2,500","137,377","6,362","47,250","15,729","1,105",15.57,"2,500","137,583","45,800","47,300","10,341",165.67,"2,500","47,450","1,213","2,437",961,8.39,"2,500","44,300","6,919","33,253","6,145","3,038","2,500","1,300"
195,TIGER MSCI Korea TR,"15,360",상승,435,+2.91%,0,"18,852",288,"15,340","15,498",N/A,N/A,0,"35,607","15,220","15,360",N/A,N/A,0,"15,360","10,514",N/A,N/A,0.00,0,"15,200",708,"100,900",N/A,N/A,0,N/A
196,HDC현대산업개발,"23,500",상승,150,+0.64%,"5,000","268,988","6,348","23,500","15,488","1,846",8.63,"5,000","271,400","23,600","23,550","74,619",-5.47,"5,000","23,950","15,021","43,473","1,557",12.94,"5,000","23,350","21,530","65,907","42,562","2,722","5,000",700
197,SK아이이테크놀로지,"21,650",상승,650,+3.10%,"1,000","109,742","2,387","21,650","15,436","-2,910",-7.50,"1,000","96,177","21,200","21,750","41,501",-680.51,"1,000","22,150","9,224","18,256","-2,466",6.31,"1,000","21,200","5,520","71,298","2,179","-2,886","1,000",N/A
198,ACE 미국나스닥100,"22,640",상승,435,+1.96%,0,"348,072","7,903","22,635","15,327",N/A,N/A,0,"401,155","22,720","22,640",N/A,N/A,0,"22,770","93,115",N/A,N/A,0.16,0,"22,640","80,419","67,700",N/A,N/A,0,N/A
199,HD현대마린엔진,"44,600",상승,"2,550",+6.06%,"2,500","709,667","30,913","44,550","15,129",332,17.29,"2,500","346,933","42,050","44,600","4,950",80.60,"2,500","45,100","4,188","1,856",758,14.30,"2,500","41,300","21,671","33,921","3,158","2,579","2,500",N/A
200,녹십자,"128,500",상승,"1,000",+0.78%,"5,000","34,527","4,468","128,500","15,017",321,52.28,"5,000","20,912","127,400","129,000","27,439",-6.76,"5,000","131,000","1,223","12,629",-426,19.48,"5,000","127,400","1,468","11,687","16,799","2,458","5,000","1,500"
