18,HD한국조선해양,"327,500",상승,"15,000",+4.80%,"5,000","369,838","118,790","327,000","231,782","14,341",15.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,HMM,"22,550",상승,250,+1.12%,"5,000","2,651,013","60,127","22,500","231,146","35,128",4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,삼성생명,"108,800",상승,"8,900",+8.91%,500,"694,148","74,182","108,500","217,600","24,998",10.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,하나금융지주,"74,500",상승,"4,500",+6.43%,"5,000","1,734,080","127,656","74,500","212,119","48,552",5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,메리츠금융지주,"113,900",상승,"2,600",+2.34%,500,"313,877","35,844","113,900","205,036","31,889",9.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,POSCO홀딩스,"245,500",상승,"1,500",+0.61%,"5,000","331,807","81,480","245,000","198,690","21,736",23.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,삼성화재,"425,500",상승,"37,500",+9.66%,500,"152,127","63,578","425,000","195,777","26,496",10.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,한국전력,"29,650",하락,450,-1.50%,"5,000","4,036,843","118,488","29,600","190,342","83,647",3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,카카오,"41,600",하락,"1,550",-3.59%,100,"3,838,475","161,418","41,550","183,752","4,602",120.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,크래프톤,"367,500",하락,500,-0.14%,100,"163,369","60,013","367,000","176,104","11,825",13.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,현대로템,"156,100",상승,"4,100",+2.70%,"5,000","1,001,543","154,059","156,000","170,371","4,566",33.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,SK스퀘어,"124,700",상승,"14,400",+13.06%,100,"780,909","96,925","124,700","165,278","39,126",3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,고려아연,"770,000",상승,"40,000",+5.48%,"5,000","28,116","21,348","767,000","159,415","7,235",64.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,KT&G,"124,400",상승,"3,800",+3.15%,"5,000","376,601","46,934","124,400","151,846","11,888",14.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,우리금융지주,"20,300",상승,"1,410",+7.46%,"5,000","4,745,709","95,020","20,250","150,746","42,552",4.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,삼성중공업,"16,880",상승,90,+0.54%,"1,000","9,351,134","155,407","16,870","148,544","5,027",101.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,LG화학,"198,700",상승,"3,400",+1.74%,"5,000","281,974","56,206","198,700","140,267","9,168",-16.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,HD현대일렉트릭,"382,000",상승,"4,000",+1.06%,"5,000","235,743","90,442","381,500","137,700","6,690",24.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,SK이노베이션,"90,900",상승,"3,200",+3.65%,"5,000","377,011","34,155","90,800","137,291","3,155",-4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,SK,"180,700",상승,"17,300",+10.59%,200,"885,037","155,971","180,600","131,012","23,553",14.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,기업은행,"15,800",상승,370,+2.40%,"5,000","1,742,846","27,423","15,800","125,993","35,941",4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,KT,"49,850",상승,450,+0.91%,"5,000","310,425","15,570","49,850","125,633","8,095",19.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,삼성SDI,"172,400",하락,400,-0.23%,"5,000","503,464","87,485","172,400","118,550","3,633",118.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,하이브,"281,000",상승,"9,000",+3.31%,500,"231,183","64,951","280,500","117,042","1,840",223.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,LG전자,"71,300",상승,500,+0.71%,"5,000","535,683","38,424","71,300","116,681","34,197",18.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,LG,"74,000",상승,"3,200",+4.52%,"5,000","592,876","43,892","73,800","116,366","9,668",14.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,카카오뱅크,"23,700",하락,350,-1.46%,"5,000","606,488","14,428","23,700","113,046","6,069",25.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
