N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
1,삼성전자,"62,200",하락,400,-0.64%,100,"8,402,622","522,050","62,200","3,682,015","327,260",12.05,"19,140,650","62,300","62,300","5,145,319",398.34,9.03,"62,600","1,589,204","1,123,399","344,514",49.78,7.10,"61,800","869,302","5,919,638","3,008,709","5,162",1.05,"1,446",16.20
2,SK하이닉스,"299,500",상승,"5,000",+1.70%,"5,000","1,957,587","585,041","299,500","2,180,367","234,673",8.39,"3,732,533","292,500","300,000","1,198,552",403.58,31.06,"302,500","73,214","459,395","197,969",55.46,17.98,"292,500","210,387","728,002","661,930","35,682",2.54,"2,204",102.02
3,삼성바이오로직스,"1,045,000",하락,"12,000",-1.14%,"2,500","31,861","33,303","1,047,000","743,768","13,201",58.13,"324,342","1,054,000","1,048,000","173,363",18.53,10.45,"1,059,000","2,021","64,316","10,833",13.07,6.49,"1,037,000",863,"71,174","45,473","17,977",6.59,0,23.08
4,LG에너지솔루션,"315,500",하락,"6,000",-1.87%,500,"137,816","43,515","314,500","738,270","5,754",-63.43,"390,914","321,000","315,000","603,068",-73.40,-4.93,"321,000","19,040","293,402","3,386",4.19,0.64,"313,500","5,020","234,000","256,196","-4,974",3.49,N/A,-24.08
5,KB금융,"118,700",상승,"1,400",+1.19%,"5,000","495,269","58,653","118,500","452,796","80,453",8.23,"981,697","118,000","118,600","7,578,455",26.00,8.86,"119,200","13,764","6,980,304","50,286",77.88,0.68,"117,500","30,210","381,462","850,764","14,416",0.75,"3,174",9.77
6,현대차,"215,250",상승,"7,250",+3.49%,"5,000","663,970","141,720","215,000","440,741","142,396",4.69,"592,335","208,500","215,500","3,397,984",-5.87,12.43,"216,000","25,222","2,195,225","132,299",36.14,4.25,"208,000","149,615","204,758","1,752,312","45,880",0.51,"12,000",7.73
7,삼성전자우,"52,000",하락,200,-0.38%,100,"592,008","30,737","52,000","424,307",N/A,10.07,"1,428,323","52,100","52,100",N/A,N/A,N/A,"52,200","110,532",N/A,N/A,73.98,N/A,"51,700","105,848","815,975",N/A,"5,162",0.88,N/A,N/A
8,기아,"102,500",상승,"1,700",+1.69%,"5,000","667,492","67,804","102,500","407,614","126,671",4.37,"1,087,429","100,200","102,600","927,559",9.13,19.09,"103,100","9,523","369,156","97,750",39.32,11.28,"99,600","92,724","397,673","1,074,488","23,440",0.72,"6,500",7.66
9,NAVER,"247,000",하락,"6,000",-2.37%,100,"876,791","217,521","247,000","391,339","19,793",21.57,"1,249,355","252,000","247,500","381,679",32.94,7.90,"252,500","69,321","111,670","19,320",45.02,5.23,"244,000","35,220","158,437","107,377","11,452",1.39,"1,130",11.03
10,셀트리온,"175,800",하락,"2,800",-1.57%,"1,000","221,232","38,936","175,800","391,025","4,920",81.35,"371,533","177,400","175,900","210,552",-24.48,2.46,"178,900","6,485","34,752","4,189",21.50,2.04,"174,700","4,922","222,426","35,573","2,161",2.27,735,63.45
11,두산에너빌리티,"59,800",하락,700,-1.16%,"5,000","5,889,255","356,079","59,300","383,056","10,176",-376.10,"7,581,825","60,800","59,400","263,148",-30.65,1.52,"63,000","346,193","146,537","3,947",23.79,1.55,"59,000","137,341","640,561","162,331",-159,5.04,N/A,-7.71
12,한화에어로스페이스,"795,000",하락,"11,000",-1.36%,"5,000","107,895","86,438","793,000","376,005","17,319",16.08,"255,773","808,000","794,000","433,369",191.41,53.94,"819,000","9,535","319,726","25,399",44.46,8.08,"791,000","3,050","47,296","112,401","49,447",9.20,"3,500",42.47
13,신한지주,"71,700",상승,"2,400",+3.46%,"5,000","939,260","66,497","71,700","348,100","64,587",7.87,"1,522,382","69,200","71,800","7,397,643",5.87,8.11,"72,200","14,727","6,809,432","45,582",60.05,0.64,"69,200","27,619","485,495","419,028","9,108",0.62,"2,160",6.26
14,HD현대중공업,"383,000",하락,"5,000",-1.29%,"5,000","65,804","25,409","384,000","340,001","7,052",38.77,"191,657","384,000","384,500","193,909",294.77,11.39,"392,500","6,595","136,865","6,215",10.99,3.40,"381,500","2,753","88,773","144,865","9,880",5.86,"2,090",21.08
15,삼성물산,"181,300",상승,"9,000",+5.22%,100,"760,887","138,765","181,400","308,167","29,834",14.48,"673,078","172,300","181,500","619,904",3.95,6.83,"186,600","3,051","247,319","27,720",27.13,4.33,"172,300","4,564","169,977","421,032","12,523",0.93,"2,600",0.50
16,현대모비스,"311,500",상승,"5,000",+1.63%,"5,000","99,667","31,070","311,500","285,942","30,735",6.86,"186,798","304,500","312,000","665,969",33.90,9.35,"316,000","2,412","204,787","40,602",43.26,6.49,"304,500","17,697","91,795","572,370","45,380",0.60,"6,000",-3.41
17,삼성생명,"141,500",상승,"9,900",+7.52%,500,"630,599","89,514","141,300","283,000","24,998",13.35,"164,677","131,500","141,500","3,122,188",4.23,6.18,"146,800","2,300","2,794,809","22,603",21.74,0.72,"131,500","2,414","200,000","337,860","10,600",0.86,"4,500",9.21
18,하나금융지주,"95,500",상승,"2,300",+2.47%,"5,000","593,289","56,139","95,400","271,911","48,552",7.21,"1,204,820","93,300","95,500","6,378,475",3.45,9.11,"95,900","27,097","5,942,706","37,685",67.76,0.61,"93,200","22,334","284,724","816,143","13,252",0.61,"3,600",17.10
19,POSCO홀딩스,"322,500",상승,"1,500",+0.47%,"5,000","228,903","73,025","322,000","261,009","21,736",31.35,"638,710","323,000","322,500","1,034,042",-38.45,2.00,"323,000","7,472","419,538","9,476",30.16,0.93,"314,500","18,205","80,933","726,881","10,286",0.44,"10,000",-5.76
20,HMM,"25,300",하락,150,-0.59%,"5,000","987,890","24,962","25,350","259,335","35,128",4.99,"3,099,390","25,500","25,400","338,486",500.72,15.35,"25,600","178,059","59,930","37,821",7.02,12.70,"25,000","110,003","1,025,039","117,002","5,073",0.80,600,39.27
21,카카오,"57,400",하락,"2,600",-4.33%,100,"2,529,258","146,077","57,300","253,716","4,602",165.90,"2,465,478","59,500","57,400","257,730",-0.14,0.56,"59,600","192,008","118,301","-1,619",27.68,-0.64,"56,500","76,580","442,014","78,717",346,2.43,68,4.16
22,삼성화재,"521,000",상승,"48,000",+10.15%,500,"100,062","51,205","519,000","239,718","26,496",13.30,"109,234","476,000","520,000","872,695",12.40,13.11,"526,000","1,640","716,673","20,768",55.95,2.41,"476,000","3,406","46,011","226,570","39,171",1.43,"19,000",8.80
23,SK스퀘어,"178,000",상승,"4,000",+2.30%,100,"197,096","35,258","178,400","235,923","39,126",4.80,"3,230,160","175,100","178,500","219,211",267.23,21.70,"181,300",960,"23,356","36,505",53.15,18.30,"175,100","4,580","132,541","61,385","37,069",1.14,0,169.41
24,한국전력,"36,550",하락,450,-1.22%,"5,000","1,949,278","70,835","36,500","234,638","83,647",4.46,"2,499,008","36,500","36,550","2,468,078",284.18,9.22,"36,800","55,598","2,054,450","36,220",19.30,1.49,"35,800","128,791","641,964","933,989","8,191",0.56,213,5.87
25,한화오션,"76,300",하락,"1,200",-1.55%,"5,000","753,620","57,924","76,100","233,793","2,379",33.75,"1,242,558","76,800","76,200","178,438",221.06,11.52,"78,500","55,596","129,805","5,282",12.09,3.32,"75,800","15,977","306,413","107,760","2,261",4.59,N/A,45.46
26,HD한국조선해양,"323,000",상승,"2,000",+0.62%,"5,000","99,879","32,224","323,000","228,597","14,341",15.46,"276,642","317,000","323,500","367,191",408.07,11.16,"327,000","3,365","225,633","14,546",32.79,4.22,"317,000","5,176","70,773","255,386","20,895",2.01,"5,100",19.92
27,메리츠금융지주,"120,000",상승,"1,700",+1.44%,500,"159,716","19,111","119,800","216,017","31,889",9.82,"241,375","118,000","119,900","1,155,782",8.71,23.44,"120,100","6,888","1,046,482","23,334",15.87,2.14,"117,900","12,618","180,014","465,745","12,216",2.19,"1,350",-20.47
28,현대로템,"190,100",상승,"5,300",+2.87%,"5,000","727,184","138,660","189,900","207,479","4,566",40.76,"1,160,036","187,000","190,000","52,854",117.36,21.85,"193,200","4,282","32,763","4,053",31.08,7.70,"187,000","4,197","109,142","43,766","4,664",9.49,200,22.00
29,우리금융지주,"26,650",상승,800,+3.09%,"5,000","1,660,593","43,690","26,550","197,901","42,552",6.87,"2,567,076","25,900","26,600","5,257,533",21.61,9.39,"26,650","93,110","4,898,581","31,715",46.72,0.62,"25,800","146,327","742,592","466,167","3,877",0.59,"1,200",11.03
30,LG화학,"274,500",상승,"2,500",+0.92%,"5,000","125,627","34,343","272,500","193,776","9,168",-22.98,"359,580","272,500","273,000","938,578",-63.75,-2.11,"277,500","6,200","458,623","5,150",31.13,0.60,"269,500","11,598","70,592","489,161","-11,946",0.65,"1,000",-11.46
31,SK이노베이션,"115,900",하락,200,-0.17%,"5,000","123,161","14,310","115,700","175,049","3,155",-5.73,"502,833","116,500","115,800","1,105,301",-83.43,-9.65,"117,100","8,807","708,812","-23,725",13.71,-2.48,"115,500","4,953","151,035","747,170","-20,236",0.72,"2,000",-3.33
32,KT&G,"141,300",상승,"4,900",+3.59%,"5,000","246,182","34,948","141,600","172,474","11,888",15.91,"257,589","137,600","141,700","139,252",1.84,12.66,"144,000","2,333","45,668","11,650",43.21,8.73,"137,500","1,123","122,062","59,088","8,881",1.68,"5,400",0.79
33,기업은행,"21,600",상승,600,+2.86%,"5,000","1,256,084","27,020","21,550","172,244","35,941",6.45,"1,575,768","21,400","21,600","4,722,198",4.71,8.06,"21,800","193,085","4,379,887","26,543",14.14,0.58,"21,200","128,997","797,426","324,300","3,351",0.51,"1,065",13.30
34,고려아연,"847,000",하락,"7,000",-0.82%,"5,000","6,802","5,747","845,000","169,597","7,235",71.18,"10,727","847,000","846,000","147,923",9.63,2.28,"856,000",484,"71,969","1,948",12.27,1.45,"837,000",496,"20,023","120,529","11,900",2.08,"17,500",24.20
35,크래프톤,"345,500",하락,"8,000",-2.26%,100,"67,787","23,491","345,500","163,735","11,825",12.48,"105,967","352,000","346,000","79,195",53.96,21.10,"352,500","7,689","10,903","13,026",43.29,18.14,"343,500","4,007","47,391","27,098","27,686",2.18,0,41.83
36,SK,"225,500",상승,"6,000",+2.73%,200,"177,680","40,270","226,000","163,494","23,553",18.36,"329,185","220,000","226,500","2,149,778",-50.46,-5.64,"231,000","8,896","1,346,902","5,288",24.30,0.25,"219,500","25,313","72,503","1,246,904","12,281",0.46,"7,000",-3.19
37,HD현대일렉트릭,"444,500",상승,"2,000",+0.45%,"5,000","115,160","51,206","443,500","160,230","6,690",28.53,"209,099","435,000","444,500","37,955",112.23,39.34,"454,500","2,392","22,880","4,984",34.79,14.87,"434,500","1,670","36,047","33,223","15,581",10.64,"5,350",22.92
38,삼성중공업,"17,290",하락,250,-1.43%,"1,000","2,408,777","41,688","17,250","152,152","5,027",104.16,"4,543,162","17,250","17,260","171,946",115.43,1.77,"17,510","95,334","134,452",539,31.80,0.33,"17,090","24,770","880,000","99,031",166,3.83,N/A,23.64
39,카카오뱅크,"30,750",하락,600,-1.91%,"5,000","895,494","27,430","30,800","146,674","6,069",31.44,"4,474,171","30,850","30,850","628,053",26.83,6.95,"31,050","24,648","562,652","4,401",16.70,0.75,"30,150","38,157","476,989","29,456",978,2.25,360,18.11
40,KT,"57,900",하락,200,-0.34%,"5,000","237,275","13,739","57,900","145,921","8,095",23.06,"425,135","57,800","58,000","418,800",-50.93,2.85,"58,400","32,368","238,834","4,171",49.00,0.99,"57,500","38,289","252,022","264,312","2,511",0.86,"2,000",0.21
41,삼성SDI,"180,300",상승,900,+0.50%,"5,000","278,020","49,730","180,500","145,296","3,633",123.41,"1,066,739","180,200","180,600","405,973",-76.49,3.13,"180,800","4,518","190,301","5,755",28.07,1.54,"176,700","9,386","80,586","165,922","1,461",0.63,973,-22.60
42,삼성에스디에스,"183,900",하락,100,-0.05%,500,"267,157","49,240","183,900","142,298","9,111",18.78,"683,189","180,800","184,000","132,383",12.73,8.42,"187,200","2,463","35,329","7,895",18.52,6.18,"178,700",768,"77,378","138,282","9,791",1.52,"2,900",4.15
43,LG,"82,700",상승,200,+0.24%,"5,000","175,313","14,574","82,600","130,047","9,668",16.37,"199,411","81,700","82,700","316,393",-39.16,2.16,"84,400","4,083","35,066","7,905",34.84,2.55,"81,600","3,223","157,251","71,755","5,053",0.46,"3,100",-3.62
44,LIG넥스원,"587,000",상승,"17,000",+2.98%,"5,000","88,810","52,452","586,000","129,140","2,298",52.63,"166,692","576,000","587,000","61,253",23.29,19.59,"599,000","2,125","48,878","2,166",31.90,4.36,"575,000","3,473","22,000","32,763","11,153",10.30,"2,400",41.92
45,LG전자,"77,300",상승,"2,000",+2.66%,"5,000","1,605,682","126,175","77,200","126,500","34,197",20.21,"332,192","75,800","77,300","656,296",-6.40,1.81,"80,900","32,505","404,179","5,914",29.53,0.94,"75,700","45,879","163,648","877,282","3,825",0.63,"1,000",6.64
46,미래에셋증권,"21,900",하락,50,-0.23%,"5,000","1,708,437","36,947","21,950","124,899","11,881",16.06,"2,661,436","21,550","22,000","1,371,770",128.02,7.94,"22,000","65,128","1,249,133","9,255",12.28,0.69,"21,350","82,814","570,316","222,342","1,364",1.05,250,9.22
47,SK텔레콤,"56,700",상승,"1,000",+1.80%,100,"453,471","25,583","56,700","121,786","18,234",9.65,"786,726","55,600","56,800","305,153",4.00,10.83,"56,900","38,051","186,876","13,871",39.73,4.58,"55,600","70,745","214,790","179,406","5,874",1.02,"3,540",1.89
48,하이브,"272,000",상승,"1,000",+0.37%,500,"96,213","26,085","272,000","113,294","1,840",216.56,"319,274","271,000","272,500","54,792",-37.75,0.31,"273,000","15,693","19,654",-34,20.15,-0.06,"267,500","15,558","41,652","22,556","1,256",3.45,200,3.56
49,현대글로비스,"148,700",상승,"7,400",+5.24%,500,"169,752","25,005","148,200","111,525","17,529",9.39,"124,023","140,600","148,300","168,491",12.80,13.24,"149,500","1,023","80,398","10,995",49.71,6.96,"140,600","3,868","75,000","284,074","15,834",1.25,"3,700",10.61
50,삼양식품,"1,456,000",하락,"14,000",-0.95%,"5,000","20,546","30,348","1,457,000","109,681","3,446",36.01,"49,741","1,464,000","1,458,000","15,948",133.58,39.37,"1,496,000",770,"7,667","2,713",20.39,19.62,"1,455,000",274,"7,533","17,280","40,436",12.02,"3,300",44.86
51,HD현대,"138,200",상승,"2,000",+1.47%,"1,000","179,262","24,810","139,000","109,168","29,832",20.79,"183,786","134,700","139,100","738,667",46.84,6.36,"140,200",727,"474,816","19,302",23.36,2.72,"134,200","10,808","78,993","677,656","6,647",1.06,"3,600",10.49
52,포스코퓨처엠,"137,600",하락,"1,400",-1.01%,500,"267,914","36,861","137,000","106,589",7,-49.25,"980,908","142,000","137,100","79,325",-97.99,-7.98,"142,200","2,095","46,120","-2,313",10.21,-3.24,"135,300","2,119","77,463","36,999","-2,794",3.54,0,-22.27
53,DB손해보험,"147,100",상승,"8,300",+5.98%,500,"209,923","30,364","147,100","104,147","24,249",6.12,"335,449","138,600","147,200","665,061",8.50,18.98,"147,600",596,"571,149","18,532",45.54,2.93,"138,600","1,200","70,800","218,350","24,043",1.10,"6,800",10.49
54,삼성전기,"136,800",하락,300,-0.22%,"5,000","120,292","16,436","136,600","102,181","7,350",16.86,"322,790","136,700","136,700","127,924",11.27,8.16,"137,300","11,980","37,765","7,032",32.95,5.75,"136,100","7,104","74,694","102,941","8,115",1.17,"1,800",15.76
55,한화시스템,"53,100",하락,"1,100",-2.03%,"5,000","582,238","31,224","52,900","100,316","2,193",22.78,"874,792","54,300","53,000","57,240",78.95,19.63,"55,100","64,712","33,076","4,454",7.61,8.73,"52,500","23,889","188,919","28,037","2,331",2.96,350,14.32
56,대한항공,"26,250",상승,"1,400",+5.63%,"5,000","5,949,261","155,513","26,150","96,658","21,102",7.36,"2,990,016","24,650","26,200","470,121",17.88,13.17,"26,750","181,310","360,489","13,819",16.62,3.57,"24,600","275,952","368,221","178,707","3,567",0.92,750,10.92
57,카카오페이,"71,100",하락,"8,500",-10.68%,500,"2,477,474","181,503","71,300","95,769",-575,"-2,293.55","2,391,994","77,800","71,400","44,147",-1.59,-0.73,"77,800","69,300","25,039",-215,37.00,-0.51,"70,700","25,983","134,697","7,662",-31,5.11,0,24.52
58,두산,"563,000",상승,"4,000",+0.72%,"5,000","82,611","46,667","561,000","93,029","10,038",-58.10,"281,679","560,000","562,000","301,431",-30.11,-14.57,"577,000","3,303","182,536","3,022",14.62,1.03,"556,000","1,554","16,524","181,329","-9,690",6.71,"2,000",-5.21
59,효성중공업,"991,000",상승,"13,000",+1.33%,"5,000","35,137","34,472","988,000","92,406","3,625",30.48,"42,974","969,000","989,000","62,188",40.59,14.90,"995,000",625,"41,632","2,229",22.65,4.06,"959,000","1,187","9,325","48,950","32,509",4.70,"5,000",13.82
60,포스코인터내셔널,"52,200",상승,700,+1.36%,"5,000","197,475","10,196","51,600","91,832","11,169",17.07,"361,821","51,500","51,700","173,363",-3.97,8.14,"52,200","23,396","99,869","5,034",6.25,2.97,"51,200","41,180","175,923","323,408","3,058",1.38,"1,550",-2.39
61,한국금융지주,"159,900",상승,"1,900",+1.20%,"5,000","160,104","25,264","159,700","89,106","11,997",8.51,"344,803","157,300","159,800","1,092,202",46.24,11.54,"160,100","1,079","994,857","10,459",36.81,1.02,"155,800","2,163","55,726","211,741","18,792",0.94,"3,980",1.34
62,유한양행,"111,100",하락,600,-0.54%,"1,000","163,813","18,248","110,800","88,845",549,135.32,"352,209","112,300","110,900","29,420",-3.77,3.41,"113,300","17,129","7,914",552,18.00,1.92,"110,500","6,618","79,968","20,678",821,4.02,500,11.23
63,TIGER 미국S&P500,"21,375",하락,55,-0.26%,0,"2,570,641","54,885","21,365","85,639",N/A,N/A,"4,627,005","21,365","21,370",N/A,N/A,N/A,"21,380","505,313",N/A,N/A,0.11,N/A,"21,310","392,264","400,650",N/A,N/A,N/A,N/A,N/A
64,한미반도체,"89,600",하락,"5,800",-6.08%,100,"810,681","73,575","89,700","85,400","2,554",63.01,"640,699","93,800","89,800","7,109",638.74,27.43,"94,200","91,867","1,700","1,526",7.41,21.27,"89,200","12,222","95,312","5,589","1,422",16.27,720,251.50
65,KODEX CD금리액티브(합성),"1,074,405",상승,75,+0.01%,0,"148,066","159,082","1,074,400","84,976",N/A,N/A,"172,763","1,074,405","1,074,405",N/A,N/A,N/A,"1,074,405","379,217",N/A,N/A,0.00,N/A,"1,074,400","402,609","7,909",N/A,N/A,N/A,N/A,N/A
66,한국항공우주,"85,300",하락,600,-0.70%,"5,000","227,986","19,539","85,100","83,146","2,407",50.24,"598,215","85,600","85,200","80,255",-2.74,10.42,"87,000","24,503","62,984","1,709",33.59,2.25,"85,000","8,816","97,475","36,337","1,698",4.93,500,-4.86
67,한진칼,"123,800",상승,"1,200",+0.98%,"2,500","34,345","4,231","123,500","82,652",492,18.15,"136,514","121,200","123,600","42,072",14.82,16.75,"124,100","1,100","8,940","5,122",20.72,12.82,"121,100","1,727","66,762","2,922","6,822",2.56,360,5.96
68,HD현대마린솔루션,"184,200",하락,"4,400",-2.33%,500,"61,315","11,360","183,900","82,575","2,717",32.96,"117,451","187,500","184,000","11,522",34.87,44.98,"190,700","1,754","3,787","2,279",29.83,25.20,"183,300",285,"44,829","17,455","5,588",11.54,"3,150",22.02
69,아모레퍼시픽,"140,300",상승,"7,500",+5.65%,500,"530,348","73,258","139,300","82,065","2,205",15.49,"382,631","134,300","139,400","67,835",103.83,11.69,"141,200","2,972","14,575","6,016",23.37,9.50,"133,800","17,651","58,493","38,851","9,057",1.83,"1,125",5.75
70,LS ELECTRIC,"263,000",하락,"2,500",-0.94%,"5,000","80,089","21,133","262,000","78,900","3,897",34.28,"192,218","265,500","262,500","44,852",19.96,13.44,"268,000","8,797","25,951","2,422",23.30,5.90,"261,500","3,339","30,000","45,518","7,673",4.26,"2,900",7.60
71,현대건설,"70,100",하락,"2,000",-2.77%,"5,000","652,557","46,112","70,300","78,060","-12,634",-38.69,"1,046,519","71,300","70,400","270,054",-260.86,-2.09,"71,600","63,357","173,360","-7,662",24.85,-3.02,"70,000","21,190","111,356","326,703","-1,812",0.97,600,10.18
72,SK바이오팜,"96,400",하락,"1,900",-1.93%,500,"117,806","11,362","96,300","75,494",963,30.05,"228,098","98,300","96,400","10,368",356.75,58.01,"99,000","6,953","4,628","2,270",11.10,25.79,"95,400","3,238","78,313","5,476","3,208",13.30,N/A,54.30
73,NH투자증권,"23,000",상승,350,+1.55%,"5,000","593,565","13,516","22,950","74,540","9,011",11.90,"1,007,812","22,650","23,000","624,271",24.16,8.73,"23,000","37,901","543,077","6,866",15.84,1.15,"22,500","76,699","324,086","100,343","1,932",0.99,950,-3.25
74,코웨이,"103,400",상승,900,+0.88%,500,"140,887","14,516","103,500","74,354","7,954",13.18,"209,661","103,500","103,600","57,616",8.77,19.38,"104,000","1,106","25,654","5,655",61.07,10.66,"101,000","1,628","71,909","43,101","7,843",2.36,"2,630",8.66
75,LG씨엔에스,"75,300",하락,"6,500",-7.95%,500,"1,041,571","80,166","75,500","72,955","5,129",16.38,"1,755,449","80,100","75,600","45,045",10.52,18.32,"80,400","39,707","23,817","3,649",3.62,8.54,"75,100","9,861","96,886","59,826","4,597",2.78,"1,672",6.73
76,S-Oil,"63,200",하락,300,-0.47%,"2,500","82,638","5,221","63,200","71,152","4,222",-18.25,"229,585","63,200","63,300","244,514",-68.83,-2.18,"63,700","13,090","157,558","-1,930",73.94,-0.84,"63,000","12,661","112,583","366,370","-3,463",0.85,125,2.55
77,삼성증권,"79,300",상승,"2,000",+2.59%,"5,000","345,891","27,232","79,300","70,815","12,058",7.92,"428,840","77,000","79,400","622,739",62.69,12.89,"79,800","8,803","549,497","8,990",28.18,1.51,"77,000","44,931","89,300","134,666","10,015",0.97,"3,500",2.26
78,HD현대미포,"175,900",하락,"3,200",-1.79%,"5,000","141,009","24,962","175,700","70,258",885,46.02,"439,225","176,400","175,800","51,089",157.89,5.25,"180,300","3,449","30,024","1,132",22.42,2.26,"175,000",909,"39,942","46,300","3,822",3.39,710,14.63
79,한화,"93,200",상승,"1,100",+1.19%,"5,000","239,563","22,171","92,700","69,862","24,161",8.91,"395,756","91,700","92,800","2,520,370",0.17,7.19,"93,800","3,899","2,124,752","16,904",15.79,0.73,"91,500","7,799","74,959","556,468","10,464",0.83,800,4.73
80,삼성카드,"59,500",상승,"2,900",+5.12%,"5,000","109,392","6,434","59,500","68,936","8,854",10.27,"92,772","56,200","59,600","294,941",9.31,8.00,"59,700","1,577","210,079","6,646",6.28,2.28,"56,200","8,026","115,859","43,832","5,793",0.76,"2,800",9.47
81,KODEX 200,"43,320",상승,295,+0.69%,0,"4,520,263","195,375","43,310","68,467",N/A,N/A,"13,469,702","42,985","43,315",N/A,N/A,N/A,"43,440","401,383",N/A,N/A,33.48,N/A,"42,930","318,015","158,050",N/A,N/A,N/A,N/A,N/A
82,에이피알,"173,500",상승,"7,200",+4.33%,100,"409,354","71,336","173,200","66,006","1,227",49.36,"704,785","175,300","173,300","5,651",17.77,41.34,"178,000","2,957","2,416","1,076",23.93,25.24,"169,800",771,"38,044","7,228","3,515",18.50,0,37.98
83,LG유플러스,"14,980",하락,10,-0.07%,"5,000","647,887","9,724","14,990","65,404","8,631",15.99,"1,256,720","14,990","15,000","197,077",-13.52,4.40,"15,090","20,622","109,394","3,146",37.79,1.58,"14,960","18,234","436,611","146,252",937,0.75,650,1.76
84,KODEX 머니마켓액티브,"103,300",상승,5,0.00%,0,"305,142","31,519","103,295","64,409",N/A,N/A,"394,844","103,300","103,300",N/A,N/A,N/A,"103,300","1,194,923",N/A,N/A,0.00,N/A,"103,295","1,070,568","62,351",N/A,N/A,N/A,N/A,N/A
85,키움증권,"238,000",보합,0,0.00%,"5,000","117,422","27,778","238,500","61,097","10,982",8.16,"176,244","236,500","239,000","556,884",94.50,15.98,"240,500","3,551","500,565","8,349",25.27,1.55,"233,500","5,440","25,671","112,803","29,164",1.12,"7,500",18.18
86,한화솔루션,"34,850",하락,550,-1.55%,"5,000","1,564,568","55,046","34,650","59,905","-3,002",-6.14,"8,904,015","36,200","34,700","300,368",-151.83,-15.99,"36,200","83,190","194,300","-13,690",13.70,-4.99,"34,550","22,406","171,893","123,940","-5,673",0.65,300,-5.23
87,LS,"185,200",상승,"2,800",+1.54%,"5,000","89,723","16,702","185,100","59,634","10,729",21.00,"184,527","182,000","185,200","205,279",19.26,5.09,"189,600","1,162","136,468","3,915",14.41,2.02,"181,700",903,"32,200","275,447","8,821",1.04,"1,650",12.52
88,한국타이어앤테크놀로지,"46,850",상승,"2,550",+5.76%,500,"320,571","14,709","46,800","58,035","17,623",5.38,"481,643","44,050","46,850","158,497",32.71,10.79,"46,900","3,375","46,549","11,311",35.51,7.91,"44,050","15,505","123,875","94,119","8,704",0.51,"2,000",5.28
89,현대차2우B,"164,600",상승,"3,700",+2.30%,"5,000","153,018","25,041","164,500","57,551",N/A,3.59,"99,072","161,000","164,700",N/A,N/A,N/A,"165,300",952,N/A,N/A,59.74,N/A,"160,900","9,576","34,964",N/A,"45,880",0.39,N/A,N/A
