N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
1,알테오젠,"387,000",보합,0,0.00%,500,"43,420","16,823","390,000","206,909",254,165.60,"273,679","390,000","390,500","4,090",360.91,29.52,"391,000","2,725","1,349",607,14.57,18.25,"384,500","10,313","53,465","1,029","2,337",56.45,0,6.56
2,에코프로비엠,"94,000",상승,"3,100",+3.41%,500,"218,554","20,499","93,800","91,933",-341,-99.05,"431,652","91,300","93,900","43,237",-121.86,-6.26,"95,700","1,188","23,466",-585,11.72,-1.35,"89,800","7,943","97,801","27,668",-949,5.43,N/A,-59.91
3,HLB,"52,500",하락,700,-1.32%,500,"142,038","7,479","53,200","68,998","-1,185",-36.53,"2,038,522","52,300","53,300","8,874",5.21,-16.33,"53,400","5,752","2,353","-1,080",20.30,-13.22,"51,700","11,511","131,425",681,"-1,437",13.40,0,58.80
4,에코프로,"41,800",상승,500,+1.21%,100,"188,778","7,897","41,800","56,754","-2,930",-32.35,"515,442","41,400","41,850","81,383",-198.28,-12.57,"42,350","4,203","42,998","-2,954",20.90,-3.76,"41,000","12,665","135,776","31,279","-1,292",3.56,100,-56.92
5,레인보우로보틱스,"286,000",상승,"13,000",+4.76%,500,"184,159","52,305","284,000","55,484",-30,"6,975.61","142,451","273,000","284,500","1,399",93.32,1.62,"289,500","2,896",71,21,7.27,1.57,"273,000","13,368","19,400",193,41,42.26,N/A,26.80
6,파마리서치,"464,500",상승,"12,500",+2.77%,500,"27,113","12,539","465,000","48,817","1,261",46.17,"192,303","458,000","465,500","8,557",36.63,18.93,"468,000",603,"2,863",889,16.31,12.79,"456,000","2,644","10,510","3,501","10,061",9.48,"1,100",34.14
7,휴젤,"374,500",상승,"2,500",+0.67%,500,"5,199","1,946","377,500","46,079","1,662",32.52,"42,068","372,500","378,500","9,394",41.13,17.51,"378,500",378,986,"1,431",55.55,15.32,"371,000",552,"12,304","3,730","11,517",4.80,0,16.69
8,펩트론,"196,800",하락,"2,900",-1.45%,500,"50,206","9,914","197,300","45,849",-165,-199.39,"408,989","202,000","197,700","1,689",-4.05,-23.46,"202,000","1,690",172,-220,6.40,-19.91,"194,700",330,"23,297",32,-987,30.88,N/A,-5.68
9,클래시스,"62,200",상승,300,+0.48%,100,"87,652","5,497","62,600","40,745","1,224",39.64,"359,101","61,900","62,700","6,084",36.62,26.54,"63,600","5,278","1,557",975,71.84,19.83,"61,300","6,141","65,506","2,429","1,569",8.70,257,34.87
10,리가켐바이오,"107,400",상승,300,+0.28%,500,"33,968","3,634","107,500","39,320",-209,157.94,"262,340","108,000","107,600","7,384",74.12,2.04,"108,000",935,"1,224",78,10.91,1.68,"105,800","1,271","36,610","1,259",680,6.67,N/A,268.71
11,삼천당제약,"166,800",상승,"5,600",+3.47%,500,"77,332","12,892","168,300","39,127",26,-337.65,"86,561","162,800","168,400","5,198",-72.36,-4.49,"169,100","1,903","1,704",-51,2.25,-1.10,"161,600","3,120","23,457","2,109",-494,14.80,200,9.48
12,리노공업,"50,400",하락,200,-0.40%,100,"54,416","2,733","50,400","38,411","1,242",31.48,"442,132","50,400","50,500","6,574",8.59,19.21,"50,800","8,032",348,"1,133",34.80,18.27,"49,800","9,054","76,212","2,782","1,601",6.31,600,8.85
13,코오롱티슈진,"46,150",상승,50,+0.11%,0,"440,514","20,515","47,450","37,659",-220,-101.65,"4,030,482","45,250","47,700","2,223",-7.28,-25.91,"47,900","4,930",764,-338,3.81,-18.92,"44,550","1,424","81,601",51,-454,20.48,0,36.90
14,실리콘투,"57,600",상승,"2,000",+3.60%,500,"891,525","51,851","58,800","35,235","1,376",26.22,"784,471","56,900","58,900","4,578",187.76,60.90,"59,200","19,949","1,962","1,207",7.28,35.88,"56,500","31,475","61,172","6,915","2,197",11.54,N/A,101.69
15,에이비엘바이오,"71,000",보합,0,0.00%,500,"117,607","8,375","71,100","34,455",-594,-51.79,"467,298","72,700","71,200","2,320","-2,168.82",-46.01,"72,700","7,376",647,-555,14.70,-28.32,"70,200","4,254","48,528",334,"-1,371",26.96,N/A,-49.04
