종목명,현재가,기준월,배당금,수익률(%),배당성향(%),ROE(%),PER(배),PBR(배),과거3년배당금_Max,1년전,2년전,3년전
한샘,45650,24.09,8530,18.69,93.69,43.59,7.40,2.25,800,4500,800,1550
레드캡투어,11750,25.03,2150,18.30,177.53,9.64,7.26,0.67,450,450,450,400
신한글로벌액티브리츠,1471,25.02,253,17.20,0115.10,05.52,014.91,0.65,24,10,24,0
이지스밸류플러스리츠,4840,25.06,785,16.22,0430.66,00.52,0108.14,0.59,412,412,351,293
제이알글로벌리츠,2575,24.12,390,15.15,186.25,2.48,26.31,0.67,385,385,373,366
NH프라임리츠,4585,24.11,658,14.35,137.10,6.38,11.26,0.72,531,531,225,248
크레버스,14000,25.04,1500,10.71,167.06,17.99,21.71,3.06,2000,2000,1800,2000
미래에셋맵스리츠,2725,24.11,284,10.42,215.00,1.60,42.27,0.64,284,284,279,268
미래에셋글로벌리츠,2685,25.03,274,10.20,427.71,0.79,78.10,0.62,40,262,286,40
이크레더블,16150,24.12,1590,9.85,148.28,27.34,12.07,3.18,780,780,1040,2720
NH올원리츠,3550,24.12,340,9.58,0830.66,00.56,0135.96,0.80,316,288,316,106
KB스타리츠,3875,25.01,368,9.50,96.26,4.54,17.19,0.85,376,376,165,0
코람코라이프인프라리츠,4450,24.11,416,9.35,164.56,4.96,16.20,0.83,475,366,350,475
HB인베스트먼트,2145,24.12,200,9.32,89.81,8.28,6.99,0.49,0,0,0,0
정다운,2740,24.12,250,9.12,68.61,9.33,7.31,0.65,300,300,100,100
한국철강,9080,24.12,800,8.81,112.95,2.82,15.14,0.28,400,400,300,250
정상제이엘에스,6220,24.12,530,8.52,94.60,9.05,12.55,1.08,530,530,530,530
도이치모터스,4560,24.12,380,8.33,0224.96,01.22,028.41,0.33,370,370,360,350
디앤디플랫폼리츠,3145,25.03,260,8.28,273.86,1.20,59.36,0.72,290,270,290,224
이리츠코크렙,4415,24.12,362,8.20,221.83,2.19,51.71,1.16,405,404,405,383
