N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
1,삼성전자,"59,800",상승,700,+1.18%,100,"19,364,569","1,162,819","59,700","3,539,943","327,260",11.58,"23,266,027","60,400","59,800","5,145,319",398.34,9.03,"60,400","1,043,512","1,123,399","344,514",49.72,7.10,"59,500","1,744,294","5,919,638","3,008,709","5,162",1.01,"1,446",16.20
2,SK하이닉스,"229,000",상승,"4,500",+2.00%,"5,000","3,010,447","693,802","228,500","1,667,125","234,673",6.42,"5,768,506","233,000","229,000","1,198,552",403.58,31.06,"233,500","125,496","459,395","197,969",54.94,17.98,"228,000","318,170","728,002","661,930","35,682",1.94,"2,204",102.02
3,삼성바이오로직스,"1,033,000",상승,"14,000",+1.37%,"2,500","72,218","74,164","1,032,000","735,227","13,201",57.46,"90,871","1,023,000","1,033,000","173,363",18.53,10.45,"1,036,000","3,989","64,316","10,833",12.87,6.49,"1,016,000","5,987","71,174","45,473","17,977",6.52,0,23.08
4,LG에너지솔루션,"285,000",하락,"6,000",-2.06%,500,"297,462","84,936","285,000","666,900","5,754",-57.30,"207,656","291,500","285,500","603,068",-73.40,-4.93,"291,500","29,396","293,402","3,386",4.04,0.64,"280,500","7,663","234,000","256,196","-4,974",3.15,N/A,-24.08
5,KB금융,"110,700",상승,"4,400",+4.14%,"5,000","2,084,938","227,945","110,700","422,279","80,453",7.68,"2,359,607","106,100","110,800","7,578,455",26.00,8.86,"110,700","118,324","6,980,304","50,286",78.04,0.68,"105,700","45,100","381,462","850,764","14,416",0.70,"3,174",9.77
6,한화에어로스페이스,"880,000",하락,"25,000",-2.76%,"5,000","283,483","248,307","879,000","416,207","17,319",17.80,"512,018","891,000","880,000","433,369",191.41,53.94,"895,000","10,791","319,726","25,399",45.65,8.08,"862,000","10,707","47,296","112,401","49,447",10.18,"3,500",42.47
7,현대차,"197,800",상승,"8,200",+4.32%,"5,000","1,564,140","307,906","197,800","405,011","142,396",4.31,"797,915","192,900","197,900","3,397,984",-5.87,12.43,"198,400","38,180","2,195,225","132,299",35.48,4.25,"192,300","57,311","204,758","1,752,312","45,880",0.47,"12,000",7.73
8,삼성전자우,"49,000",상승,500,+1.03%,100,"1,787,885","88,537","49,000","399,828",N/A,9.49,"1,798,936","50,200","49,050",N/A,N/A,N/A,"50,400","65,631",N/A,N/A,73.74,N/A,"48,950","63,950","815,975",N/A,"5,162",0.83,N/A,N/A
9,기아,"95,300",상승,"2,200",+2.36%,"5,000","1,419,120","135,231","95,200","378,982","126,671",4.07,"1,416,289","94,400","95,300","927,559",9.13,19.09,"96,200","59,098","369,156","97,750",38.57,11.28,"93,800","80,204","397,673","1,074,488","23,440",0.67,"6,500",7.66
10,HD현대중공업,"418,000",하락,"7,000",-1.65%,"5,000","289,254","120,632","418,000","371,072","7,052",42.31,"397,155","419,500","418,500","193,909",294.77,11.39,"429,500","10,409","136,865","6,215",10.61,3.40,"409,500","9,425","88,773","144,865","9,880",6.39,"2,090",21.08
