종목명,현재가,기준월,배당금,수익률(%),배당성향(%),ROE(%),PER(배),PBR(배),과거3년배당금_Max,1년전,2년전,3년전
한샘,45050,24.03,8530,18.93,93.69,43.59,7.40,2.25,800,4500,800,1550
이지스밸류플러스리츠,4495,25.06,785,17.46,0430.66,00.52,0108.14,0.59,412,412,351,293
레드캡투어,12490,25.03,2150,17.21,177.53,9.64,7.26,0.67,450,450,450,400
신한글로벌액티브리츠,1580,25.02,253,16.01,0115.10,05.52,014.91,0.65,24,10,24,0
NH프라임리츠,4490,24.11,658,14.65,137.10,6.38,11.26,0.72,531,531,225,248
제이알글로벌리츠,2760,24.12,390,14.13,186.25,2.48,26.31,0.67,385,385,373,366
크레버스,14250,25.04,1500,10.53,167.06,17.99,21.71,3.06,2000,2000,1800,2000
미래에셋맵스리츠,2735,24.11,284,10.38,215.00,1.60,42.27,0.64,284,284,279,268
이크레더블,15840,24.12,1590,10.04,148.28,27.34,12.07,3.18,780,780,1040,2720
미래에셋글로벌리츠,2780,25.03,274,9.86,0,0,0,0,40,262,286,40
코람코라이프인프라리츠,4395,24.11,416,9.47,164.56,4.96,16.20,0.83,475,366,350,475
KB스타리츠,3935,25.01,368,9.35,96.26,4.54,17.19,0.85,376,376,165,0
HB인베스트먼트,2140,24.12,200,9.35,89.81,8.28,6.99,0.49,0,0,0,0
정다운,2730,24.12,250,9.16,68.61,9.33,7.31,0.65,300,300,100,100
NH올원리츠,3715,24.12,340,9.15,0830.66,00.56,0135.96,0.80,316,288,316,106
마스턴프리미어리츠,1470,24.09,127,8.66,79.60,1.26,40.75,0.55,299,299,109,0
정상제이엘에스,6150,24.12,530,8.62,94.60,9.05,12.55,1.08,530,530,530,530
현대해상,25100,24.03,2063,8.22,28.16,7.38,4.82,0.40,1965,1965,1480,1000
한국철강,9760,24.12,800,8.20,112.95,2.82,15.14,0.28,400,400,300,250
도이치모터스,4735,24.12,380,8.02,0224.96,01.22,028.41,0.33,370,370,360,350
디앤디플랫폼리츠,3290,25.03,260,7.91,0,0,0,0,290,270,290,224
이리츠코크렙,4600,24.12,362,7.87,221.83,2.19,51.71,1.16,405,404,405,383
현대차3우B,153900,25.02,12050,7.83,25.13,12.43,4.60,0.51,7050,11450,7050,5050
현대차2우B,155500,25.02,12100,7.78,25.13,12.43,4.60,0.51,7100,11500,7100,5100
현대차우,154900,25.02,12050,7.78,25.13,12.43,4.60,0.51,7050,11450,7050,5050
