N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
1,삼성전자,"60,000",상승,800,+1.35%,100,"2,208,776","132,091","59,700","3,551,783","327,260",11.62,"15,305,760","59,500","59,800","5,145,319",398.34,9.03,"60,100","958,124","1,123,399","344,514",49.77,7.10,"59,500","527,728","5,919,638","3,008,709","5,162",1.02,"1,446",16.20
2,SK하이닉스,"239,000",상승,"8,500",+3.69%,"5,000","893,353","211,978","235,500","1,739,926","234,673",6.70,"3,718,655","236,000","236,000","1,198,552",403.58,31.06,"239,500","92,064","459,395","197,969",55.01,17.98,"235,000","194,218","728,002","661,930","35,682",2.03,"2,204",102.02
3,삼성바이오로직스,"1,043,000",상승,"3,000",+0.29%,"2,500","4,844","5,039","1,038,000","742,345","13,201",58.02,"74,543","1,038,000","1,043,000","173,363",18.53,10.45,"1,044,000",598,"64,316","10,833",12.90,6.49,"1,037,000","1,332","71,174","45,473","17,977",6.58,0,23.08
4,LG에너지솔루션,"293,000",상승,"4,500",+1.56%,500,"68,460","20,118","293,000","685,620","5,754",-58.91,"213,404","291,000","293,500","603,068",-73.40,-4.93,"296,000","4,565","293,402","3,386",4.04,0.64,"291,000","18,496","234,000","256,196","-4,974",3.24,N/A,-24.08
5,한화에어로스페이스,"913,000",하락,"23,000",-2.46%,"5,000","107,206","98,539","928,000","431,814","17,319",18.46,"337,596","936,000","931,000","433,369",191.41,53.94,"942,000","3,555","319,726","25,399",45.73,8.08,"906,000","1,289","47,296","112,401","49,447",10.56,"3,500",42.47
6,KB금융,"108,600",하락,"2,300",-2.07%,"5,000","205,480","22,338","109,500","414,268","80,453",7.53,"2,263,281","110,600","109,600","7,578,455",26.00,8.86,"110,600","4,308","6,980,304","50,286",78.14,0.68,"107,000","5,565","381,462","850,764","14,416",0.69,"3,174",9.77
7,현대차,"200,000",상승,"3,000",+1.52%,"5,000","98,973","19,800","200,000","409,516","142,396",4.36,"998,951","199,100","200,500","3,397,984",-5.87,12.43,"201,000","1,276","2,195,225","132,299",35.78,4.25,"199,100","30,627","204,758","1,752,312","45,880",0.47,"12,000",7.73
8,삼성전자우,"49,350",상승,350,+0.71%,100,"183,299","9,028","49,200","402,683",N/A,9.56,"1,219,086","49,300","49,300",N/A,N/A,N/A,"49,400","11,825",N/A,N/A,73.78,N/A,"49,050","26,753","815,975",N/A,"5,162",0.84,N/A,N/A
9,기아,"96,050",상승,"1,550",+1.64%,"5,000","158,162","15,166","95,700","381,965","126,671",4.10,"1,077,370","95,100","95,900","927,559",9.13,19.09,"96,500","3,951","369,156","97,750",38.63,11.28,"95,100","26,922","397,673","1,074,488","23,440",0.67,"6,500",7.66
10,HD현대중공업,"419,500",하락,"7,500",-1.76%,"5,000","56,180","23,540","422,000","372,403","7,052",42.46,"332,695","428,000","422,500","193,909",294.77,11.39,"428,000",974,"136,865","6,215",10.76,3.40,"416,000",445,"88,773","144,865","9,880",6.41,"2,090",21.08
11,셀트리온,"162,000",하락,200,-0.12%,"1,000","60,327","9,730","161,800","360,330","4,920",74.97,"352,701","161,800","161,900","210,552",-24.48,2.46,"162,200","1,941","34,752","4,189",21.43,2.04,"160,400","5,105","222,426","35,573","2,161",2.09,735,63.45
12,두산에너빌리티,"50,800",상승,"2,800",+5.83%,"5,000","4,664,749","230,514","47,750","325,405","10,176",-319.50,"12,176,419","47,950","47,700","263,148",-30.65,1.52,"51,200","100,752","146,537","3,947",26.27,1.55,"47,450","94,540","640,561","162,331",-159,4.28,N/A,-7.71
13,NAVER,"201,000",상승,"1,000",+0.50%,100,"86,904","17,389","200,500","318,458","19,793",17.55,"911,907","200,500","201,000","381,679",32.94,7.90,"201,500","4,726","111,670","19,320",48.48,5.23,"198,900","26,005","158,437","107,377","11,452",1.13,"1,130",11.03
14,신한지주,"59,600",하락,"1,300",-2.13%,"5,000","156,780","9,349","60,300","295,522","64,587",6.54,"1,887,065","60,400","60,400","7,397,643",5.87,8.11,"60,600","19,384","6,809,432","45,582",58.78,0.64,"58,700","9,573","495,842","419,028","9,108",0.52,"2,160",6.26
15,삼성물산,"167,000",상승,700,+0.42%,100,"57,459","9,527","167,000","283,861","29,834",13.34,"689,562","166,400","167,500","619,904",3.95,6.83,"168,000","3,109","247,319","27,720",26.97,4.33,"163,900","1,544","169,977","421,032","12,523",0.86,"2,600",0.50
16,현대모비스,"284,000",상승,"9,000",+3.27%,"5,000","116,842","33,241","282,500","264,106","30,735",6.26,"254,661","280,000","283,000","665,969",33.90,9.35,"290,000","2,809","204,787","40,602",41.95,6.49,"279,000","21,004","92,995","572,370","45,380",0.55,"6,000",-3.41
17,삼성생명,"121,100",상승,"4,900",+4.22%,500,"79,944","9,491","117,700","242,200","24,998",11.42,"922,709","117,100","118,100","3,122,188",4.23,6.18,"121,250","1,235","2,794,809","22,603",21.90,0.72,"116,600","2,111","200,000","337,860","10,600",0.74,"4,500",9.21
18,한화오션,"79,000",상승,100,+0.13%,"5,000","1,041,609","82,945","80,500","242,067","2,379",34.94,"4,552,742","81,400","80,800","178,438",221.06,11.52,"81,400","62,207","129,805","5,282",12.95,3.32,"78,300","16,691","306,413","107,760","2,261",4.76,N/A,45.46
19,HD한국조선해양,"339,500",상승,"4,000",+1.19%,"5,000","40,468","13,614","337,000","240,275","14,341",16.25,"345,143","339,000","337,500","367,191",408.07,11.16,"340,000","2,169","225,633","14,546",32.65,4.22,"332,500","2,089","70,773","255,386","20,895",2.11,"5,100",19.92
20,HMM,"22,150",하락,200,-0.89%,"5,000","260,949","5,790","22,450","227,046","35,128",4.37,"2,285,665","22,450","22,500","338,486",500.72,15.35,"22,500","63,166","59,930","37,821",7.61,12.70,"22,000","43,005","1,025,039","117,002","5,073",0.70,600,39.27
21,카카오,"50,800",상승,800,+1.60%,100,"986,590","49,339","49,600","224,389","4,602",146.82,"8,896,042","49,100","49,650","257,730",-0.14,0.56,"50,900","9,126","118,301","-1,619",28.83,-0.64,"49,100","53,205","441,711","78,717",346,2.15,68,4.16
22,하나금융지주,"76,900",하락,"1,400",-1.79%,"5,000","181,671","13,946","77,300","218,953","48,552",5.80,"1,680,784","77,400","77,300","6,378,475",3.45,9.11,"78,300","6,230","5,942,706","37,685",67.56,0.61,"75,800","5,357","284,724","816,143","13,252",0.49,"3,600",17.10
23,POSCO홀딩스,"267,500",상승,"5,500",+2.10%,"5,000","65,756","17,671","268,500","216,496","21,736",26.01,"454,259","266,000","269,000","1,034,042",-38.45,2.00,"271,500","4,646","419,538","9,476",29.23,0.93,"266,000","4,531","80,933","726,881","10,286",0.36,"10,000",-5.76
24,메리츠금융지주,"112,200",하락,400,-0.36%,500,"26,049","2,912","112,300","201,976","31,889",9.18,"309,157","111,700","112,500","1,155,782",8.71,23.44,"112,600","1,553","1,046,482","23,334",15.85,2.14,"111,300","1,768","180,014","465,745","12,216",1.99,"1,350",-20.47
25,삼성화재,"438,000",상승,"4,000",+0.92%,500,"6,405","2,779","432,500","201,529","26,496",11.18,"199,749","429,500","435,000","872,695",12.40,13.11,"438,500",953,"716,673","20,768",55.74,2.41,"429,500",429,"46,011","226,570","39,171",1.21,"19,000",8.80
26,현대로템,"171,700",상승,"3,400",+2.02%,"5,000","451,997","78,645","176,600","187,397","4,566",36.81,"1,884,303","176,800","176,900","52,854",117.36,21.85,"178,000","11,389","32,763","4,053",32.54,7.70,"171,100","4,568","109,142","43,766","4,664",8.58,200,22.00
27,한국전력,"28,200",상승,750,+2.73%,"5,000","849,117","23,716","27,950","181,034","83,647",3.44,"11,795,810","27,950","28,000","2,468,078",284.18,9.22,"28,250","71,723","2,054,450","36,220",19.31,1.49,"27,600","164,819","641,964","933,989","8,191",0.43,213,5.87
28,크래프톤,"376,000",상승,500,+0.13%,100,"15,043","5,619","375,000","178,181","11,825",13.58,"138,832","375,500","375,500","79,195",53.96,21.10,"378,000","2,288","10,903","13,026",42.85,18.14,"370,500","1,893","47,389","27,098","27,686",2.37,0,41.83
29,SK스퀘어,"133,500",상승,"4,300",+3.33%,100,"89,394","11,746","129,300","176,942","39,126",3.60,"541,808","129,200","129,900","219,211",267.23,21.70,"133,900","1,602","23,356","36,505",52.24,18.30,"128,600","1,426","132,541","61,385","37,069",0.86,0,169.41
30,고려아연,"772,000",상승,"7,000",+0.92%,"5,000","1,081",829,"766,000","159,829","7,235",64.87,"17,839","761,000","768,000","147,923",9.63,2.28,"774,000",246,"71,969","1,948",12.05,1.45,"761,000",165,"20,703","120,529","11,900",1.90,"17,500",24.20
31,HD현대일렉트릭,"426,000",하락,"3,500",-0.81%,"5,000","22,408","9,549","427,000","153,561","6,690",27.34,"522,673","428,000","427,500","37,955",112.23,39.34,"428,000","1,192","22,880","4,984",34.00,14.87,"424,000","1,322","36,047","33,223","15,581",10.19,"5,350",22.92
32,우리금융지주,"20,600",상승,100,+0.49%,"5,000","246,432","5,031","20,500","152,974","42,552",5.31,"3,775,865","20,450","20,550","5,257,533",21.61,9.39,"20,600","49,092","4,898,581","31,715",45.86,0.62,"20,250","27,226","742,592","466,167","3,877",0.45,"1,200",11.03
33,삼성중공업,"17,040",하락,210,-1.22%,"1,000","2,115,465","36,126","17,210","149,952","5,027",102.65,"10,908,337","17,520","17,220","171,946",115.43,1.77,"17,520","65,393","134,452",539,31.83,0.33,"16,890","14,016","880,000","99,031",166,3.78,N/A,23.64
34,KT&G,"121,700",하락,300,-0.25%,"5,000","12,661","1,539","121,000","148,550","11,888",13.70,"317,841","120,800","121,700","139,252",1.84,12.66,"122,200",847,"45,668","11,650",43.42,8.73,"120,800","2,598","122,062","59,088","8,881",1.45,"5,400",0.79
35,LG화학,"210,000",상승,"3,500",+1.69%,"5,000","57,951","12,235","212,000","148,244","9,168",-17.58,"407,152","210,000","212,500","938,578",-63.75,-2.11,"214,000","5,491","458,623","5,150",30.13,0.60,"208,000","8,924","70,592","489,161","-11,946",0.49,"1,000",-11.46
36,SK이노베이션,"94,500",상승,200,+0.21%,"5,000","48,068","4,544","95,300","142,728","3,155",-4.67,"350,643","94,500","95,400","1,105,301",-83.43,-9.65,"95,500","1,501","708,812","-23,725",13.49,-2.48,"93,600","2,508","151,035","747,170","-20,236",0.59,"2,000",-3.33
37,SK,"193,700",상승,"6,000",+3.20%,200,"69,306","13,268","191,500","140,438","23,553",15.77,"564,565","191,400","191,600","2,149,778",-50.46,-5.64,"194,100","1,316","1,346,902","5,288",23.54,0.25,"190,100",855,"72,503","1,246,904","12,281",0.40,"7,000",-3.19
38,카카오뱅크,"28,350",보합,0,0.00%,"5,000","233,453","6,533","27,950","135,226","6,069",28.99,"4,148,965","27,750","28,050","628,053",26.83,6.95,"28,350","25,267","562,652","4,401",17.34,0.75,"27,650","34,247","476,989","29,456",978,2.07,360,18.11
39,기업은행,"16,760",하락,10,-0.06%,"5,000","94,989","1,590","16,800","133,649","35,941",5.00,"1,445,766","16,770","16,840","4,722,198",4.71,8.06,"16,850","4,384","4,379,887","26,543",14.08,0.58,"16,670","1,730","797,426","324,300","3,351",0.39,"1,065",13.30
40,하이브,"309,000",보합,0,0.00%,500,"53,623","16,554","309,000","128,705","1,840",246.02,"329,855","313,500","309,500","54,792",-37.75,0.31,"313,500","1,374","19,654",-34,18.25,-0.06,"305,000","3,260","41,652","22,556","1,256",3.91,200,3.56
41,KT,"50,900",보합,0,0.00%,"5,000","20,444","1,041","50,900","128,279","8,095",20.27,"436,500","50,900","51,000","418,800",-50.93,2.85,"51,100","31,040","238,834","4,171",49.00,0.99,"50,800","14,272","252,022","264,312","2,511",0.75,"2,000",0.21
42,LG전자,"74,300",상승,600,+0.81%,"5,000","66,198","4,902","73,800","121,590","34,197",19.42,"640,483","74,000","74,000","656,296",-6.40,1.81,"74,600","12,569","404,179","5,914",29.65,0.94,"73,400","12,225","163,648","877,282","3,825",0.61,"1,000",6.64
