종목명,현재가,기준월,배당금,수익률(%),배당성향(%),ROE(%),PER(배),PBR(배),과거3년배당금_Max,1년전,2년전,3년전
한샘,44750,24.03,8530,19.06,93.69,43.59,7.40,2.25,800,4500,800,1550
레드캡투어,12130,25.03,2150,17.73,177.53,9.64,7.26,0.67,450,450,450,400
신한글로벌액티브리츠,1547,25.02,253,16.35,0115.10,05.52,014.91,0.65,24,10,24,0
이지스밸류플러스리츠,4870,25.06,785,16.12,0430.66,00.52,0108.14,0.59,412,412,351,293
NH프라임리츠,4510,24.11,658,14.59,137.10,6.38,11.26,0.72,531,531,225,248
제이알글로벌리츠,2700,24.12,390,14.44,186.25,2.48,26.31,0.67,385,385,373,366
미래에셋맵스리츠,2690,24.11,284,10.56,215.00,1.60,42.27,0.64,284,284,279,268
미래에셋글로벌리츠,2625,25.03,274,10.44,0,0,0,0,40,262,286,40
크레버스,14420,25.04,1500,10.40,167.06,17.99,21.71,3.06,2000,2000,1800,2000
KB스타리츠,3790,25.01,368,9.71,96.26,4.54,17.19,0.85,376,376,165,0
코람코라이프인프라리츠,4290,24.11,416,9.70,164.56,4.96,16.20,0.83,475,366,350,475
이크레더블,16450,24.12,1590,9.67,148.28,27.34,12.07,3.18,780,780,1040,2720
HB인베스트먼트,2115,24.12,200,9.46,89.81,8.28,6.99,0.49,0,0,0,0
NH올원리츠,3615,24.12,340,9.40,0830.66,00.56,0135.96,0.80,316,288,316,106
정다운,2710,24.12,250,9.23,68.61,9.33,7.31,0.65,300,300,100,100
마스턴프리미어리츠,1460,24.09,127,8.72,79.60,1.26,40.75,0.55,299,299,109,0
정상제이엘에스,6130,24.12,530,8.65,94.60,9.05,12.55,1.08,530,530,530,530
도이치모터스,4610,24.12,380,8.24,0224.96,01.22,028.41,0.33,370,370,360,350
이리츠코크렙,4485,24.12,362,8.07,221.83,2.19,51.71,1.16,405,404,405,383
디앤디플랫폼리츠,3230,25.03,260,8.06,0,0,0,0,290,270,290,224
한국철강,10030,24.12,800,7.98,112.95,2.82,15.14,0.28,400,400,300,250
현대해상,26200,24.03,2063,7.87,28.16,7.38,4.82,0.40,1965,1965,1480,1000
오상자이엘,3835,24.12,300,7.82,89.07,6.36,10.03,0.61,0,0,0,0
영보화학,4490,24.12,350,7.80,30.26,13.01,3.16,0.38,50,50,50,100
트윔,7750,24.09,600,7.74,122.17,2.48,31.66,0.74,0,0,0,0
동국씨엠,6480,25.03,500,7.72,23.40,6.45,2.79,0.17,100,100,0,0
현대차3우B,156400,25.02,12050,7.70,25.13,12.43,4.60,0.51,7050,11450,7050,5050
현대차우,156900,25.02,12050,7.68,25.13,12.43,4.60,0.51,7050,11450,7050,5050
와이솔,6520,25.03,500,7.67,125.30,3.12,12.99,0.39,250,250,250,250
현대차2우B,158200,25.02,12100,7.65,25.13,12.43,4.60,0.51,7100,11500,7100,5100
광주신세계,29250,25.03,2200,7.52,36.34,5.58,4.97,0.26,2200,2200,2200,1700
케이카,15300,24.12,1150,7.52,126.03,19.09,14.04,2.73,760,760,760,750
조선내화,13340,24.12,1000,7.50,203.40,2.68,31.46,0.83,0,0,0,0
CR홀딩스,5510,24.12,410,7.44,0671.46,00.39,0114.31,0.39,450,410,450,450
코리아에셋투자증권,7490,25.07,550,7.34,44.78,0,0,0,700,500,200,700
블랙야크아이앤씨,3795,25.03,278,7.32,29.99,40.28,0,0.00,13,0,13,0
스카이라이프,4810,24.12,350,7.28,012.18,021.72,01.65,0.41,350,350,350,350
INVENI,55000,25.02,4000,7.27,58.92,6.16,10.41,0.45,8750,8750,2500,2250
바이오인프라,5510,24.12,400,7.26,048.94,012.92,07.80,1.13,600,600,0,0
아이마켓코리아,8280,24.12,600,7.25,70.04,7.66,9.92,0.70,600,600,600,600
메가스터디,11050,24.12,800,7.24,56.66,5.12,7.91,0.38,850,850,1050,600
노바텍,19600,24.12,1409,7.19,80.44,10.80,8.95,0.87,500,500,200,143
유아이엘,3760,24.12,270,7.19,28.64,16.63,3.77,0.56,0,0,0,0
HRS,5580,24.12,400,7.17,42.31,12.74,5.01,0.60,200,200,200,200
HS애드,7750,25.03,550,7.10,39.29,11.77,4.63,0.51,450,450,400,350
신한서부티엔디리츠,3500,24.12,248,7.09,70.82,3.96,18.71,0.74,89,290,316,89
케이탑리츠,962,24.12,68,7.07,62.35,5.07,8.86,0.44,95,95,108,38
이지스레지던스리츠,4235,24.12,297,7.02,59.56,3.30,13.26,0.45,262,262,262,258
세아특수강,14300,24.12,1000,6.99,76.09,3.34,10.24,0.33,1200,1000,1000,1200
한화리츠,3870,25.04,270,6.99,0,0,0,0,270,270,112,0
서울보증보험,41150,25.04,2865,6.96,93.87,4.12,0,0.00,4048,2983,4048,3282
SK네트웍스,4327,25.04,300,6.93,121.68,2.29,19.43,0.39,200,200,120,120
에스에이엠티,2890,24.12,200,6.92,35.89,13.46,4.79,0.59,230,200,230,200
푸른저축은행,9430,24.12,650,6.89,96.74,2.50,16.25,0.32,650,650,650,650
스톰테크,3780,24.12,260,6.88,47.35,0,5.79,0.93,150,150,0,0
SGC에너지,24800,24.12,1700,6.86,37.67,8.80,5.47,0.47,1700,1700,1700,1500
AJ네트웍스,3945,24.12,270,6.84,55.55,5.04,8.96,0.43,270,270,270,270
코람코더원리츠,5140,25.02,350,6.81,119.17,1.59,60.31,0.97,331,331,312,124
KPX케미칼,47850,24.12,3250,6.79,24.07,9.66,3.31,0.30,3000,3000,2750,2750
디지털대성,7460,24.12,500,6.70,86.41,10.45,12.59,1.36,300,200,200,300
강원랜드,17500,25.04,1170,6.69,51.32,12.08,7.48,0.82,930,930,350,0
씨유테크,3480,24.12,231,6.64,30.06,12.45,3.73,0.43,64,16,64,260
유안타증권우,3785,25.03,250,6.61,57.14,4.52,7.65,0.33,230,230,160,230
