N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
431,AP위성,"13,300",상승,10,+0.08%,500,"10,450",139,"13,280","2,006",73,32.52,"93,273","13,290","13,290","1,352",-27.51,10.41,"13,350",135,299,104,0.77,7.46,"13,190","1,252","15,082",586,409,1.79,N/A,18.61
432,포바이포,"17,850",상승,110,+0.62%,500,"55,704",984,"17,740","1,994",-139,-19.72,"830,946","17,740","17,750",590,14.56,-32.55,"17,880","2,679",285,-123,0.52,-19.52,"17,480",257,"11,170",333,-905,7.32,0,-1.41
433,금화피에스시,"33,200",하락,600,-1.78%,500,"3,589",120,"33,800","1,992",362,5.51,"112,335","33,800","33,900","4,618",-16.71,11.59,"33,850",223,"1,009",400,19.83,8.98,"33,150",57,"6,000","3,402","6,021",0.55,"1,400",0.78
434,퀄리타스반도체,"14,210",하락,20,-0.14%,500,"16,701",238,"14,400","1,991",-227,-10.16,"162,137","14,450","14,450",640,-102.87,-48.62,"14,450",484,134,-191,0.09,-36.39,"14,160",332,"14,011",61,"-1,399",4.33,N/A,-43.62
435,노바텍,"18,820",하락,210,-1.10%,500,"12,065",227,"19,270","1,990",126,13.35,"201,954","19,180","19,300","1,834",-50.75,10.80,"19,180",30,125,172,2.12,9.78,"18,740","1,080","10,576",658,"1,410",1.20,850,22.86
436,드림시큐리티,"3,895",상승,30,+0.78%,100,"55,043",214,"3,895","1,971",256,16.57,"435,602","3,890","3,900","5,366",-22.94,11.91,"3,910","1,518","3,889",121,4.40,2.56,"16,200",80,"10,910","5,094","4,392",0.74,"1,409",-28.79
437,이화전기,899,보합,0,0.00%,200,0,0,0,"1,968",17,-40.86,0,0,0,"2,799",-51.38,-5.83,0,0,523,-137,0.88,-4.69,"3,830","1,138","50,606","2,688",235,1.64,N/A,15.51
438,에스텍,"18,010",상승,"2,260",+14.35%,500,"42,798",749,"16,000","1,965",440,4.10,"31,350","16,200","16,180","3,880",79.12,25.76,"18,170",408,"1,845",463,57.70,14.11,0,0,"218,949",645,-22,0.86,0,-1.07
439,파인엠텍,"5,310",보합,0,0.00%,500,"2,375",13,"5,290","1,964",-79,-8.88,"110,472","5,330","5,330","3,333",-138.90,-11.87,"5,330",383,"1,691",-158,2.34,-5.06,"5,230","3,438","36,988","3,822",-598,1.35,N/A,0.56
440,대원산업,"9,790",하락,110,-1.11%,500,"2,051",20,"9,810","1,962",750,2.21,"55,179","9,890","9,900","7,117",58.72,15.16,"9,890",216,"1,993",726,13.07,11.38,"9,780","3,213","20,038","9,315","4,430",0.37,200,19.78
441,그래디언트,"14,340",상승,30,+0.21%,"2,500",663,10,"14,330","1,961",-55,-4.29,"25,697","14,360","14,360","17,380",-289.46,-7.70,"14,480",104,"9,559",-260,3.97,-1.43,"14,330",49,"13,677","33,179","-3,341",0.37,200,-3.10
442,나무가,"13,350",보합,0,0.00%,500,"2,048",27,"13,400","1,960",209,8.32,"22,402","13,400","13,520","2,644",-7.82,16.64,"13,520","1,086",975,261,2.99,11.11,"13,260",547,"14,685","4,504","1,604",1.18,650,23.18
443,이수앱지스,"5,300",상승,40,+0.76%,500,"4,319",23,"5,300","1,960",134,8.51,"302,073","5,290","5,400","1,602",244.86,16.53,"5,300",367,594,147,3.21,8.02,"5,230","7,525","36,988",603,623,2.01,0,10.96
444,덱스터,"7,690",상승,120,+1.59%,500,"27,029",206,"7,560","1,954",-89,-16.16,"95,858","7,560","7,570","1,036","-21,406.94",-22.64,"7,720",5,547,-107,2.88,-11.33,"7,460","4,491","25,412",537,-476,4.88,N/A,-20.72
445,앱트뉴로사이언스,"1,229",보합,0,0.00%,100,"45,972",56,"1,229","1,952",-128,-22.35,"906,245","1,230","1,238","2,064",-94.80,-27.51,"1,238","1,864","1,255",-192,3.81,-12.57,"1,207","4,211","158,791",184,-55,2.16,0,-9.98
446,케이에스피,"4,855",상승,215,+4.63%,500,"163,523",781,"4,750","1,951",138,14.49,"377,089","4,750","4,775","1,055",16.66,25.99,"4,855","2,846",341,153,2.88,16.91,"4,670","1,879","40,191",853,335,2.68,15,4.46
447,아바코,"12,970",하락,160,-1.22%,500,"10,533",137,"13,120","1,934",211,9.56,"112,047","13,090","13,130","3,907",378.73,13.70,"13,090",982,"1,895",264,6.59,7.18,"12,940","1,072","14,913","3,055","1,356",0.96,500,63.51
