종목명,현재가,기준월,배당금,수익률(%),배당성향(%),ROE(%),PER(배),PBR(배),과거3년배당금_Max,1년전,2년전,3년전
한샘,48150,24.09,8530,17.72,93.69,43.59,7.40,2.25,800,4500,800,1550
레드캡투어,12560,25.03,2150,17.12,177.53,9.64,7.26,0.67,450,450,450,400
신한글로벌액티브리츠,1489,25.02,253,16.99,0115.10,05.52,014.91,0.65,24,10,24,0
이지스밸류플러스리츠,4650,25.06,785,16.88,0430.66,00.52,0108.14,0.59,412,412,351,293
제이알글로벌리츠,2605,24.12,390,14.97,186.25,2.48,26.31,0.67,385,385,373,366
NH프라임리츠,4770,24.11,658,13.80,137.10,6.38,11.26,0.72,531,531,225,248
크레버스,14150,25.04,1500,10.60,167.06,17.99,21.71,3.06,2000,2000,1800,2000
NH올원리츠,3285,24.12,340,10.35,0830.66,00.56,0135.96,0.80,316,288,316,106
미래에셋맵스리츠,2765,24.11,284,10.27,215.00,1.60,42.27,0.64,284,284,279,268
미래에셋글로벌리츠,2765,25.03,274,9.91,427.71,0.79,78.10,0.62,40,262,286,40
이크레더블,16700,24.12,1590,9.52,148.28,27.34,12.07,3.18,780,780,1040,2720
코람코라이프인프라리츠,4460,24.11,416,9.33,164.56,4.96,16.20,0.83,475,366,350,475
KB스타리츠,4005,25.01,368,9.19,96.26,4.54,17.19,0.85,376,376,165,0
정다운,2825,24.12,250,8.85,68.61,9.33,7.31,0.65,300,300,100,100
HB인베스트먼트,2285,24.12,200,8.75,89.81,8.28,6.99,0.49,0,0,0,0
한국철강,9650,24.12,800,8.29,112.95,2.82,15.14,0.28,400,400,300,250
디앤디플랫폼리츠,3225,25.03,260,8.07,273.86,1.20,59.36,0.72,290,270,290,224
정상제이엘에스,6590,24.12,530,8.04,94.60,9.05,12.55,1.08,530,530,530,530
이리츠코크렙,4555,24.12,362,7.95,221.83,2.19,51.71,1.16,405,404,405,383
도이치모터스,4850,24.12,380,7.84,0224.96,01.22,028.41,0.33,370,370,360,350
블랙야크아이앤씨,3597,25.03,278,7.73,29.99,40.28,0,0.00,13,0,13,0
오상자이엘,3895,24.12,300,7.70,89.07,6.36,10.03,0.61,0,0,0,0
와이솔,6510,25.03,500,7.68,125.30,3.12,12.99,0.39,250,250,250,250
노바텍,18510,24.12,1409,7.61,80.44,10.80,8.95,0.87,500,500,200,143
영보화학,4600,24.12,350,7.61,30.26,13.01,3.16,0.38,50,50,50,100
현대차우,160200,25.02,12050,7.52,25.13,12.43,4.60,0.51,7050,11450,7050,5050
현대차3우B,160200,25.02,12050,7.52,25.13,12.43,4.60,0.51,7050,11450,7050,5050
동국씨엠,6800,25.03,500,7.35,23.40,6.45,2.79,0.17,100,100,0,0
현대차2우B,164600,25.02,12100,7.35,25.13,12.43,4.60,0.51,7100,11500,7100,5100
CR홀딩스,5590,24.12,410,7.34,0671.46,00.39,0114.31,0.39,450,410,450,450
유아이엘,3695,24.12,270,7.31,28.64,16.63,3.77,0.56,0,0,0,0
트윔,8260,24.09,600,7.26,122.17,2.48,31.66,0.74,0,0,0,0
조선내화,13810,24.12,1000,7.24,203.40,2.68,31.46,0.83,0,0,0,0
이지스레지던스리츠,4117,24.12,297,7.23,59.56,3.30,13.26,0.45,262,262,262,258
마스턴프리미어리츠,1453,25.03,104,7.16,015.23,011.60,03.53,0.45,258,234,258,0
케이탑리츠,961,24.12,68,7.08,62.35,5.07,8.86,0.44,95,95,108,38
아이마켓코리아,8550,24.12,600,7.02,70.04,7.66,9.92,0.70,600,600,600,600
HRS,5710,24.12,400,7.01,42.31,12.74,5.01,0.60,200,200,200,200
코리아에셋투자증권,7910,25.07,550,6.95,45.44,8.12,4.86,0.39,700,500,200,700
메가스터디,11530,24.12,800,6.94,56.66,5.12,7.91,0.38,850,850,1050,600
바이오인프라,5790,24.12,400,6.91,048.94,012.92,07.80,1.13,600,600,0,0
씨유테크,3360,24.12,231,6.88,30.06,12.45,3.73,0.43,64,16,64,260
케이카,16830,24.12,1150,6.83,126.03,19.09,14.04,2.73,760,760,760,750
현대해상,30250,24.03,2063,6.82,28.16,7.38,4.82,0.40,1965,1965,1480,1000
코람코더원리츠,5200,25.02,350,6.73,119.17,1.59,60.31,0.97,331,331,312,124
한화리츠,4065,25.04,270,6.65,224.67,2.06,55.34,0.96,270,270,112,0
스카이라이프,5270,24.12,350,6.64,012.18,021.72,01.65,0.41,350,350,350,350
맥쿼리인프라,11500,24.12,759,6.60,0,0,0,0,770,770,762,741
신한서부티엔디리츠,3790,24.12,248,6.54,70.82,3.96,18.71,0.74,89,290,316,89
삼현철강,4610,24.12,300,6.51,84.11,2.83,12.76,0.35,300,300,300,300
스톰테크,4000,24.12,260,6.50,47.35,0,5.79,0.93,150,150,0,0
세아특수강,15440,24.12,1000,6.48,76.09,3.34,10.24,0.33,1200,1000,1000,1200
HS애드,8580,25.03,550,6.41,39.29,11.77,4.63,0.51,450,450,400,350
