N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
1,알테오젠,"438,000",하락,"1,000",-0.23%,500,"183,419","80,879","437,500","234,177",254,187.42,"352,929","444,500","438,000","4,090",360.91,29.52,"447,000","11,983","1,349",607,15.38,18.25,"435,000","3,339","53,465","1,029","2,337",63.89,0,6.56
2,에코프로비엠,"104,600",하락,600,-0.57%,500,"285,147","29,751","103,900","102,300",-341,-110.22,"659,029","106,900","104,000","43,237",-121.86,-6.26,"106,900","17,266","23,466",-585,12.30,-1.35,"103,200","5,374","97,801","27,668",-949,6.04,N/A,-59.91
3,HLB,"52,100",상승,900,+1.76%,500,"363,359","19,036","52,100","68,475","-1,185",-36.26,"772,774","52,900","52,200","8,874",5.21,-16.33,"53,250","38,501","2,353","-1,080",20.73,-13.22,"51,800","21,918","131,430",681,"-1,437",13.30,0,58.80
4,에코프로,"48,050",상승,850,+1.80%,100,"516,369","24,342","46,700","65,240","-2,930",-37.19,"1,483,975","47,800","46,750","81,383",-198.28,-12.57,"48,550","23,596","42,998","-2,954",21.14,-3.76,"46,400","7,363","135,776","31,279","-1,292",4.10,100,-56.92
5,파마리서치,"562,000",상승,"1,000",+0.18%,500,"36,256","20,611","565,000","58,390","1,261",55.86,"101,558","566,000","566,000","8,557",36.63,18.93,"576,000","1,722","2,863",889,16.91,12.79,"562,000","1,615","10,390","3,501","10,061",11.52,"1,100",34.14
6,레인보우로보틱스,"267,000",하락,"2,000",-0.74%,500,"42,264","11,383","266,500","51,798",-30,"6,512.20","80,458","269,500","267,000","1,399",93.32,1.62,"273,000","14,970",71,21,4.65,1.57,"266,500","4,036","19,400",193,41,39.25,N/A,26.80
7,리가켐바이오,"132,900",하락,"3,800",-2.78%,500,"309,309","41,817","133,400","48,655",-209,195.44,"559,689","138,100","133,700","7,384",74.12,2.04,"138,900","6,344","1,224",78,11.37,1.68,"132,600",762,"36,610","1,259",680,8.26,N/A,268.71
8,펩트론,"189,600",하락,"1,800",-0.94%,500,"79,015","15,052","189,300","44,172",-165,-192.10,"146,255","191,700","189,400","1,689",-4.05,-23.46,"193,500","1,641",172,-220,5.64,-19.91,"187,900",468,"23,297",32,-987,29.67,N/A,-5.68
9,휴젤,"344,000",하락,"3,000",-0.86%,500,"21,377","7,375","344,000","42,326","1,662",29.87,"61,702","348,000","344,500","9,394",41.13,17.51,"350,500","3,735",986,"1,431",56.40,15.32,"342,000",500,"12,304","3,730","11,517",4.41,0,16.69
10,리노공업,"51,400",상승,"1,200",+2.39%,100,"349,553","18,008","51,300","39,173","1,242",32.10,"466,439","50,400","51,400","6,574",8.59,19.21,"52,200","12,378",348,"1,133",34.52,18.27,"50,400","25,166","76,212","2,782","1,601",6.43,600,8.85
11,삼천당제약,"162,100",상승,"1,500",+0.93%,500,"62,673","10,139","161,900","38,025",26,-328.14,"80,286","162,400","162,000","5,198",-72.36,-4.49,"163,300","1,482","1,704",-51,1.64,-1.10,"159,500",989,"23,457","2,109",-494,14.39,200,9.48
12,클래시스,"56,100",하락,"1,200",-2.09%,100,"277,743","15,613","56,200","36,749","1,224",35.76,"181,136","57,500","56,400","6,084",36.62,26.54,"57,700","29,393","1,557",975,71.72,19.83,"55,700","4,182","65,506","2,429","1,569",7.84,257,34.87
13,코오롱티슈진,"41,900",상승,50,+0.12%,0,"98,182","4,114","41,800","34,191",-220,-92.29,"163,922","42,250","41,850","2,223",-7.28,-25.91,"42,400","16,833",764,-338,3.69,-18.92,"41,500","5,574","81,601",51,-454,18.60,0,36.90
14,실리콘투,"54,200",하락,200,-0.37%,500,"469,621","25,628","54,100","33,155","1,376",24.67,"897,594","55,300","54,200","4,578",187.76,60.90,"55,600","27,109","1,962","1,207",9.38,35.88,"53,900","19,930","61,172","6,915","2,197",10.84,N/A,101.69
15,에이비엘바이오,"64,800",하락,"4,000",-5.81%,500,"668,488","43,721","64,600","31,446",-594,-47.26,"656,584","68,600","64,700","2,320","-2,168.82",-46.01,"68,800","20,094",647,-555,12.01,-28.32,"63,300","2,490","48,528",334,"-1,371",24.60,N/A,-49.04
