N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
1,삼성전자,"59,100",하락,700,-1.17%,100,"13,584,870","804,715","59,000","3,498,506","327,260",11.45,"19,609,659","60,000","59,100","5,145,319",398.34,9.03,"60,100","1,403,460","1,123,399","344,514",49.81,7.10,"58,800","840,643","5,919,638","3,008,709","5,162",1.00,"1,446",16.20
2,SK하이닉스,"230,000",상승,"1,000",+0.44%,"5,000","2,892,248","666,707","230,000","1,674,405","234,673",6.45,"3,666,084","231,000","230,500","1,198,552",403.58,31.06,"232,500","114,352","459,395","197,969",55.00,17.98,"227,500","285,734","728,002","661,930","35,682",1.95,"2,204",102.02
3,삼성바이오로직스,"1,038,000",상승,"5,000",+0.48%,"2,500","65,402","67,681","1,036,000","738,786","13,201",57.74,"77,888","1,034,000","1,037,000","173,363",18.53,10.45,"1,041,000","1,915","64,316","10,833",12.89,6.49,"1,023,000","3,619","71,174","45,473","17,977",6.55,0,23.08
4,LG에너지솔루션,"288,000",상승,"3,000",+1.05%,500,"201,354","58,173","287,500","673,920","5,754",-57.90,"297,462","286,500","288,000","603,068",-73.40,-4.93,"292,000","9,798","293,402","3,386",4.03,0.64,"285,000","12,441","234,000","256,196","-4,974",3.18,N/A,-24.08
5,한화에어로스페이스,"935,000",상승,"55,000",+6.25%,"5,000","307,124","284,370","934,000","442,219","17,319",18.91,"284,593","904,000","935,000","433,369",191.41,53.94,"950,000","2,523","319,726","25,399",45.52,8.08,"883,000","4,648","47,296","112,401","49,447",10.82,"3,500",42.47
6,KB금융,"110,200",하락,500,-0.45%,"5,000","1,890,978","211,351","108,600","420,371","80,453",7.64,"2,084,938","110,800","108,700","7,578,455",26.00,8.86,"114,800","12,240","6,980,304","50,286",78.11,0.68,"108,400","14,497","381,462","850,764","14,416",0.70,"3,174",9.77
7,현대차,"196,700",하락,"1,100",-0.56%,"5,000","909,421","179,756","196,700","402,759","142,396",4.29,"1,665,140","201,000","196,600","3,397,984",-5.87,12.43,"201,500","22,338","2,195,225","132,299",35.78,4.25,"195,800","7,795","204,758","1,752,312","45,880",0.46,"12,000",7.73
8,삼성전자우,"48,700",하락,300,-0.61%,100,"942,828","45,879","48,500","397,380",N/A,9.43,"2,135,768","49,500","48,550",N/A,N/A,N/A,"49,750","102,872",N/A,N/A,73.78,N/A,"48,350","38,316","815,975",N/A,"5,162",0.82,N/A,N/A
9,HD현대중공업,"426,000",상승,"8,000",+1.91%,"5,000","319,226","134,059","425,000","378,173","7,052",43.12,"289,254","417,500","425,500","193,909",294.77,11.39,"427,500","2,182","136,865","6,215",10.71,3.40,"411,000","10,113","88,773","144,865","9,880",6.51,"2,090",21.08
10,기아,"94,400",하락,900,-0.94%,"5,000","939,240","89,097","94,300","375,403","126,671",4.03,"1,449,046","96,200","94,400","927,559",9.13,19.09,"96,400","53,462","369,156","97,750",38.62,11.28,"94,100","14,468","397,673","1,074,488","23,440",0.66,"6,500",7.66
11,셀트리온,"161,800",상승,"1,600",+1.00%,"1,000","304,690","48,983","161,400","359,885","4,920",74.87,"381,749","160,500","161,500","210,552",-24.48,2.46,"161,900","7,916","34,752","4,189",21.37,2.04,"158,100","13,911","222,426","35,573","2,161",2.09,735,63.45
12,NAVER,"199,500",상승,"1,000",+0.50%,100,"855,322","170,785","199,400","316,082","19,793",17.42,"1,407,038","204,000","199,500","381,679",32.94,7.90,"204,000","6,813","111,670","19,320",48.50,5.23,"196,800","27,770","158,437","107,377","11,452",1.13,"1,130",11.03
13,두산에너빌리티,"47,950",상승,450,+0.95%,"5,000","11,926,715","566,324","47,750","307,149","10,176",-301.57,"12,678,443","47,550","47,800","263,148",-30.65,1.52,"48,500","88,889","146,537","3,947",26.41,1.55,"45,800","295,231","640,561","162,331",-159,4.04,N/A,-7.71
14,신한지주,"60,600",상승,200,+0.33%,"5,000","1,547,736","94,077","59,800","300,480","64,587",6.65,"2,179,222","60,300","59,900","7,397,643",5.87,8.11,"61,700","14,856","6,809,432","45,582",58.71,0.64,"59,800","35,360","495,842","419,028","9,108",0.53,"2,160",6.26
15,삼성물산,"166,300",하락,800,-0.48%,100,"646,337","107,948","166,200","282,671","29,834",13.28,"1,042,179","167,300","166,300","619,904",3.95,6.83,"170,800","4,841","247,319","27,720",26.97,4.33,"163,000","3,192","169,977","421,032","12,523",0.85,"2,600",0.50
16,현대모비스,"274,500",하락,"5,000",-1.79%,"5,000","232,001","64,438","274,500","255,272","30,735",6.05,"537,125","281,500","275,000","665,969",33.90,9.35,"282,500","10,869","204,787","40,602",41.98,6.49,"274,000","8,291","92,995","572,370","45,380",0.53,"6,000",-3.41
17,한화오션,"78,700",상승,"3,100",+4.10%,"5,000","4,435,196","345,286","78,300","241,147","2,379",34.81,"2,388,406","76,200","78,400","178,438",221.06,11.52,"79,700","56,819","129,805","5,282",12.50,3.32,"75,800","92,009","306,413","107,760","2,261",4.74,N/A,45.46
18,HD한국조선해양,"335,000",상승,"13,500",+4.20%,"5,000","323,914","108,003","334,000","237,090","14,341",16.03,"313,087","318,500","334,500","367,191",408.07,11.16,"339,500","4,178","225,633","14,546",32.58,4.22,"318,500","7,145","70,773","255,386","20,895",2.08,"5,100",19.92
19,삼성생명,"116,200",하락,"5,600",-4.60%,500,"610,370","71,904","115,300","232,400","24,998",11.03,"877,963","122,000","115,400","3,122,188",4.23,6.18,"124,000","3,343","2,794,809","22,603",21.92,0.72,"114,000","2,437","200,000","337,860","10,534",0.68,"4,500",9.21
20,HMM,"22,300",상승,150,+0.68%,"5,000","2,131,707","47,536","22,250","228,584","35,128",4.40,"2,557,621","22,150","22,300","338,486",500.72,15.35,"22,700","102,494","59,930","37,821",7.62,12.70,"21,700","134,888","1,025,039","117,002","5,073",0.70,600,39.27
21,하나금융지주,"78,200",상승,600,+0.77%,"5,000","1,358,781","107,020","77,200","222,654","48,552",6.08,"1,670,019","78,100","77,300","6,378,475",3.45,9.11,"80,800","16,254","5,942,706","37,685",67.46,0.61,"77,000","18,301","284,724","816,143","12,872",0.52,"3,600",17.10
22,카카오,"49,850",하락,"1,550",-3.02%,100,"8,686,694","438,426","49,800","220,193","4,602",144.08,"12,784,767","53,300","49,850","257,730",-0.14,0.56,"53,300","47,705","118,301","-1,619",29.19,-0.64,"49,000","76,903","441,711","78,717",346,2.11,68,4.16
23,POSCO홀딩스,"262,000",상승,"4,000",+1.55%,"5,000","343,039","90,183","260,000","212,044","21,736",25.47,"451,792","261,000","260,500","1,034,042",-38.45,2.00,"266,500","13,648","419,538","9,476",29.20,0.93,"259,000","13,655","80,933","726,881","10,286",0.36,"10,000",-5.76
24,메리츠금융지주,"112,400",하락,"1,200",-1.06%,500,"290,507","32,645","112,200","202,336","31,889",9.45,"449,840","112,900","112,300","1,155,782",8.71,23.44,"113,300","12,579","1,046,482","23,334",15.87,2.14,"111,500","9,681","180,014","465,745","11,897",2.00,"1,350",-20.47
25,삼성화재,"432,000",하락,"12,500",-2.81%,500,"125,172","54,314","431,500","198,768","26,496",10.53,"267,876","440,000","432,000","872,695",12.40,13.11,"446,000","1,264","716,673","20,768",55.70,2.41,"429,500","1,691","46,011","226,570","41,007",1.18,"19,000",8.80
26,현대로템,"167,900",상승,"14,500",+9.45%,"5,000","1,839,283","303,482","167,900","183,250","4,566",36.00,"1,073,051","159,500","168,000","52,854",117.36,21.85,"169,300","6,721","32,763","4,053",32.25,7.70,"158,000","11,256","109,142","43,766","4,664",8.39,200,22.00
27,크래프톤,"374,500",상승,"1,000",+0.27%,100,"126,637","47,051","374,000","177,471","11,825",13.53,"107,584","371,500","374,500","79,195",53.96,21.10,"375,000","2,409","10,903","13,026",42.79,18.14,"365,000","7,764","47,389","27,098","27,686",2.36,0,41.83
28,한국전력,"27,450",하락,"3,100",-10.15%,"5,000","11,426,761","322,856","27,200","176,219","83,647",3.35,"5,069,114","31,000","27,250","2,468,078",284.18,9.22,"31,000","215,750","2,054,450","36,220",19.35,1.49,"26,700","128,973","641,964","933,989","8,191",0.42,213,5.87
29,SK스퀘어,"129,200",상승,600,+0.47%,100,"399,228","51,252","128,800","171,243","39,126",3.49,"865,086","127,400","128,900","219,211",267.23,21.70,"131,500","2,487","23,356","36,505",52.19,18.30,"125,700","2,911","132,541","61,385","37,069",0.83,0,169.41
30,고려아연,"764,000",하락,"6,000",-0.78%,"5,000","15,814","12,066","762,000","158,173","7,235",64.20,"22,599","763,000","763,000","147,923",9.63,2.28,"770,000",860,"71,969","1,948",12.04,1.45,"755,000",519,"20,703","120,529","11,900",1.88,"17,500",24.20
