종목명,현재가,기준월,배당금,수익률(%),배당성향(%),ROE(%),PER(배),PBR(배),과거3년배당금_Max,1년전,2년전,3년전
한샘,45300,24.03,8530,18.83,93.69,43.59,7.40,2.25,800,4500,800,1550
레드캡투어,11710,25.03,2150,18.36,177.53,9.64,7.26,0.67,450,450,450,400
신한글로벌액티브리츠,1460,25.02,253,17.33,0115.10,05.52,014.91,0.65,24,10,24,0
이지스밸류플러스리츠,4815,25.06,785,16.30,0430.66,00.52,0108.14,0.59,412,412,351,293
제이알글로벌리츠,2605,24.12,390,14.97,186.25,2.48,26.31,0.67,385,385,373,366
NH프라임리츠,4570,24.11,658,14.40,137.10,6.38,11.26,0.72,531,531,225,248
크레버스,14100,25.04,1500,10.64,167.06,17.99,21.71,3.06,2000,2000,1800,2000
미래에셋맵스리츠,2710,24.11,284,10.48,215.00,1.60,42.27,0.64,284,284,279,268
미래에셋글로벌리츠,2675,25.03,274,10.24,427.71,0.79,78.10,0.62,40,262,286,40
이크레더블,15820,24.12,1590,10.05,148.28,27.34,12.07,3.18,780,780,1040,2720
NH올원리츠,3550,24.12,340,9.58,0830.66,00.56,0135.96,0.80,316,288,316,106
KB스타리츠,3850,25.01,368,9.56,96.26,4.54,17.19,0.85,376,376,165,0
코람코라이프인프라리츠,4425,24.11,416,9.41,164.56,4.96,16.20,0.83,475,366,350,475
HB인베스트먼트,2130,24.12,200,9.39,89.81,8.28,6.99,0.49,0,0,0,0
정다운,2705,24.12,250,9.24,68.61,9.33,7.31,0.65,300,300,100,100
한국철강,9070,24.12,800,8.82,112.95,2.82,15.14,0.28,400,400,300,250
정상제이엘에스,6200,24.12,530,8.55,94.60,9.05,12.55,1.08,530,530,530,530
도이치모터스,4510,24.12,380,8.43,0224.96,01.22,028.41,0.33,370,370,360,350
디앤디플랫폼리츠,3140,25.03,260,8.29,273.86,1.20,59.36,0.72,290,270,290,224
이리츠코크렙,4425,24.12,362,8.18,221.83,2.19,51.71,1.16,405,404,405,383
오상자이엘,3670,24.12,300,8.17,89.07,6.36,10.03,0.61,0,0,0,0
노바텍,17750,24.12,1409,7.94,80.44,10.80,8.95,0.87,500,500,200,143
동국씨엠,6300,25.03,500,7.94,23.40,6.45,2.79,0.17,100,100,0,0
영보화학,4420,24.12,350,7.92,30.26,13.01,3.16,0.38,50,50,50,100
와이솔,6420,25.03,500,7.79,125.30,3.12,12.99,0.39,250,250,250,250
현대해상,26650,24.03,2063,7.74,28.16,7.38,4.82,0.40,1965,1965,1480,1000
현대차우,155800,25.02,12050,7.73,25.13,12.43,4.60,0.51,7050,11450,7050,5050
현대차3우B,155800,25.02,12050,7.73,25.13,12.43,4.60,0.51,7050,11450,7050,5050
현대차2우B,158600,25.02,12100,7.63,25.13,12.43,4.60,0.51,7100,11500,7100,5100
