N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,액면가,전일거래량,시가,매도호가,자산총계,영업이익증가율,액면가,고가,매수총잔량,부채총계,당기순이익,외국인비율,액면가,저가,매도총잔량,상장주식수,매출액,주당순이익,액면가,보통주배당금
22,보로노이,"102,400",하락,300,-0.29%,500,"118,572","12,000","102,400","18,830",-179,-46.29,500,"111,038","102,100","102,500",640,-65.09,500,"103,000","1,857",297,-199,4.05,500,"100,000","2,317","18,388",98,"-2,212",500,0
23,파크시스템스,"268,500",상승,"11,000",+4.27%,500,"31,317","8,393","268,500","18,768",385,34.07,500,"23,897","259,000","269,000","2,743",39.80,500,"270,500","5,584",864,428,32.72,500,"257,000","1,844","6,990","1,751","7,881",500,500
24,이오테크닉스,"150,600",상승,"2,800",+1.89%,500,"165,091","25,337","150,600","18,553",312,39.79,500,"96,470","148,000","150,700","6,530",0.84,500,"157,500",764,500,427,21.07,500,"146,400",273,"12,320","3,209","3,785",500,500
25,케어젠,"33,500",하락,"1,200",-3.46%,100,"78,056","2,656","33,500","17,995",342,57.66,100,"182,555","34,400","33,550","2,407",-15.18,100,"34,950","5,019",177,323,4.97,100,"33,350",894,"53,715",826,581,100,640
26,네이처셀,"26,700",하락,150,-0.56%,500,"474,731","12,817","26,700","17,204",6,"-8,900.00",500,"365,869","26,850","26,750",720,105.82,500,"27,900","12,508",74,12,7.30,500,"26,250","18,547","64,435",323,-3,500,0
27,씨젠,"32,400",하락,450,-1.37%,500,"270,353","8,750","32,400","16,921",-165,158.82,500,"270,834","33,000","32,450","12,053",45.17,500,"33,000","28,921","2,238",-203,15.52,500,"32,050","16,829","52,226","4,143",204,500,800
28,신성델타테크,"60,800",하락,200,-0.33%,500,"104,624","6,389","60,700","16,710",272,"-1,321.74",500,"298,114","61,100","60,800","7,741",-9.01,500,"62,000","7,147","4,568",74,8.09,500,"60,100","3,909","27,484","9,097",-46,500,120
29,와이지엔터테인먼트,"87,400",상승,"1,400",+1.63%,500,"173,632","15,153","87,300","16,336",-206,69.98,500,"231,628","86,600","87,400","7,343",-123.65,500,"88,000","10,540","1,311",200,14.93,500,"86,500","18,274","18,691","3,649","1,249",500,250
30,에스티팜,"77,200",하락,"1,000",-1.28%,500,"76,309","5,939","77,100","15,558",277,51.85,500,"117,125","78,600","77,200","7,219",-17.36,500,"79,100","5,616","2,189",325,5.87,500,"77,100","3,223","20,153","2,738","1,489",500,500
31,브이티,"43,250",하락,850,-1.93%,500,"815,934","35,464","43,250","15,483","1,109",14.84,500,"542,292","44,500","43,300","3,596",143.48,500,"45,550","12,100","1,189","1,040",10.47,500,"41,950","7,512","35,798","4,317","2,914",500,N/A
