N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
1,알테오젠,"387,000",하락,"3,000",-0.77%,500,"61,492","23,789","386,500","206,909",254,165.60,"325,047","389,000","387,500","4,090",360.91,29.52,"390,500","12,933","1,349",607,14.62,18.25,"384,000","3,599","53,465","1,029","2,337",56.45,0,6.56
2,에코프로비엠,"106,600",상승,"1,200",+1.14%,500,"183,953","19,523","106,300","104,256",-341,-112.33,"434,792","106,800","106,400","43,237",-121.86,-6.26,"107,600","1,573","23,466",-585,12.11,-1.35,"104,200","4,650","97,801","27,668",-949,6.16,N/A,-59.91
3,에코프로,"47,850",하락,150,-0.31%,100,"365,640","17,631","48,000","64,969","-2,930",-37.04,"970,352","48,900","48,100","81,383",-198.28,-12.57,"49,100","22,719","42,998","-2,954",21.27,-3.76,"47,650","6,344","135,776","31,279","-1,292",4.09,100,-56.92
4,HLB,"48,000",하락,"1,650",-3.32%,500,"395,925","19,093","48,050","63,087","-1,185",-33.40,"589,723","49,250","48,100","8,874",5.21,-16.33,"49,400","22,404","2,353","-1,080",20.21,-13.22,"47,400","6,816","131,430",681,"-1,437",12.25,0,58.80
5,레인보우로보틱스,"287,500",하락,"9,000",-3.04%,500,"71,763","20,967","288,500","55,775",-30,"7,012.20","295,061","300,000","289,000","1,399",93.32,1.62,"300,000","6,803",71,21,6.86,1.57,"287,000","2,688","19,400",193,41,42.26,N/A,26.80
6,파마리서치,"485,500",상승,"5,000",+1.04%,500,"26,534","12,775","479,000","51,024","1,261",48.26,"100,104","476,000","480,000","8,557",36.63,18.93,"491,500","1,063","2,863",889,15.37,12.79,"474,000","1,101","10,510","3,501","10,061",9.95,"1,100",34.14
7,펩트론,"203,000",하락,500,-0.25%,500,"34,334","7,003","205,500","47,294",-165,-205.67,"142,004","204,000","206,000","1,689",-4.05,-23.46,"207,500","3,969",172,-220,6.41,-19.91,"201,500","4,517","23,297",32,-987,31.77,N/A,-5.68
8,휴젤,"376,500",하락,"1,500",-0.40%,500,"8,234","3,063","374,000","46,325","1,662",32.69,"49,092","373,000","375,000","9,394",41.13,17.51,"377,000",712,986,"1,431",55.66,15.32,"369,000",382,"12,304","3,730","11,517",4.81,0,16.69
9,클래시스,"63,500",상승,300,+0.47%,100,"48,664","3,078","63,300","41,596","1,224",40.47,"184,924","63,000","63,400","6,084",36.62,26.54,"64,200","7,424","1,557",975,71.71,19.83,"62,400","4,553","65,506","2,429","1,569",8.88,257,34.87
10,리가켐바이오,"108,400",하락,500,-0.46%,500,"67,624","7,344","108,200","39,686",-209,159.41,"293,656","108,900","108,300","7,384",74.12,2.04,"110,200","4,134","1,224",78,11.15,1.68,"107,600",639,"36,610","1,259",680,6.74,N/A,268.71
