N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
1,삼성전자,"57,950",하락,"1,550",-2.61%,100,"2,247,520","130,748","58,600","3,430,430","327,260",11.23,"18,072,251","58,400","58,700","5,145,319",398.34,9.03,"58,500","33,472","1,123,399","344,514",49.73,7.10,"57,950","45,277","5,919,638","3,008,709","5,162",0.98,"1,446",16.20
2,SK하이닉스,"250,500",하락,"6,500",-2.53%,"5,000","321,769","81,142","257,000","1,823,646","234,673",7.02,"3,597,877","252,500","257,500","1,198,552",403.58,31.06,"253,500",681,"459,395","197,969",55.42,17.98,"250,500","18,176","728,002","661,930","35,682",2.12,"2,204",102.02
3,삼성바이오로직스,"999,000",하락,"17,000",-1.67%,"2,500","4,948","4,945","1,006,000","711,028","13,201",55.57,"124,199","1,003,000","1,007,000","173,363",18.53,10.45,"1,003,000",62,"64,316","10,833",12.91,6.49,"997,000",146,"71,174","45,473","17,977",6.30,0,23.08
4,LG에너지솔루션,"294,500",하락,"10,500",-3.44%,500,"28,707","8,513","298,500","689,130","5,754",-59.21,"498,474","298,500","299,000","603,068",-73.40,-4.93,"300,000",473,"293,402","3,386",4.15,0.64,"294,500",410,"234,000","256,196","-4,974",3.26,N/A,-24.08
5,한화에어로스페이스,"938,000",보합,0,0.00%,"5,000","41,453","39,077","945,000","443,638","17,319",18.97,"419,837","947,000","946,000","433,369",191.41,53.94,"953,000",409,"319,726","25,399",45.14,8.08,"932,000",23,"47,296","112,401","49,447",10.85,"3,500",42.47
6,NAVER,"277,500",상승,"8,000",+2.97%,100,"512,108","141,867","272,500","439,663","19,793",24.23,"4,889,308","276,500","273,000","381,679",32.94,7.90,"279,500","14,061","111,670","19,320",48.85,5.23,"274,500","4,900","158,437","107,377","11,452",1.57,"1,130",11.03
7,현대차,"202,500",하락,"7,500",-3.57%,"5,000","142,337","28,906","207,000","414,634","142,396",4.41,"662,635","205,500","207,500","3,397,984",-5.87,12.43,"206,000",313,"2,195,225","132,299",36.28,4.25,"201,500","3,308","204,758","1,752,312","45,880",0.48,"12,000",7.73
8,두산에너빌리티,"63,800",상승,"3,600",+5.98%,"5,000","4,335,422","269,541","59,000","408,678","10,176",-401.26,"10,039,131","59,100","59,100","263,148",-30.65,1.52,"64,100","41,620","146,537","3,947",24.31,1.55,"59,100","7,043","640,561","162,331",-159,5.37,N/A,-7.71
9,KB금융,"106,800",상승,300,+0.28%,"5,000","139,939","14,979","107,100","407,402","80,453",7.41,"3,095,365","107,100","107,200","7,578,455",26.00,8.86,"107,600",80,"6,980,304","50,286",78.16,0.68,"106,300",389,"381,462","850,764","14,416",0.67,"3,174",9.77
10,삼성전자우,"47,600",하락,"1,100",-2.26%,100,"208,010","9,940","48,250","388,404",N/A,9.22,"1,657,819","48,000","48,300",N/A,N/A,N/A,"48,050","1,351",N/A,N/A,73.75,N/A,"47,550",430,"815,975",N/A,"5,162",0.81,N/A,N/A
11,HD현대중공업,"433,000",하락,"10,000",-2.26%,"5,000","22,300","9,700","436,000","384,388","7,052",43.83,"336,843","435,500","436,500","193,909",294.77,11.39,"440,000",236,"136,865","6,215",10.82,3.40,"431,500",27,"88,773","144,865","9,880",6.62,"2,090",21.08
12,기아,"95,700",하락,"3,000",-3.04%,"5,000","115,885","11,149","97,300","380,573","126,671",4.08,"998,377","97,000","97,400","927,559",9.13,19.09,"97,000",975,"369,156","97,750",39.06,11.28,"95,600",59,"397,673","1,074,488","23,440",0.67,"6,500",7.66
