종목명,현재가,기준월,배당금,수익률(%),배당성향(%),ROE(%),PER(배),PBR(배),과거3년배당금_Max,1년전,2년전,3년전
한샘,44550,24.03,8530,19.15,93.69,43.59,7.40,2.25,800,4500,800,1550
레드캡투어,11980,25.03,2150,17.95,177.53,9.64,7.26,0.67,450,450,450,400
신한글로벌액티브리츠,1502,25.02,253,16.84,0115.10,05.52,014.91,0.65,24,10,24,0
이지스밸류플러스리츠,4750,25.06,785,16.53,0430.66,00.52,0108.14,0.59,412,412,351,293
제이알글로벌리츠,2680,24.12,390,14.55,186.25,2.48,26.31,0.67,385,385,373,366
NH프라임리츠,4545,24.11,658,14.48,137.10,6.38,11.26,0.72,531,531,225,248
미래에셋맵스리츠,2695,24.11,284,10.54,215.00,1.60,42.27,0.64,284,284,279,268
미래에셋글로벌리츠,2635,25.03,274,10.40,0,0,0,0,40,262,286,40
크레버스,14600,25.04,1500,10.27,167.06,17.99,21.71,3.06,2000,2000,1800,2000
이크레더블,16080,24.12,1590,9.89,148.28,27.34,12.07,3.18,780,780,1040,2720
KB스타리츠,3755,25.01,368,9.80,96.26,4.54,17.19,0.85,376,376,165,0
코람코라이프인프라리츠,4280,24.11,416,9.73,164.56,4.96,16.20,0.83,475,366,350,475
NH올원리츠,3645,24.12,340,9.33,0830.66,00.56,0135.96,0.80,316,288,316,106
정다운,2700,24.12,250,9.26,68.61,9.33,7.31,0.65,300,300,100,100
HB인베스트먼트,2220,24.12,200,9.01,89.81,8.28,6.99,0.49,0,0,0,0
한국철강,9240,24.12,800,8.66,112.95,2.82,15.14,0.28,400,400,300,250
정상제이엘에스,6150,24.12,530,8.62,94.60,9.05,12.55,1.08,530,530,530,530
디앤디플랫폼리츠,3105,25.03,260,8.39,273.86,1.20,59.36,0.72,290,270,290,224
도이치모터스,4585,24.12,380,8.29,0224.96,01.22,028.41,0.33,370,370,360,350
현대해상,25300,24.03,2063,8.15,28.16,7.38,4.82,0.40,1965,1965,1480,1000
이리츠코크렙,4460,24.12,362,8.12,221.83,2.19,51.71,1.16,405,404,405,383
동국씨엠,6240,25.03,500,8.01,23.40,6.45,2.79,0.17,100,100,0,0
