N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
1,알테오젠,"403,500",하락,"7,000",-1.71%,500,"37,020","14,982",0,"215,731",254,172.66,"478,494","406,500",0,"4,090",360.91,29.52,"409,000",0,"1,349",607,14.98,18.25,"401,500",0,"53,465","1,029","2,337",58.86,0,6.56
2,에코프로비엠,"94,900",하락,"2,600",-2.67%,500,"56,185","5,360",0,"92,813",-341,-100.00,"1,006,498","96,800",0,"43,237",-121.86,-6.26,"96,800",0,"23,466",-585,11.62,-1.35,"94,400",0,"97,801","27,668",-949,5.47,N/A,-59.91
3,HLB,"52,800",하락,600,-1.12%,500,"37,563","1,986",0,"69,392","-1,185",-36.74,"587,295","52,900",0,"8,874",5.21,-16.33,"53,200",0,"2,353","-1,080",21.02,-13.22,"52,700",0,"131,425",681,"-1,437",13.48,0,58.80
4,에코프로,"43,850",하락,950,-2.12%,100,"125,306","5,505",0,"59,538","-2,930",-33.94,"1,236,590","44,550",0,"81,383",-198.28,-12.57,"44,700",0,"42,998","-2,954",21.29,-3.76,"43,550",0,"135,776","31,279","-1,292",3.74,100,-56.92
5,레인보우로보틱스,"285,500",하락,"3,500",-1.21%,500,"16,935","4,879",0,"55,387",-30,"6,963.41","154,871","291,000",0,"1,399",93.32,1.62,"291,500",0,71,21,7.85,1.57,"284,500",0,"19,400",193,41,41.96,N/A,26.80
6,파마리서치,"523,000",보합,0,0.00%,500,0,0,0,"54,965","1,261",51.98,"96,596","523,000",0,"8,557",36.63,18.93,"523,000",0,"2,863",889,18.15,12.79,"523,000",0,"10,510","3,501","10,061",10.72,"1,100",34.14
7,휴젤,"376,000",하락,500,-0.13%,500,"3,938","1,475",0,"46,263","1,662",32.65,"82,140","373,000",0,"9,394",41.13,17.51,"379,500",0,986,"1,431",55.20,15.32,"370,500",0,"12,304","3,730","11,517",4.82,0,16.69
8,펩트론,"194,800",상승,"2,200",+1.14%,500,"14,900","2,914",0,"45,383",-165,-197.37,"300,614","196,300",0,"1,689",-4.05,-23.46,"196,500",0,172,-220,6.31,-19.91,"194,500",0,"23,297",32,-987,30.49,N/A,-5.68
9,리가켐바이오,"115,800",하락,"1,600",-1.36%,500,"28,642","3,344",0,"42,395",-209,170.29,"379,763","118,500",0,"7,384",74.12,2.04,"118,600",0,"1,224",78,11.39,1.68,"115,600",0,"36,610","1,259",680,7.18,N/A,268.71
10,클래시스,"61,200",하락,200,-0.33%,100,"29,281","1,797",0,"40,089","1,224",39.01,"535,196","61,000",0,"6,084",36.62,26.54,"61,800",0,"1,557",975,72.06,19.83,"61,000",0,"65,506","2,429","1,569",8.56,257,34.87
11,삼천당제약,"165,800",하락,"3,200",-1.89%,500,"18,424","3,073",0,"38,892",26,-335.63,"296,678","168,000",0,"5,198",-72.36,-4.49,"170,400",0,"1,704",-51,3.17,-1.10,"165,700",0,"23,457","2,109",-494,14.72,200,9.48
12,에이비엘바이오,"77,700",하락,"2,300",-2.87%,500,"93,067","7,332",0,"37,706",-594,-56.67,"684,040","79,900",0,"2,320","-2,168.82",-46.01,"80,100",0,647,-555,14.60,-28.32,"77,600",0,"48,528",334,"-1,371",29.50,N/A,-49.04
13,리노공업,"49,050",상승,50,+0.10%,100,"27,976","1,375",0,"37,382","1,242",30.64,"550,729","49,000",0,"6,574",8.59,19.21,"49,500",0,348,"1,133",35.31,18.27,"48,850",0,"76,212","2,782","1,601",6.14,600,8.85
14,실리콘투,"55,700",상승,300,+0.54%,500,"138,951","7,780",0,"34,073","1,376",25.35,"3,428,463","56,600",0,"4,578",187.76,60.90,"56,600",0,"1,962","1,207",7.70,35.88,"55,100",0,"61,172","6,915","2,197",11.16,N/A,101.69
15,에스엠,"138,500",상승,"1,000",+0.73%,500,"8,598","1,192",0,"31,709",873,12.73,"265,860","137,500",0,"14,191",-23.06,2.64,"39,400",0,764,-338,3.79,-18.92,"38,750",0,"81,601",51,-454,17.26,0,36.90
