종목명,현재가,기준월,배당금,수익률(%),배당성향(%),ROE(%),PER(배),PBR(배),과거3년배당금_Max,1년전,2년전,3년전
한샘,42000,24.03,8530,20.31,93.69,43.59,7.40,2.25,800,4500,800,1550
레드캡투어,12390,25.03,2150,17.35,177.53,9.64,7.26,0.67,450,450,450,400
이지스밸류플러스리츠,4605,25.06,785,17.05,0430.66,00.52,0108.14,0.59,412,412,351,293
신한글로벌액티브리츠,1545,25.02,253,16.38,0115.10,05.52,014.91,0.65,24,10,24,0
NH프라임리츠,4480,24.11,658,14.69,137.10,6.38,11.26,0.72,531,531,225,248
제이알글로벌리츠,2755,24.12,390,14.16,186.25,2.48,26.31,0.67,385,385,373,366
미래에셋맵스리츠,2700,24.11,284,10.52,215.00,1.60,42.27,0.64,284,284,279,268
크레버스,14300,25.04,1500,10.49,167.06,17.99,21.71,3.06,2000,2000,1800,2000
이크레더블,15700,24.12,1590,10.13,148.28,27.34,12.07,3.18,780,780,1040,2720
HB인베스트먼트,2040,24.12,200,9.80,89.81,8.28,6.99,0.49,0,0,0,0
코람코라이프인프라리츠,4405,24.11,416,9.45,164.56,4.96,16.20,0.83,475,366,350,475
NH올원리츠,3690,24.12,340,9.21,0830.66,00.56,0135.96,0.80,316,288,316,106
정다운,2730,24.12,250,9.16,68.61,9.33,7.31,0.65,300,300,100,100
미래에셋글로벌리츠,2795,25.03,252,9.02,0,0,0,0,40,262,286,40
KB스타리츠,4100,25.01,368,8.98,96.26,4.54,17.19,0.85,376,376,165,0
마스턴프리미어리츠,1466,24.09,127,8.68,79.60,1.26,40.75,0.55,299,299,109,0
정상제이엘에스,6120,24.12,530,8.66,94.60,9.05,12.55,1.08,530,530,530,530
한국철강,9260,24.12,800,8.64,112.95,2.82,15.14,0.28,400,400,300,250
현대해상,25100,24.03,2063,8.22,28.16,7.38,4.82,0.40,1965,1965,1480,1000
현대차3우B,149700,25.02,12050,8.05,25.13,12.43,4.60,0.51,7050,11450,7050,5050
현대차우,149900,25.02,12050,8.04,25.13,12.43,4.60,0.51,7050,11450,7050,5050
현대차2우B,150800,25.02,12100,8.02,25.13,12.43,4.60,0.51,7100,11500,7100,5100
노바텍,17680,24.12,1409,7.97,80.44,10.80,8.95,0.87,500,500,200,143
오상자이엘,3790,24.12,300,7.92,89.07,6.36,10.03,0.61,0,0,0,0
도이치모터스,4815,24.12,380,7.89,0224.96,01.22,028.41,0.33,370,370,360,350
디앤디플랫폼리츠,3310,25.03,260,7.87,0,0,0,0,290,270,290,224
영보화학,4485,24.12,350,7.80,30.26,13.01,3.16,0.38,50,50,50,100
이리츠코크렙,4660,24.12,362,7.77,221.83,2.19,51.71,1.16,405,404,405,383
동국씨엠,6450,25.03,500,7.75,23.40,6.45,2.79,0.17,100,100,0,0
광주신세계,28500,25.03,2200,7.72,36.34,5.58,4.97,0.26,2200,2200,2200,1700
서울보증보험,37500,25.04,2865,7.64,93.87,4.12,0,0.00,4048,2983,4048,3282
