	token	경주빈도	전주빈도	빈도합	전주비율	경주비율
649	종합	5	0	5	0.00%	100.00%
650	조화	5	0	5	0.00%	100.00%
651	조언	5	0	5	0.00%	100.00%
652	중학	5	0	5	0.00%	100.00%
653	조립식	5	0	5	0.00%	100.00%
654	조금	5	0	5	0.00%	100.00%
655	제외	5	0	5	0.00%	100.00%
656	제안	5	0	5	0.00%	100.00%
657	제가	5	0	5	0.00%	100.00%
658	정서	5	0	5	0.00%	100.00%
659	접근성	5	0	5	0.00%	100.00%
660	조사	5	0	5	0.00%	100.00%
661	정상	4	0	4	0.00%	100.00%
662	통제	4	0	4	0.00%	100.00%
663	여학생	0	4	4	100.00%	0.00%
664	오타쿠	0	4	4	100.00%	0.00%
665	일본	0	4	4	100.00%	0.00%
666	휴무일	4	0	4	0.00%	100.00%
667	애니	0	4	4	100.00%	0.00%
668	여성	4	0	4	0.00%	100.00%
669	방해	4	0	4	0.00%	100.00%
670	고요	4	0	4	0.00%	100.00%
671	라면	0	4	4	100.00%	0.00%
672	아중	0	3	3	100.00%	0.00%
673	수지	0	3	3	100.00%	0.00%
674	레일바이크	0	3	3	100.00%	0.00%
675	떡갈비	0	3	3	100.00%	0.00%
676	동네	0	3	3	100.00%	0.00%
677	내공	0	3	3	100.00%	0.00%
678	전북	0	3	3	100.00%	0.00%
679	주변	0	3	3	100.00%	0.00%
680	기상청	3	0	3	0.00%	100.00%
681	감성	2	1	3	33.33%	66.67%
682	뉴스	3	0	3	0.00%	100.00%
683	테이	2	0	2	0.00%	100.00%
684	청공	2	0	2	0.00%	100.00%
685	이튿날	2	0	2	0.00%	100.00%
686	옥스	2	0	2	0.00%	100.00%
687	스테이	2	0	2	0.00%	100.00%
688	소록	2	0	2	0.00%	100.00%
689	다양	0	2	2	100.00%	0.00%
690	모주	0	2	2	100.00%	0.00%
691	통합	0	1	1	100.00%	0.00%
692	카페이	0	1	1	100.00%	0.00%
693	찜질방	0	1	1	100.00%	0.00%
694	용추	0	1	1	100.00%	0.00%
695	유익	0	1	1	100.00%	0.00%
696	차선	1	0	1	0.00%	100.00%
697	용권	0	1	1	100.00%	0.00%
698	전용	1	0	1	0.00%	100.00%
699	권역	1	0	1	0.00%	100.00%
700	연중무휴	1	0	1	0.00%	100.00%
701	운행	1	0	1	0.00%	100.00%
702	패스	0	1	1	100.00%	0.00%
