epoch,accuracy,loss,val_accuracy,val_loss
0,0.5312179923057556,0.7894318699836731,0.45192307233810425,3.088963031768799
1,0.5534273982048035,0.7468761801719666,0.45913460850715637,2.3097846508026123
2,0.5443548560142517,0.7156568169593811,0.45913460850715637,2.0764222145080566
3,0.5772773623466492,0.6987752318382263,0.4639423191547394,2.1728172302246094
4,0.5926305055618286,0.6803173422813416,0.45673078298568726,2.34596848487854
5,0.5967246890068054,0.6771717071533203,0.4663461446762085,2.4886369705200195
6,0.5680655241012573,0.6892784237861633,0.45192307233810425,2.313286781311035
7,0.6028659343719482,0.6775490641593933,0.4735576808452606,2.3518319129943848
8,0.5987717509269714,0.6777681708335876,0.4735576808452606,2.3866281509399414
9,0.5926305055618286,0.6790629029273987,0.45673078298568726,2.546271800994873
10,0.5967246890068054,0.6718430519104004,0.45192307233810425,2.5080511569976807
11,0.5864892601966858,0.6785862445831299,0.4735576808452606,2.3946120738983154
12,0.5997952818870544,0.6727287173271179,0.45673078298568726,2.7175180912017822
13,0.6049129962921143,0.6743025183677673,0.45913460850715637,2.6062545776367188
14,0.5905834436416626,0.6699758768081665,0.4759615361690521,2.5633392333984375
15,0.5875127911567688,0.673321545124054,0.46875,2.734950065612793
16,0.6059365272521973,0.6691902279853821,0.4615384638309479,2.7102267742156982
17,0.5957010984420776,0.679194986820221,0.4975961446762085,2.517252206802368
18,0.6028659343719482,0.6731781959533691,0.45913460850715637,2.6270956993103027
19,0.6028659343719482,0.6643415689468384,0.44951921701431274,2.911677837371826
20,0.6028659343719482,0.6711611151695251,0.45673078298568726,2.7010982036590576
21,0.5926305055618286,0.6783641576766968,0.46875,2.3668158054351807
22,0.6090071797370911,0.670469343662262,0.4663461446762085,2.50512433052063
23,0.6131013035774231,0.6680544018745422,0.4615384638309479,2.7293906211853027
24,0.5946775674819946,0.6718028783798218,0.4663461446762085,2.6122779846191406
25,0.5957010984420776,0.6770820617675781,0.45913460850715637,2.497361660003662
26,0.5864892601966858,0.6759169101715088,0.45673078298568726,2.902698278427124
27,0.5885363221168518,0.6724834442138672,0.4639423191547394,2.7635583877563477
28,0.5997952818870544,0.6720648407936096,0.4711538553237915,2.549165964126587
29,0.6018424034118652,0.6761783361434937,0.4615384638309479,2.679128408432007
