keyword,target_period,period_query,title,image_url,thumbnail_url,popularity_score,search_method,collected_at,search_volume
갈비,2025-06,2025.06,"음식, food, 요리, cooking, 갈비, 사진,이미지,일러스트,캘리그라피 - 작가 DREAM작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_00B060A3550EB0175E13AD4BD7F534AB.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_00B060A3550EB0175E13AD4BD7F534AB.jpg,55,image_sim,2025-07-14T20:38:53.807202,11420886
갈비,2025-06,2025.06,"음식, food, 요리, cooking, 갈비, 사진,이미지,일러스트,캘리그라피 - 작가 DREAM작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_4B7302FF1DBA4E20CA1963C13DF91FF7.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_4B7302FF1DBA4E20CA1963C13DF91FF7.jpg,55,image_sim,2025-07-14T20:38:53.807202,11420886
갈비,2025-06,2025.06,"맛집, 갈비, 고기, 음식, food, 사진,이미지,일러스트,캘리그라피 - dbwlsdl091작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_1C34BE158A9229BE2CBA1A9A16F66980.jpeg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_1C34BE158A9229BE2CBA1A9A16F66980.jpeg,55,image_sim,2025-07-14T20:38:53.807202,11420886
치킨,2024-06,24년 6월,"피클 치킨 믹스 누들, 중국 요리, 중국 음식, 맛있는 PNG 일러스트 및 이미지 에 대한 무료 다운로드 - Pngtree",https://png.pngtree.com/png-vector/20220121/ourlarge/pngtree-pickled-pepper-chicken-mixed-noodles-png-image_4358090.png,https://search.pstatic.net/sunny/?type=b150&src=https://png.pngtree.com/png-vector/20220121/ourlarge/pngtree-pickled-pepper-chicken-mixed-noodles-png-image_4358090.png,54,image_sim,2025-07-14T20:38:29.946415,317241121
치킨,2024-06,24년 6월,"음식 일러스트 맛있는 치킨 롤, 중국 요리, 특별한 요리, 성분 PNG 일러스트 및 PSD 이미지 무료 다운로드 - Pngtree",https://png.pngtree.com/png-clipart/20190122/ourlarge/pngtree-food-delicious-chicken-chicken-roll-png-image_529234.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://png.pngtree.com/png-clipart/20190122/ourlarge/pngtree-food-delicious-chicken-chicken-roll-png-image_529234.jpg,54,image_sim,2025-07-14T20:38:29.946415,317241121
치킨,2025-06,2025.06,"음식 일러스트 맛있는 치킨 롤, 중국 요리, 특별한 요리, 성분 PNG 일러스트 및 PSD 이미지 무료 다운로드 - Pngtree",https://png.pngtree.com/png-clipart/20190122/ourlarge/pngtree-food-delicious-chicken-chicken-roll-png-image_529234.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://png.pngtree.com/png-clipart/20190122/ourlarge/pngtree-food-delicious-chicken-chicken-roll-png-image_529234.jpg,54,image_sim,2025-07-14T20:38:33.526927,317241121
치킨,2025-06,25년 6월,"피클 치킨 믹스 누들, 중국 요리, 중국 음식, 맛있는 PNG 일러스트 및 이미지 에 대한 무료 다운로드 - Pngtree",https://png.pngtree.com/png-vector/20220121/ourlarge/pngtree-pickled-pepper-chicken-mixed-noodles-png-image_4358090.png,https://search.pstatic.net/sunny/?type=b150&src=https://png.pngtree.com/png-vector/20220121/ourlarge/pngtree-pickled-pepper-chicken-mixed-noodles-png-image_4358090.png,54,image_sim,2025-07-14T20:38:34.177345,317241121
치킨,2024-06,2024년 6월,치킨 > 음식 | 이미지 사용조건이 까다롭지 않은 요리사진 100만컷,https://www.sk5.co.kr/neo/ns600/100/10008229.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://www.sk5.co.kr/neo/ns600/100/10008229.jpg,53,image_sim,2025-07-14T20:38:28.760758,317241121
치킨,2024-06,2024년 6월,치킨 > 음식 | 이미지 사용조건이 까다롭지 않은 요리사진 100만컷,https://www.sk5.co.kr/neo/ns600/100/10008225.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://www.sk5.co.kr/neo/ns600/100/10008225.jpg,53,image_sim,2025-07-14T20:38:28.760758,317241121
치킨,2024-06,2024년 6월,치킨 > 음식 | 이미지 사용조건이 까다롭지 않은 요리사진 100만컷,https://www.sk5.co.kr/neo/ns600/100/10008227.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://www.sk5.co.kr/neo/ns600/100/10008227.jpg,53,image_sim,2025-07-14T20:38:28.760758,317241121
치킨,2024-06,2024년 6월,치킨 > 음식 | 이미지 사용조건이 까다롭지 않은 요리사진 100만컷,https://www.sk5.co.kr/neo/ns600/100/10008223.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://www.sk5.co.kr/neo/ns600/100/10008223.jpg,53,image_sim,2025-07-14T20:38:28.760758,317241121
치킨,2024-06,2024년 6월,치킨 > 음식 | 이미지 사용조건이 까다롭지 않은 요리사진 100만컷,https://www.sk5.co.kr/neo/ns600/100/10008226.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://www.sk5.co.kr/neo/ns600/100/10008226.jpg,53,image_sim,2025-07-14T20:38:28.760758,317241121
치킨,2024-06,2024년 6월,"치킨, chicken, 닭, 음식, food, 사진,이미지,일러스트,캘리그라피 - MY119작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_A481F08D636D7D87E718C5DDD8C0FB33.png,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_A481F08D636D7D87E718C5DDD8C0FB33.png,53,image_sim,2025-07-14T20:38:28.762233,317241121
치킨,2024-06,2024년 6월,"음식, 식사, food, 치킨, 닭, 사진,이미지,일러스트,캘리그라피 - 모먼트111작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_B7833B98CF26CAA9C91E131B177A7B9A.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_B7833B98CF26CAA9C91E131B177A7B9A.jpg,53,image_sim,2025-07-14T20:38:28.763913,317241121
치킨,2024-06,2024년 6월,"음식, food, 치킨, 후라이드, 요리, 사진,이미지,일러스트,캘리그라피 - cooki작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_523380D22FBAFB90F9C8359089C419CC.jpeg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_523380D22FBAFB90F9C8359089C419CC.jpeg,53,image_sim,2025-07-14T20:38:28.763913,317241121
치킨,2024-06,2024년 6월,간장치킨 > 음식 | 이미지 사용조건이 까다롭지 않은 요리사진 100만컷,https://www.sk5.co.kr/neo/ns600/100/10008257.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://www.sk5.co.kr/neo/ns600/100/10008257.jpg,53,image_sim,2025-07-14T20:38:28.763913,317241121
치킨,2024-06,2024년 6월,"food, 음식, 떡볶이, 치킨, 치즈, 사진,이미지,일러스트,캘리그라피 - shj040113작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_E58D8503CE4B63572BAF9EA00139DA38.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_E58D8503CE4B63572BAF9EA00139DA38.jpg,53,image_sim,2025-07-14T20:38:28.765050,317241121
치킨,2024-06,2024년 6월,"음식, food, 치킨, 통닭, 마늘통닭, 사진,이미지,일러스트,캘리그라피 - 쏭월드작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_E34538ED4F8CBCFC71878BC7CDFF9D48.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_E34538ED4F8CBCFC71878BC7CDFF9D48.jpg,53,image_sim,2025-07-14T20:38:28.765050,317241121
치킨,2024-06,2024년 6월,치킨정식 > 음식 | 이미지 사용조건이 까다롭지 않은 요리사진 100만컷,https://www.sk5.co.kr/neo/ns600/100/10008331.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://www.sk5.co.kr/neo/ns600/100/10008331.jpg,53,image_sim,2025-07-14T20:38:28.765050,317241121
치킨,2024-06,2024년 6월,"음식, food, 치킨, 통닭, 옛날통닭, 사진,이미지,일러스트,캘리그라피 - 백경이작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_59E1D8E7A37008C397FFC5377CE0CC4C.jpeg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_59E1D8E7A37008C397FFC5377CE0CC4C.jpeg,53,image_sim,2025-07-14T20:38:28.765050,317241121
치킨,2024-06,2024년 6월,"food, 음식, 중식, 닭, 치킨, 사진,이미지,일러스트,캘리그라피 - wookella작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_E791AE7957E6FD3348E49EB5CF7DE309.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_E791AE7957E6FD3348E49EB5CF7DE309.jpg,53,image_sim,2025-07-14T20:38:28.765050,317241121
치킨,2024-06,2024년 6월,"치킨, 후라이드, 통닭, 음식, food, 사진,이미지,일러스트,캘리그라피 - RAN2작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_64CB4E91978BA0CF393A425DF3F29F5E.jpeg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_64CB4E91978BA0CF393A425DF3F29F5E.jpeg,53,image_sim,2025-07-14T20:38:28.765050,317241121
치킨,2024-06,2024년 6월,"food, 음식, 치킨, 닭, 후라이드, 사진,이미지,일러스트,캘리그라피 - verybin작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_2E5B058A9797CEACD10760CB0CBF08E4.jpeg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_2E5B058A9797CEACD10760CB0CBF08E4.jpeg,53,image_sim,2025-07-14T20:38:28.765050,317241121
치킨,2024-06,2024년 6월,"food, 음식, 치킨, 닭고기, 튀김, 사진,이미지,일러스트,캘리그라피 - bearsijk작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_AAC8E90AF44B9D3FE4E1A4B64B5F5BB5.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_AAC8E90AF44B9D3FE4E1A4B64B5F5BB5.jpg,53,image_sim,2025-07-14T20:38:28.765050,317241121
치킨,2024-06,2024년 6월,"food, 음식, 치킨, 닭, 닭고기, 사진,이미지,일러스트,캘리그라피 - neon0083작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_18B72C896CA6840D932BABDFD21891D8.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_18B72C896CA6840D932BABDFD21891D8.jpg,53,image_sim,2025-07-14T20:38:28.765050,317241121
치킨,2024-06,2024.06,"음식, 식사, food, 치킨, 닭, 사진,이미지,일러스트,캘리그라피 - 모먼트111작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_AC7F7A3A9C285714EE1D1B24AC7D15BC.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_AC7F7A3A9C285714EE1D1B24AC7D15BC.jpg,53,image_sim,2025-07-14T20:38:29.337813,317241121
치킨,2024-06,2024.06,"음식, 식사, food, meal, 치킨, 사진,이미지,일러스트,캘리그라피 - Dracula작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_1F31A2FFD581F7DDFD5ADC78E9B4CF7D.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_1F31A2FFD581F7DDFD5ADC78E9B4CF7D.jpg,53,image_sim,2025-07-14T20:38:29.337813,317241121
치킨,2024-06,2024.06,"치킨, 음식, 식사, food, meal, 사진,이미지,일러스트,캘리그라피 - WindPath작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_F9FA0136A0EB76D2630EEE18F686A2CA.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_F9FA0136A0EB76D2630EEE18F686A2CA.jpg,53,image_sim,2025-07-14T20:38:29.337813,317241121
치킨,2024-06,2024.06,"food, meat, 음식, 고기, 치킨, 사진,이미지,일러스트,캘리그라피 - 콩22작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_3841081D90BDE90DA731E308DADF3E6F.jpeg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_3841081D90BDE90DA731E308DADF3E6F.jpeg,53,image_sim,2025-07-14T20:38:29.337813,317241121
치킨,2024-06,2024.06,"food, 음식, meat, 고기, 치킨, 사진,이미지,일러스트,캘리그라피 - Njms1643작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_C5AB392D2DDDBD8EEF3489EA3F678736.jpeg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_C5AB392D2DDDBD8EEF3489EA3F678736.jpeg,53,image_sim,2025-07-14T20:38:29.337813,317241121
치킨,2024-06,2024.06,"food, 음식, 식사, 치킨, 채소, 사진,이미지,일러스트,캘리그라피 - 사진의신작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_689C0475E79E779CE690C2FB5C0E11BA.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_689C0475E79E779CE690C2FB5C0E11BA.jpg,53,image_sim,2025-07-14T20:38:29.337813,317241121
치킨,2024-06,2024.06,"food, 음식, 치킨, 방어, 푸드, 사진,이미지,일러스트,캘리그라피 - micky9393작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_AD8181492EC5B59A77EBECE30BC62FC0.jpeg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_AD8181492EC5B59A77EBECE30BC62FC0.jpeg,53,image_sim,2025-07-14T20:38:29.337813,317241121
