N,종목명,현재가,전일비변동,전일비,등락률,액면가,주당순이익,PER,ROE,ROA,PBR,유보율
420,TIGER 미국테크TOP10타겟커버드콜,"12,480",하락,160,-1.27%,0,N/A,N/A,N/A,N/A,N/A,N/A
421,신도리코,"46,550",하락,"2,600",-5.29%,"5,000","6,476",7.19,7.12,6.59,0.38,"2,065.9"
422,아모레퍼시픽우,"44,400",상승,300,+0.68%,500,"9,057",4.90,N/A,N/A,0.58,N/A
423,화승엔터프라이즈,"7,730",하락,100,-1.28%,500,575,13.44,6.38,2.37,0.91,"1,086.7"
424,풍산홀딩스,"32,400",상승,400,+1.25%,"5,000","7,062",4.59,9.41,7.95,0.41,"1,212.5"
425,SPC삼립,"53,100",상승,300,+0.57%,"5,000","10,076",5.27,19.25,6.83,0.91,"1,101.2"
426,남양유업,"73,700",하락,"1,700",-2.25%,500,791,93.17,0.04,0.03,0.96,"14,336.6"
427,후성,"4,195",하락,15,-0.36%,500,-586,-7.16,-21.71,-9.93,1.41,495.9
428,동아에스티,"48,000",하락,500,-1.03%,"5,000",-85,-564.71,-0.18,-1.74,0.67,"1,088.1"
429,삼성 레버리지 WTI원유 선물 ETN,"1,107",상승,52,+4.93%,0,N/A,N/A,N/A,N/A,N/A,N/A
430,TCC스틸,"17,030",하락,310,-1.79%,"1,000",819,20.79,8.30,3.57,1.77,772.1
431,RISE KIS국고채30년Enhanced,"82,990",하락,290,-0.35%,0,N/A,N/A,N/A,N/A,N/A,N/A
432,쏘카,"13,500",상승,80,+0.60%,100,-542,-24.91,-15.69,-4.73,2.45,"5,038.8"
433,한국금융지주우,"75,500",하락,"2,000",-2.58%,"5,000","16,883",4.47,N/A,N/A,0.46,N/A
434,KODEX 200타겟위클리커버드콜,"9,850",하락,5,-0.05%,0,N/A,N/A,N/A,N/A,N/A,N/A
435,NICE,"11,910",하락,20,-0.17%,500,"1,317",9.04,6.27,2.88,0.56,"3,997.6"
436,KODEX 코스피,"27,525",상승,20,+0.07%,0,N/A,N/A,N/A,N/A,N/A,N/A
437,KODEX 인도Nifty50,"13,530",하락,110,-0.81%,0,N/A,N/A,N/A,N/A,N/A,N/A
438,티웨이항공,"2,035",하락,5,-0.25%,500,-736,-2.76,-55.03,-4.63,12.92,-26.1
439,DS단석,"24,900",하락,550,-2.16%,500,-314,-79.30,-3.29,-1.42,1.53,"1,920.2"
440,동국제강,"8,810",하락,340,-3.72%,"5,000",164,53.72,2.04,1.04,0.26,470.8
441,KODEX 미국반도체,"22,300",하락,640,-2.79%,0,N/A,N/A,N/A,N/A,N/A,N/A
442,KODEX 자동차,"16,960",하락,190,-1.11%,0,N/A,N/A,N/A,N/A,N/A,N/A
443,ACE 200,"36,260",하락,80,-0.22%,0,N/A,N/A,N/A,N/A,N/A,N/A
444,TIMEFOLIO 글로벌AI인공지능액티브,"25,465",하락,285,-1.11%,0,N/A,N/A,N/A,N/A,N/A,N/A
445,아세아시멘트,"11,620",상승,230,+2.02%,500,"1,709",6.80,7.65,3.71,0.39,"5,551.2"
446,현대차증권,"6,970",하락,180,-2.52%,"5,000",813,8.57,2.80,0.31,0.24,572.0
447,세아제강,"151,900",하락,"17,100",-10.12%,"5,000","43,046",3.53,N/A,N/A,0.38,"7,762.7"
448,코람코라이프인프라리츠,"4,415",상승,25,+0.57%,500,387,11.41,4.96,1.87,0.89,930.7
449,RISE 미국30년국채엔화노출(합성 H),"8,280",하락,55,-0.66%,0,N/A,N/A,N/A,N/A,N/A,N/A
450,코오롱,"34,000",하락,900,-2.58%,"5,000","11,430",2.97,12.49,2.57,0.28,"1,729.8"
451,TIGER 27-04회사채(A+이상)액티브,"53,310",상승,15,+0.03%,0,N/A,N/A,N/A,N/A,N/A,N/A
452,한세실업,"10,720",하락,380,-3.42%,500,"1,235",8.68,8.58,4.39,0.61,"3,350.2"
453,신성통상,"2,965",하락,10,-0.34%,500,454,6.53,16.24,6.61,0.83,582.2
454,명신산업,"8,110",하락,250,-2.99%,500,"2,048",3.96,20.95,11.45,0.60,"2,477.4"
455,스틱인베스트먼트,"10,190",하락,770,-7.03%,500,224,45.49,3.72,3.40,1.48,"1,204.5"
456,디아이,"14,920",하락,210,-1.39%,500,276,54.06,0.72,0.92,2.49,826.5
457,TIGER 미국S&P500(H),"13,980",하락,70,-0.50%,0,N/A,N/A,N/A,N/A,N/A,N/A
458,삼성FN리츠,"4,620",상승,5,+0.11%,500,29,159.31,0.66,0.32,1.01,813.9
459,KODEX 미국나스닥100(H),"16,480",하락,95,-0.57%,0,N/A,N/A,N/A,N/A,N/A,N/A
460,콜마홀딩스,"12,130",하락,410,-3.27%,500,572,21.21,4.09,2.59,0.70,"3,185.7"
461,비에이치,"11,970",하락,210,-1.72%,500,791,15.13,9.90,6.44,0.55,"4,184.5"
462,KIWOOM 종합채권(AA-이상)액티브,"109,500",상승,70,+0.06%,0,N/A,N/A,N/A,N/A,N/A,N/A
463,드림텍,"5,960",하락,160,-2.61%,100,-17,-350.59,0.95,1.50,1.03,"5,400.9"
464,YG PLUS,"6,430",상승,230,+3.71%,500,127,50.63,0.73,0.86,2.39,412.2
465,KODEX 국고채10년액티브,"114,285",상승,5,0.00%,0,N/A,N/A,N/A,N/A,N/A,N/A
466,KB스타리츠,"4,000",하락,5,-0.12%,500,187,21.39,4.54,1.81,1.06,673.9
467,맵스리얼티1,"4,350",상승,5,+0.12%,0,N/A,N/A,N/A,N/A,N/A,N/A
468,KODEX 미국배당커버드콜액티브,"11,175",하락,65,-0.58%,0,N/A,N/A,N/A,N/A,N/A,N/A
469,영진약품,"2,170",하락,35,-1.59%,500,-10,-217.00,1.37,0.54,4.37,-1.8
470,TIGER 2차전지소재Fn,"3,200",하락,45,-1.39%,0,N/A,N/A,N/A,N/A,N/A,N/A
471,애경산업,"15,000",하락,120,-0.79%,"1,000","1,290",11.63,10.81,8.66,0.97,"1,530.3"
472,넥스틸,"15,190",하락,510,-3.25%,500,"2,100",7.23,7.64,5.20,0.83,"3,433.7"
473,세아홀딩스,"98,600",하락,300,-0.30%,"5,000","8,013",12.31,1.53,0.58,0.18,"10,667.1"
474,BGF,"4,120",하락,140,-3.29%,"1,000",909,4.53,5.43,4.24,0.23,"1,722.4"
475,신대양제지,"9,720",상승,170,+1.78%,500,725,13.41,6.00,3.80,0.49,"3,155.9"
476,대한제강,"16,710",하락,290,-1.71%,"1,000","1,552",10.77,4.91,3.53,0.36,"3,404.3"
477,더본코리아,"26,350",상승,650,+2.53%,500,"2,591",10.17,15.52,11.05,1.44,"3,312.8"
478,수산인더스트리,"26,850",상승,800,+3.07%,200,"2,745",9.78,7.77,6.41,0.74,"17,939.8"
479,KODEX 미국AI테크TOP10타겟커버드콜,"9,960",하락,145,-1.43%,0,N/A,N/A,N/A,N/A,N/A,N/A
480,조광피혁,"57,600",하락,"1,400",-2.37%,"5,000","1,750",32.91,2.58,2.24,0.36,840.3
481,신한 레버리지 WTI원유 선물 ETN(H),762,상승,41,+5.69%,0,N/A,N/A,N/A,N/A,N/A,N/A
482,흥아해운,"1,579",하락,1,-0.06%,500,159,9.93,20.08,10.39,1.64,93.4
483,KIWOOM 200,"36,015",하락,40,-0.11%,0,N/A,N/A,N/A,N/A,N/A,N/A
484,TIGER 미국나스닥100커버드콜(합성),"9,700",하락,25,-0.26%,0,N/A,N/A,N/A,N/A,N/A,N/A
485,HL홀딩스,"39,650",하락,700,-1.73%,"5,000","-2,091",-18.96,1.91,0.85,0.35,"1,811.6"
486,지누스,"16,740",하락,720,-4.12%,500,"1,136",14.74,-1.05,-0.61,0.53,"5,078.3"
487,신세계인터내셔날,"10,480",하락,440,-4.03%,"1,000",688,15.23,3.85,2.46,0.44,"2,297.9"
488,ACE 미국S&P500채권혼합액티브,"12,495",하락,75,-0.60%,0,N/A,N/A,N/A,N/A,N/A,N/A
489,RISE 200위클리커버드콜,"8,280",보합,0,0.00%,0,N/A,N/A,N/A,N/A,N/A,N/A
490,한전산업,"11,320",하락,140,-1.22%,500,352,32.16,10.59,5.49,3.37,602.5
491,KODEX 미국달러SOFR금리액티브(합성),"11,770",하락,20,-0.17%,0,N/A,N/A,N/A,N/A,N/A,N/A
492,TIGER CD금리플러스액티브(합성),"1,000,505",상승,70,+0.01%,0,N/A,N/A,N/A,N/A,N/A,N/A
493,사조대림,"40,000",하락,"1,500",-3.61%,"5,000","7,690",5.20,14.27,5.66,0.49,"1,469.0"
494,대상홀딩스,"10,090",상승,240,+2.44%,"1,000",349,28.91,2.70,1.86,0.50,"2,006.5"
495,남해화학,"7,310",상승,90,+1.25%,"1,000",498,14.68,4.84,2.68,0.65,978.6
496,한섬,"16,030",하락,80,-0.50%,500,"1,670",9.60,3.19,2.50,0.24,"11,628.8"
497,RISE 단기통안채,"115,250",보합,0,0.00%,0,N/A,N/A,N/A,N/A,N/A,N/A
498,엘브이엠씨홀딩스,"1,856",하락,38,-2.01%,0,7,265.14,0.28,0.61,0.69,688.9
499,부국증권,"34,400",하락,"2,550",-6.90%,"5,000","2,315",14.86,4.05,1.81,0.40,"1,139.7"
500,HANARO 200,"36,200",상승,5,+0.01%,0,N/A,N/A,N/A,N/A,N/A,N/A
