N,종목명,현재가,전일비변동,전일비,등락률,액면가,주당순이익,PER,ROE,ROA,PBR,유보율
227,다우기술,"26,400",하락,450,-1.68%,500,"7,909",3.34,13.16,1.54,0.39,"12,761.3"
228,KODEX 삼성그룹,"8,675",하락,5,-0.06%,0,N/A,N/A,N/A,N/A,N/A,N/A
229,종근당,"85,500",하락,"1,100",-1.27%,"2,500","6,903",12.39,12.76,7.79,1.27,"2,834.0"
230,파라다이스,"12,810",상승,260,+2.07%,500,880,14.56,4.97,2.93,0.67,"2,033.4"
231,대신증권,"23,100",상승,150,+0.65%,"5,000","1,607",14.37,4.57,0.59,0.50,675.3
232,두산퓨얼셀,"17,870",상승,"1,050",+6.24%,100,-249,-71.77,N/A,N/A,2.99,"5,988.7"
233,오리온홀딩스,"18,680",하락,220,-1.16%,500,"2,436",7.67,7.03,8.66,0.47,"7,816.5"
234,HDC,"19,500",하락,100,-0.51%,"5,000","3,226",6.04,5.65,2.18,0.36,"1,478.0"
235,현대지에프홀딩스,"7,390",하락,70,-0.94%,500,"5,233",1.41,23.02,10.46,0.33,"4,018.3"
236,롯데에너지머티리얼즈,"21,850",하락,200,-0.91%,500,-843,-25.92,0.46,1.23,0.66,"5,060.1"
237,현대위아,"41,900",하락,800,-1.87%,"5,000","6,638",6.31,3.45,1.86,0.31,"2,464.8"
238,SK오션플랜트,"19,210",하락,10,-0.05%,500,282,68.12,2.34,1.18,1.59,"2,156.2"
239,한국카본,"21,900",하락,100,-0.45%,500,812,26.97,4.38,2.43,2.21,"1,836.1"
240,ACE 테슬라밸류체인액티브,"14,775",하락,675,-4.37%,0,N/A,N/A,N/A,N/A,N/A,N/A
241,경동나비엔,"75,400",상승,300,+0.40%,"1,000","8,968",8.41,19.43,10.28,1.51,"5,169.4"
242,RISE CD금리액티브(합성),"103,960",상승,10,+0.01%,0,N/A,N/A,N/A,N/A,N/A,N/A
243,롯데웰푸드,"117,000",하락,"2,200",-1.85%,500,"9,197",12.72,4.04,1.92,0.48,"36,023.0"
244,LX인터내셔널,"28,050",하락,250,-0.88%,"5,000","5,044",5.56,7.12,3.18,0.38,"1,173.4"
245,효성,"64,600",상승,"2,200",+3.53%,"5,000","29,071",2.22,19.62,10.27,0.50,"8,631.1"
246,코스모신소재,"33,200",상승,450,+1.37%,"1,000",460,72.17,3.62,2.42,2.17,"1,341.7"
247,더블유게임즈,"49,750",하락,950,-1.87%,500,"8,108",6.14,18.69,16.58,0.87,"9,212.6"
248,쿠쿠홀딩스,"29,950",하락,50,-0.17%,100,"3,873",7.73,12.08,10.47,0.78,"51,837.7"
249,롯데리츠,"3,680",하락,40,-1.08%,500,41,89.76,0.95,0.43,0.91,709.4
250,효성티앤씨,"240,500",하락,"2,500",-1.03%,"5,000","25,287",9.51,9.84,4.18,0.72,"6,057.8"
251,태광산업,"925,000",하락,"48,000",-4.93%,"5,000","225,266",4.11,5.45,4.62,0.20,"76,180.9"
252,TIGER 차이나항셍테크,"7,700",하락,160,-2.04%,0,N/A,N/A,N/A,N/A,N/A,N/A
253,SK케미칼,"58,900",상승,"1,500",+2.61%,"5,000","1,699",34.67,0.41,-0.09,0.51,"2,126.8"
254,TIGER CD1년금리액티브(합성),"1,045,425",상승,80,+0.01%,0,N/A,N/A,N/A,N/A,N/A,N/A
255,롯데칠성,"107,700",상승,900,+0.84%,500,"4,828",22.31,3.99,1.39,0.74,"44,602.9"
256,LS에코에너지,"32,600",상승,50,+0.15%,500,"1,151",28.32,19.00,7.88,5.27,991.2
